year,très_ADV in_ADJ,très_ADV fines_ADJ
1800,6.288328968651058e-09,1.2891074163690064e-07
1801,1.1905912700171939e-08,1.2858386355674156e-07
1802,4.475680270843441e-09,1.320325679898815e-07
1803,1.5602713787643552e-08,7.216254971353919e-08
1804,2.2246657849223084e-08,8.898663139689234e-08
1805,5.685755422035754e-09,5.685755510853596e-08
1806,1.4408345627714425e-08,5.187004603612877e-08
1807,1.1387820464392462e-08,5.124519120158766e-08
1808,1.1330369531492579e-08,2.4926814390369145e-08
1809,1.3554183553310395e-08,2.8915590633005195e-07
1810,4.680253518074551e-09,2.574139479349924e-08
1811,7.019815262410134e-08,2.757784400841956e-08
1812,2.1337665412346496e-08,5.3344166417446104e-08
1813,2.0130190847567064e-08,6.901780125190271e-08
1814,1.2586708564299443e-08,4.72001566720337e-08
1815,8.091670444798638e-09,7.012781111370714e-08
1816,0.0,4.1716869958463576e-08
1817,1.0898114077839693e-08,8.095742032310227e-08
1818,1.1921176934492905e-08,4.410835785506606e-08
1819,1.8631889475706487e-08,1.1489665752151268e-07
1820,1.1866481131050932e-08,1.3646453567162098e-07
1821,8.875339574387908e-09,7.100271659510327e-08
1822,1.9048670196752937e-08,1.1830226753772877e-07
1823,7.906149512848515e-09,1.640526079427218e-07
1824,1.0105335235266466e-08,2.0800148092803283e-07
1825,1.8491430608946757e-08,1.2855946351919556e-07
1826,2.2900759399924198e-08,5.038166932536114e-07
1827,2.2121454890111636e-08,1.2904182256079366e-07
1828,1.7427371545863934e-08,2.549899704717973e-07
1829,4.4580517055692326e-08,3.5321485825079435e-07
1830,2.1917355041978226e-08,2.8283824349273345e-07
1831,2.182768810143898e-08,2.4945930476860667e-07
1832,1.7588959622116818e-08,4.7625491106373374e-07
1833,5.3284690437749305e-08,5.36321977051557e-07
1834,2.9870498963191494e-08,4.116528202757763e-07
1835,1.4369867074037757e-08,4.726929887510778e-07
1836,3.091545153210973e-08,6.445199574045546e-07
1837,3.1310509740478665e-08,3.847713685445342e-07
1838,1.5780404538645598e-08,4.3427672835605335e-07
1839,1.8177836236255018e-08,4.2088680629603914e-07
1840,2.1019971874203236e-08,4.070230943398201e-07
1841,1.1556987367100646e-08,3.4799373338501027e-07
1842,5.366612043644636e-09,3.025427588454477e-07
1843,9.451057714215949e-09,4.1112102167062403e-07
1844,1.701454005464953e-08,3.6663590208263486e-07
1845,5.022205318283568e-09,4.0512455257157853e-07
1846,1.1123552745573306e-08,4.080587530097546e-07
1847,1.294373674909366e-08,3.473236063200602e-07
1848,1.367687652020777e-08,5.583383995144686e-07
1849,1.1731181359664333e-08,3.9131867879405036e-07
1850,1.0862393651223101e-08,3.849360723506834e-07
1851,9.674158363282004e-09,5.572314876189921e-07
1852,1.1718981340891332e-08,3.9063272083694756e-07
1853,1.851298847554972e-08,5.410570338426623e-07
1854,7.79349651480743e-09,3.5226605632487917e-07
1855,8.491099379170919e-09,5.487373186952027e-07
1856,1.0354378687793542e-08,4.379901952233922e-07
1857,1.2203773158692144e-08,3.412174862660322e-07
1858,2.1532175153993194e-08,2.456625338709273e-07
1859,9.165912473463322e-09,2.9687370783904043e-07
1860,1.464698884401372e-08,3.7853311596336425e-07
1861,1.3204698057212028e-08,3.3719140901666833e-07
1862,1.0391368654438793e-08,2.9005471446907904e-07
1863,4.9946209945694875e-09,1.9279237051250675e-07
1864,1.0548401374599337e-08,2.9871154083593865e-07
1865,6.118897832863013e-09,2.5605234554859635e-07
1866,1.167747110120132e-08,1.917051548616655e-07
1867,7.76449837758264e-09,1.9993584032818035e-07
1868,3.951899252285784e-09,8.368146495740802e-07
1869,5.860222973552709e-09,1.5529590768892376e-07
1870,7.454262984651905e-09,2.1904065761191305e-07
1871,1.5931766128574054e-08,1.0514965254060371e-07
1872,1.2094678591978436e-09,1.5662608632283082e-07
1873,5.9860045809045914e-09,1.3947389732038573e-07
1874,3.5847653734322193e-09,3.30993344732633e-07
1875,6.865832347102696e-09,9.440519477266207e-08
1876,9.673623679873344e-09,1.8077584229558852e-07
1877,7.421779191219002e-09,2.647101382535766e-07
1878,1.2078177513696886e-08,2.5062217900995165e-07
1879,2.321543646210955e-08,6.329261168502853e-07
1880,2.8238524407697696e-08,1.081407049241534e-06
1881,3.2073533162702006e-08,1.270390839636093e-06
1882,3.660461800336634e-08,1.4149348999126232e-06
1883,2.6541224329434954e-08,1.4844126781099476e-06
1884,2.9047467542397953e-08,1.7613327827348257e-06
1885,2.5782542323327107e-08,1.5057005384733202e-06
1886,3.54940529190273e-08,1.5062385045894189e-06
1887,4.504957962225831e-08,1.713189817564853e-06
1888,3.106901047544852e-08,1.8749198034129222e-06
1889,4.009687487593894e-08,1.7880699942907086e-06
1890,4.653614382732485e-08,1.4911229300196283e-06
1891,4.461954006274027e-08,1.6732327594581875e-06
1892,4.0118478983330874e-08,1.5063235423440346e-06
1893,3.510297474917934e-08,1.940516995091457e-06
1894,4.537108311275517e-08,2.0858094558207085e-06
1895,3.310238105846963e-08,1.3180765563447494e-06
1896,3.892039046604623e-08,1.7555455542606069e-06
1897,2.9716239136057254e-08,1.7048963627530611e-06
1898,3.734514397724098e-08,1.7371149851896917e-06
1899,3.150719685152126e-08,1.627319079489098e-06
1900,4.620037441505076e-08,1.4861984709568787e-06
1901,4.41510370485787e-08,1.7503930394013878e-06
1902,2.6515532880466708e-08,1.5693267414462753e-06
1903,3.7801540564430525e-08,1.7129498246504227e-06
1904,4.407192832900364e-08,1.7322416852039169e-06
1905,3.5609238058231796e-08,1.4847503280179808e-06
1906,3.343719967574543e-08,1.6106441762531176e-06
1907,4.062846120644892e-08,1.8750806702882983e-06
1908,2.6521500773313278e-08,1.5952191461110488e-06
1909,3.190570296851547e-08,1.6932027619986911e-06
1910,3.954671612405036e-08,1.5278926639439305e-06
1911,3.6710581241550244e-08,1.6541042668904993e-06
1912,4.6884790605439264e-08,1.5050018191686831e-06
1913,3.340883442115583e-08,1.4360496152221458e-06
1914,2.678697441638178e-08,1.683561322352034e-06
1915,2.473960036830647e-08,1.3547876278607873e-06
1916,3.186363883855847e-08,1.5019860484244418e-06
1917,3.180263163926611e-08,1.1756006870200508e-06
1918,5.054005569604669e-08,1.2164072131781722e-06
1919,2.8544329566670967e-08,1.3692070979232085e-06
1920,2.8017257402979112e-08,1.3524005453291466e-06
1921,2.196096815509918e-08,1.5243940651998855e-06
1922,2.8036154731125862e-08,1.5611711887686397e-06
1923,4.0340601970001444e-08,1.4257218481361633e-06
1924,3.609654797287476e-08,1.5070309018483385e-06
1925,2.969508017258704e-08,1.654125981076504e-06
1926,3.009457216762712e-08,1.5649178521925933e-06
1927,2.564321655018631e-08,1.6701538925190107e-06
1928,2.6279895593006586e-08,1.6944819662967348e-06
1929,1.8938690837799754e-08,1.7590701872904901e-06
1930,3.886333388436469e-08,1.7435982044844422e-06
1931,2.052964109822142e-08,1.7051007716872846e-06
1932,1.972716578979572e-08,1.676809119999234e-06
1933,2.1794258842078307e-08,1.5255981224981952e-06
1934,2.995395220750652e-08,1.7265457472603885e-06
1935,2.6330224223158893e-08,1.7653219401836395e-06
1936,2.66743711563322e-08,1.906005081764306e-06
1937,1.7627564963262898e-08,1.6960235598162399e-06
1938,2.463390735840676e-08,1.6997396414808463e-06
1939,3.211750509990452e-08,2.09528502637113e-06
1940,1.5214697057785997e-08,1.711653453639883e-06
1941,2.6563522936839945e-08,2.603225311759161e-06
1942,9.102635090130207e-09,2.469848368491512e-06
1943,1.7419411024732767e-08,2.3458139821741497e-06
1944,9.639558484764166e-09,2.024307377723744e-06
1945,1.5249527862692958e-08,1.5314883512473898e-06
1946,2.5057987684817817e-08,1.2487230378610548e-06
1947,1.7881307101674793e-08,1.4400411600945517e-06
1948,1.6307831529616124e-08,1.8112565385308699e-06
1949,1.9634017078828947e-08,1.5206545640467084e-06
1950,9.571825554388624e-09,1.721865032777714e-06
1951,2.6653504292539765e-08,1.791115550986433e-06
1952,1.4762725597528004e-08,1.9170454379491275e-06
1953,2.0470272588113403e-08,1.7324314285360742e-06
1954,2.3454086450769296e-08,1.6320135500791366e-06
1955,1.407841132561316e-08,1.730706117086811e-06
1956,1.657016923672927e-08,1.7250417840841692e-06
1957,2.2087594697683954e-08,1.8509404071664903e-06
1958,1.4890038535497752e-08,1.5469095160369761e-06
1959,1.3176271296266862e-08,1.3315784599399194e-06
1960,1.591791637389761e-08,1.3765537687504548e-06
1961,6.94815938118154e-09,1.4111711834630114e-06
1962,1.4586500007851555e-08,1.2588783420142136e-06
1963,1.6165133231993423e-08,1.319074840466783e-06
1964,1.4601524378488051e-08,1.1133662383144838e-06
1965,1.2585699593614663e-08,1.1660924883472035e-06
1966,1.5509408868297214e-08,1.2739872090605786e-06
1967,1.429797347185513e-08,1.0955205880236463e-06
1968,8.982831312120965e-09,9.701458338895463e-07
1969,1.2716921737876419e-08,9.773863212103606e-07
1970,1.609553734738256e-08,9.073284559235617e-07
1971,1.0276794526475896e-08,9.470066402172961e-07
1972,9.234264186641639e-09,1.0198732525168452e-06
1973,1.598829157956061e-08,8.727401450414618e-07
1974,1.7439271360331077e-08,8.505864457220014e-07
1975,1.7134439644905797e-08,8.727141675990424e-07
1976,1.3712464053128315e-08,8.381744009966496e-07
1977,9.402850942308305e-09,9.54977053879702e-07
1978,1.7821774278559133e-08,7.752471447020071e-07
1979,1.4044735707763323e-08,7.274002769008803e-07
1980,1.5918422247018782e-08,8.163876259459357e-07
1981,1.3283653788054295e-08,8.052424504967348e-07
1982,1.8001756529884005e-08,7.771793093525048e-07
1983,1.5788289786655696e-08,7.502595735786599e-07
1984,1.5077422255149742e-08,7.051594366203062e-07
1985,9.624892882698077e-09,7.164529733927338e-07
1986,1.558566253834215e-08,6.965591978769226e-07
1987,1.5888123539031795e-08,7.094658371897822e-07
1988,9.594486094499644e-09,6.494267950074573e-07
1989,7.683370939481904e-09,5.806433023280988e-07
1990,1.5801088049105516e-08,7.252154432535463e-07
1991,6.4476117778156095e-09,6.330382689156977e-07
1992,7.162927251336271e-09,5.812991048514959e-07
1993,4.985286850001103e-09,5.866020842404396e-07
1994,7.3848970827405935e-09,5.554497874982189e-07
1995,5.422450655157007e-09,6.344267262647918e-07
1996,6.939520069693117e-09,4.670830549002858e-07
1997,1.6302641014931396e-08,5.058613510300347e-07
1998,7.1521940592234046e-09,4.3771424884653243e-07
1999,8.226361730701015e-09,4.60676290003903e-07
2000,1.0603275923948274e-08,4.0380808741247165e-07
2001,5.257454027685071e-09,4.061383265252516e-07
2002,7.886198361006791e-09,4.530183161932655e-07
2003,5.000307390368164e-09,4.1794237404246815e-07
2004,8.369103632333008e-09,4.893723257737292e-07
2005,7.205999463799628e-09,4.0713896964916785e-07
2006,9.882935358973555e-09,4.603800789482193e-07
2007,7.589511158423434e-09,4.1782254811550956e-07
2008,1.0217855006544596e-08,4.282984207293339e-07
2009,7.629108234041837e-09,4.6871332415321376e-07
2010,8.030448139795254e-09,4.553736516754725e-07
2011,1.2619107481182112e-08,6.194834440975683e-07
2012,1.497871149336305e-08,6.897016078255547e-07
2013,9.76193803570169e-09,5.338385449249472e-07
