year,plus_ADV utile_ADJ,plus_ADV futile_ADJ
1800,1.2441459148249123e-05,8.489244152087849e-08
1801,1.1832095879071858e-05,6.191074675143682e-08
1802,1.1887406799360178e-05,8.280008501060365e-08
1803,1.1290513612038922e-05,1.1311967540450496e-07
1804,1.3548215065384284e-05,1.2112069214254007e-07
1805,1.240631809196202e-05,1.5351540127994667e-07
1806,1.0837957233889028e-05,6.339671898558663e-08
1807,8.65189667820232e-06,1.1672516109229036e-07
1808,9.304500053985976e-06,9.517511045942229e-08
1809,9.252989002561662e-06,5.421673421324158e-08
1810,1.101263660530094e-05,1.4040760731859336e-07
1811,8.46389139042003e-06,4.763445815569867e-08
1812,8.583076123613864e-06,1.6269970615212515e-07
1813,9.61360456130933e-06,6.614205716459765e-08
1814,8.659655577503145e-06,6.922689976818219e-08
1815,8.571776561439037e-06,9.440282155992463e-08
1816,9.379343282489572e-06,4.4034472068688046e-08
1817,9.741356734593865e-06,5.293369653713853e-08
1818,9.527405381959397e-06,1.0490636270787945e-07
1819,1.1074588655901607e-05,1.563008567018187e-07
1820,9.945298188540619e-06,8.42520151422832e-08
1821,1.0825941899383906e-05,1.4200543319020653e-07
1822,1.0659235158527736e-05,5.1130641054442094e-08
1823,9.844144187809434e-06,4.348382276475604e-08
1824,9.130170838034246e-06,5.3895121254754486e-08
1825,8.968343536253087e-06,5.459374818883589e-08
1826,9.08015135792084e-06,8.103345550125596e-08
1827,9.400696399097797e-06,1.3365045958835253e-07
1828,8.053280907915905e-06,1.0456423638061096e-07
1829,8.702631021151319e-06,1.4917326041086199e-07
1830,7.4717308962135576e-06,9.914994336668315e-08
1831,7.284211278602015e-06,9.978371906527173e-08
1832,7.5835478128283285e-06,1.1635773944362882e-07
1833,7.264093255798798e-06,9.266902623039641e-08
1834,7.916615686553996e-06,7.747660646373333e-08
1835,7.087369795044651e-06,9.832014313815307e-08
1836,7.197251306934049e-06,9.610672435655943e-08
1837,7.83667292125756e-06,8.906100390504434e-08
1838,7.135267878766172e-06,7.827080850120183e-08
1839,7.493463272112422e-06,7.900366938429215e-08
1840,7.1512495196657255e-06,1.2866770759956125e-07
1841,6.721672434650827e-06,9.823439484080154e-08
1842,7.125519005057868e-06,1.1001554867107188e-07
1843,7.143227776396088e-06,9.273850309909903e-08
1844,6.553891125804512e-06,1.0812465944809446e-07
1845,6.5969456954917405e-06,1.3727360226312157e-07
