year,bons_ADJ airs_NOUN,bons_ADJ fers_NOUN
1800,9.432493897065797e-09,0.0
1801,7.143547975374531e-09,4.7623651688866175e-09
1802,4.475680270843441e-09,0.0
1803,7.801356893821776e-09,0.0
1804,2.9662210465630778e-08,0.0
1805,8.528632911009026e-09,0.0
1806,1.4408345627714425e-08,0.0
1807,4.555128185756985e-08,0.0
1808,9.290903335568146e-08,4.5321479902327155e-09
1809,4.292158095609011e-08,3.6144488291256494e-08
1810,2.106114038724627e-08,0.0
1811,3.259199843341776e-08,0.0
1812,0.0,5.3344166417446104e-08
1813,8.627225156487839e-09,0.0
1814,2.2026739543434815e-08,0.0
1815,0.0,0.0
1816,0.0,9.270415546325239e-09
1817,2.9580593974287694e-08,0.0
1818,5.960588467246453e-09,5.960588467246453e-09
1819,7.24573512300708e-09,2.070210003424222e-09
1820,1.3053129244156025e-08,1.1866481131050932e-09
1821,1.4792232327920374e-08,9.86148829262845e-10
1822,1.0025615893027862e-08,1.0025615893027862e-09
1823,4.941343334508019e-09,0.0
1824,1.8526447931321854e-08,7.57900142644985e-09
1825,2.7296874094417944e-08,5.283265824829186e-09
1826,1.4973572604048968e-08,3.5231937367541377e-09
1827,2.7651818612639545e-09,1.2904182611350734e-08
1828,3.66892045633449e-08,1.8344602503717056e-09
1829,2.6576845613135447e-08,5.143905745796928e-09
1830,1.878630406793036e-08,4.174734336004349e-09
1831,6.236482441579483e-09,4.5214498811674275e-08
1832,1.0823975493678972e-08,9.470978667991403e-09
1833,4.6334514003376626e-09,2.3167257001688313e-09
1834,1.8669061851994684e-09,3.733812370398937e-09
1835,8.31939672707449e-09,3.025235173481633e-09
1836,5.376600054063374e-09,6.72075017860152e-09
1837,2.0873671680021744e-09,1.87863058442872e-08
1838,3.787297142565649e-09,2.019891809368346e-08
1839,5.5931801412612e-09,6.292327547896548e-09
1840,5.095750932326837e-09,1.6561189752906103e-08
1841,3.852329122366882e-09,6.420548537278137e-10
1842,6.708265054555795e-10,6.708265054555795e-10
1843,1.1813822142769936e-09,1.2404512972352677e-08
1844,6.037417232818143e-09,6.037417232818143e-09
1845,2.0646844234306627e-08,2.2320911785556063e-09
1846,1.7563504428608212e-08,2.5759806732139623e-08
1847,0.0,1.5640349459999925e-08
1848,0.0,1.6090443422100975e-09
1849,1.005529792763582e-08,5.865590679832167e-09
1850,6.788996032014438e-09,5.431196825611551e-09
1851,0.0,7.739326512989919e-09
1852,5.859490670445666e-09,6.510545436100301e-10
1853,6.569124799682413e-09,4.777545470346922e-09
1854,2.5978321716024766e-09,9.352196350675968e-09
1855,3.1841622671890946e-09,6.368324534378189e-09
1856,6.212626857404757e-09,8.28350277259915e-09
1857,2.7336451324799782e-08,9.763018171682347e-10
1858,6.8511463169329545e-09,7.34051397444091e-09
1859,2.34239969643113e-08,5.601390462572908e-09
1860,2.746310290291376e-09,7.323494255473406e-09
1861,2.8295783494058924e-09,1.4619487842537637e-08
1862,4.066187830886747e-09,1.626475132354699e-08
1863,5.9935452156878455e-09,7.491931519609807e-09
1864,6.712618905169165e-09,8.151037178549814e-09
1865,1.0825742080555756e-08,7.530950973944073e-09
1866,6.3252967308358166e-09,7.298419202328432e-09
1867,7.76449837758264e-09,7.76449837758264e-09
1868,1.4819621974027086e-08,9.87974813071446e-10
1869,7.325278605918584e-09,4.883519366671862e-09
1870,1.7202146374017957e-09,3.4404292748035914e-09
1871,9.559059321873065e-09,3.18635318130589e-09
1872,1.2094678591978436e-09,6.047339295989218e-10
1873,5.986004469882289e-10,3.591602570907071e-09
1874,5.974609140757536e-10,4.182226565063729e-09
1875,5.721527140956084e-10,5.721527140956084e-10
1876,8.464420275799966e-09,0.0
1877,5.566334504436554e-09,8.658742167710898e-09
1878,4.22736201599605e-09,1.0870359723469392e-08
1879,1.221865097988939e-08,1.221865053580018e-09
1880,3.8507077526617195e-09,5.134277003548959e-09
1881,6.2752567586699115e-09,4.183504653809678e-09
1882,7.986462158271479e-09,0.0
1883,4.423537092179686e-09,6.951272890631799e-09
1884,4.621187876807653e-09,7.922036360241691e-09
1885,7.7347630522695e-09,6.445635691854079e-10
1886,2.5813855497602844e-09,6.453463874400711e-10
1887,2.154545164501087e-08,6.528924512139156e-09
1888,1.9021844099853524e-09,7.60873763994141e-09
1889,1.1277245803853475e-08,6.265136853755848e-09
1890,6.554386478008212e-10,5.243509182406569e-09
1891,1.2748440081367107e-09,1.3385862196457765e-08
1892,2.5074049503359674e-09,2.5074049503359674e-09
1893,4.926733243593162e-09,3.079208221734575e-09
1894,4.411077725308132e-09,8.822155450616265e-09
1895,0.0,2.1065151400989635e-08
1896,1.179405795248556e-09,1.179405795248556e-09
1897,1.1653427112179315e-09,0.0
