year,ses_DET ânes_NOUN,ses_DET anes_NOUN,ses_DET fans_NOUN
1800,1.2576657937302116e-08,0.0,1.2576657937302116e-08
1801,1.1905912922216544e-08,0.0,9.524730337773235e-09
1802,1.9021641151084623e-07,0.0,8.951360541686881e-09
1803,5.655983770225248e-08,0.0,7.801356893821776e-09
1804,9.145848167690929e-08,2.4718509461507665e-09,4.943701892301533e-09
1805,1.4214388555089386e-08,0.0,8.528632911009026e-09
1806,2.305335300434308e-08,0.0,2.881669125542885e-09
1807,2.2775640928784924e-08,0.0,8.540865792383556e-09
1808,1.3596443970698147e-08,0.0,6.798221985349073e-09
1809,4.292158095609011e-08,0.0,2.4849335034105025e-08
1810,7.722418615685456e-08,2.3401267590372754e-09,0.0
1811,1.2786091252436904e-07,0.0,0.0
1812,3.7340913472405646e-08,0.0,5.3344164641089264e-09
1813,6.901780125190271e-08,0.0,1.1502966579257645e-08
1814,3.1466771410748606e-09,3.1466771410748606e-09,0.0
1815,5.1247248222807684e-08,0.0,2.697223555614414e-09
1816,2.0858434979231788e-08,0.0,2.3176038865813098e-09
1817,1.2454987263765815e-08,0.0,7.784366928831332e-09
1818,2.741870774869426e-08,1.1921177378582115e-09,3.5763532135746345e-09
1819,6.521161566297451e-08,1.035105001712111e-09,1.035105001712111e-09
1820,7.594547923872597e-08,1.1866481131050932e-09,1.1866481131050932e-09
1821,7.691961201317099e-08,0.0,3.94459531705138e-09
1822,3.0076847679083585e-08,0.0,6.015369535816717e-09
1823,3.557767380701904e-08,0.0,5.929612356680991e-09
1824,4.6316120716483056e-08,1.6842225392110777e-09,6.736890156844311e-09
1825,2.0252519661312363e-08,0.0,1.3208164117983756e-08
1826,6.34174881497529e-08,0.0,3.5231937367541377e-09
1827,2.7651818612639545e-09,0.0,3.6869092223668076e-09
1828,2.8434133270138773e-08,0.0,8.255071293206129e-09
1829,1.628903412154159e-08,8.57317605795771e-10,5.143905745796928e-09
1830,2.0873670791843324e-08,0.0,1.0436835840010872e-09
1831,3.4300654760954785e-08,0.0,3.1182412207897414e-09
1832,3.788391467196561e-08,0.0,4.058990921151917e-09
1833,1.7375443306377747e-08,0.0,3.4750886612755494e-09
1834,2.7070139019258477e-08,0.0,1.8669061851994684e-09
1835,2.4958190181223472e-08,7.563087933704082e-10,1.5126175867408165e-09
1836,1.9490174807401672e-08,0.0,4.704525213838906e-09
1837,2.7831564608504777e-08,0.0,2.7831563720326358e-09
1838,5.680945847075236e-08,0.0,4.418513555037862e-09
1839,3.2859933440931854e-08,0.0,9.788065469251706e-09
1840,5.477932418784803e-08,6.369688665408546e-10,4.458782232319436e-09
1841,2.118781061710706e-08,6.420548537278137e-10,6.420548537278137e-10
1842,6.64118249282808e-08,2.0124795163667386e-09,6.708265054555795e-10
1843,9.451057714215949e-09,0.0,2.953455480181333e-09
1844,4.061535463506516e-08,5.488561272137815e-10,5.488561272137815e-10
