year,aux_ADP âmes_NOUN,aux_ADP ames_NOUN,aux_ADP femmes_NOUN
1800,3.961647352390685e-07,1.0973134383363004e-06,6.282040672545008e-06
1801,2.3573707363944152e-07,1.5906299517531863e-06,8.36985650654043e-06
1802,2.394488944901241e-07,1.0808767569869815e-06,8.470224798884374e-06
1803,3.3740867766418603e-07,8.75702314884208e-07,7.891072716148528e-06
1804,2.84262853256223e-07,1.3743491287243614e-06,9.645162634797089e-06
1805,3.5251684948889306e-07,1.2991951148233483e-06,7.496668658291128e-06
1806,5.388721522336937e-07,8.039856602692907e-07,7.022627869446296e-06
1807,1.4804166426074516e-07,1.0989246348458437e-06,8.014178206394718e-06
1808,3.2404858529844205e-07,9.585492963815057e-07,7.684256857487526e-06
1809,2.0557177826674433e-07,8.222871201724047e-07,7.405102021351695e-06
1810,4.4228396722800767e-07,1.5678849396572048e-06,7.34799814949838e-06
1811,3.108775299409672e-07,5.089365755495123e-07,7.546301006300382e-06
1812,4.214188962237131e-07,5.734497818821183e-07,7.4361766166930465e-06
1813,6.700478252241737e-07,6.757992849770744e-07,8.031946109099408e-06
1814,4.405347908686963e-07,6.8282894227778e-07,5.7206590611258434e-06
1815,5.502336080098758e-07,8.442309864520325e-07,5.108541375697939e-06
1816,6.674699033482057e-07,8.459254328130328e-07,5.286454408448549e-06
1817,8.158016662207501e-07,1.133403864428395e-06,6.870482241794207e-06
1818,5.674480640927015e-07,8.082558289324027e-07,6.663937966777667e-06
1819,7.421702594712087e-07,5.972555729982787e-07,6.762340991173232e-06
1820,1.0667966705568688e-06,9.766113793219233e-07,7.244486551982732e-06
1821,1.4654172151296052e-06,9.595227870029532e-07,6.692005825925662e-06
1822,1.0336409985711725e-06,7.519211777662349e-07,6.1797897075166475e-06
1823,8.24216103367803e-07,9.171133177332536e-07,5.908858398129269e-06
1824,7.68005466333932e-07,6.223202282384932e-07,6.246781254048983e-06
1825,1.060175293332577e-06,7.422988226313265e-07,6.702703171157509e-06
1826,7.240163171218228e-07,6.465060695681757e-07,5.956839977727668e-06
1827,7.991375792215649e-07,6.479742958864776e-07,5.835455610281315e-06
1828,9.319058258405732e-07,6.759985904380983e-07,6.408686850534195e-06
1829,6.121247896340165e-07,5.804040381085507e-07,6.357009944224501e-06
1830,8.756505325280273e-07,7.211853323418893e-07,6.268363659245324e-06
1831,6.033796660087631e-07,5.971431904505664e-07,6.149171657199304e-06
1832,5.398457894045805e-07,6.724394601143047e-07,6.026248176027593e-06
1833,7.992703796588785e-07,8.108539802931247e-07,7.017361987493587e-06
1834,8.970484159931402e-07,7.766330012426437e-07,6.756333256419111e-06
1835,8.735366563428215e-07,8.939570008692499e-07,6.222152379109502e-06
1836,1.1216931445900968e-06,1.1552968834926958e-06,6.611873921258393e-06
1837,9.65059488322595e-07,5.427154676773682e-07,6.1716490478147534e-06
1838,1.1216711568451387e-06,4.5005713777968026e-07,6.882149953923999e-06
1839,9.522389099458906e-07,3.642558432659371e-07,5.385533405899423e-06
1840,1.4446453526772984e-06,3.006493027868373e-07,6.16267369224488e-06
1841,1.4099525031951998e-06,3.1717508885975576e-07,6.263887243562749e-06
1842,1.6240710021264704e-06,3.4145069349733603e-07,6.285644239767407e-06
1843,1.6356236738346297e-06,2.1855570359052834e-07,6.179810306150557e-06
1844,1.977528654606431e-06,3.029685744504462e-07,6.677383780129276e-06
