year,lames_NOUN in_ADJ,lames_NOUN fines_ADJ
1800,0.0,4.7162465932615305e-08
1801,0.0,4.524246932646747e-08
1802,2.2378401354217203e-09,1.7902721083373763e-08
1803,0.0,8.386458461018265e-08
1804,0.0,2.4718509905596875e-08
1805,0.0,3.980028751016107e-08
1806,2.881669125542885e-09,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,0.0
1809,2.259030518203531e-09,2.710836710662079e-08
1810,0.0,1.8721014072298203e-08
1811,0.0,4.763445815569867e-08
1812,0.0,4.800974906515876e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,2.0858434979231788e-08
1817,0.0,2.1796227045456362e-08
1818,1.1921177378582115e-09,0.0
1819,1.035105001712111e-09,1.0351049795076506e-08
1820,2.3732962262101864e-09,1.542642635854463e-08
1821,0.0,1.97229765852569e-09
1822,1.0025615893027862e-09,0.0
1823,0.0,1.680056804787e-08
1824,0.0,8.421112696055388e-09
1825,0.0,1.4969252504215547e-08
1826,0.0,4.403992281964975e-09
1827,0.0,0.0
1828,0.0,9.172301140836225e-09
1829,8.57317605795771e-10,3.429270423183084e-09
1830,1.0436835840010872e-09,7.305785310052215e-09
1831,0.0,0.0
1832,1.3529969367098715e-09,3.111892965534935e-08
1833,2.3167257001688313e-09,2.3167257001688313e-09
1834,0.0,1.4001796166951408e-08
1835,0.0,1.4369867074037757e-08
1836,0.0,1.4113575197427508e-08
1837,0.0,1.1132625488130543e-08
1838,0.0,5.049729523420865e-09
1839,0.0,5.5931801412612e-09
1840,0.0,7.64362617644565e-09
1841,6.420548537278137e-10,7.704658244733764e-09
1842,0.0,6.708265054555795e-09
1843,0.0,8.269675610961258e-09
1844,0.0,9.879410178825765e-09
1845,5.580227946389016e-10,7.812318791877715e-09
1846,0.0,6.439951683034906e-09
1847,0.0,4.853901280910122e-09
1848,8.045221711050488e-10,8.045221711050488e-10
1849,8.379414939696517e-10,1.5920887719289567e-08
1850,0.0,4.752297222410107e-09
1851,0.0,1.2253933867611977e-08
1852,0.0,3.906327261660181e-09
1853,0.0,1.1943863675867306e-08
1854,0.0,1.558699391779328e-09
1855,0.0,8.491099379170919e-09
1856,0.0,1.2425253714809514e-08
1857,0.0,2.0502337605421417e-08
1858,0.0,2.4468380654951716e-09
1859,0.0,5.601390462572908e-09
1860,2.746310290291376e-09,1.327383358784573e-08
1861,0.0,9.903524222920623e-09
1862,0.0,2.2589932147099034e-09
1863,0.0,2.9967726078439227e-09
1864,0.0,1.9178911792039344e-09
1865,2.8241067262513297e-09,9.41368871743009e-10
1866,0.0,1.4596839292835284e-09
1867,0.0,9.7056229719783e-10
1868,0.0,9.87974857480367e-09
1869,0.0,7.813630631403612e-09
1870,0.0,2.8670243956696595e-09
1871,0.0,5.3105884134652115e-09
1872,1.2094678591978436e-09,6.652073114565837e-09
1873,5.986004469882289e-10,1.6760813181804224e-08
1874,5.974609140757536e-10,5.974609251779839e-09
1875,0.0,6.865832347102696e-09
1876,0.0,1.813804439976252e-09
1877,6.184815992682502e-10,4.329371083855449e-09
1878,6.039088673581716e-10,7.850815109122777e-09
1879,6.10932526790009e-10,6.720257683667796e-09
1880,0.0,5.134277003548959e-09
1881,0.0,2.7890030285249168e-09
1882,6.655385131892899e-10,1.9966154951589488e-08
1883,0.0,7.58320695126713e-09
1884,6.601696966868076e-10,7.2618666635548834e-09
1885,0.0,4.511945039809007e-09
1886,0.0,1.613365974151293e-08
1887,0.0,5.223139698529167e-09
1888,6.340614699951175e-10,1.0779045211961602e-08
1889,6.265136742733546e-10,4.385595886446936e-09
1890,6.554386478008212e-10,4.5880703680722945e-09
1891,1.2748440081367107e-09,9.561330394092238e-09
1892,0.0,1.1283322720601063e-08
1893,0.0,1.7243566574620672e-08
1894,0.0,1.0082462864602348e-08
1895,0.0,1.6852119699706236e-08
1896,5.89702897624278e-10,7.66613794667137e-09
1897,0.0,1.0488084178916779e-08
1898,0.0,1.4711722506888236e-08
1899,0.0,1.5477219506010442e-08
1900,0.0,3.633737222230593e-08
1901,0.0,7.265360757457984e-09
1902,0.0,1.6203935970793282e-08
1903,0.0,5.940242076007962e-09
1904,0.0,5.374625189347171e-09
1905,1.0321518084666081e-09,9.805441791854719e-09
1906,0.0,2.3148830408104004e-08
1907,5.142843373384665e-10,1.697138252154673e-08
1908,0.0,6.875944702500192e-09
1909,0.0,7.151278680339601e-09
1910,1.068830135508847e-09,8.550641084070776e-09
1911,0.0,9.044636151145369e-09
1912,0.0,5.2094213387476884e-09
1913,0.0,1.1666577037772186e-08
1914,6.696743715117748e-10,1.4732836284281348e-08
1915,0.0,1.295883844676382e-08
1916,1.0987462051303964e-09,7.69122365795738e-09
1917,0.0,4.386569774084137e-09
1918,1.1486376294556067e-09,5.743188147278033e-09
1919,0.0,6.4454939163738345e-09
1920,0.0,7.572231730534895e-09
1921,0.0,6.815472630705699e-09
1922,7.377935484775833e-10,1.4018077365562931e-08
1923,0.0,1.4862327368803108e-08
1924,0.0,7.734974438733389e-09
1925,0.0,1.0998178368026856e-08
1926,0.0,1.4489979882625903e-08
1927,0.0,7.804457524684949e-09
1928,4.570416489713125e-09,2.170947865920425e-08
1929,0.0,1.1140405931087116e-08
1930,0.0,5.2518016602221e-09
