year,un_DET matin_NOUN
1800,2.068860169401887e-06
1801,1.6049170312726346e-06
1802,1.8753099766399828e-06
1803,1.4608040714847448e-06
1804,2.4273575718325446e-06
1805,1.9359997054380074e-06
1806,1.9047833461627306e-06
1807,1.4974983741922188e-06
1808,1.4616177281823184e-06
1809,1.8546641058492241e-06
1810,1.8908224319602596e-06
1811,1.205903942036457e-06
1812,1.0882209835472167e-06
1813,1.9411256175771996e-06
1814,1.5355784910298098e-06
1815,1.7181313864966796e-06
1816,1.4971720929679577e-06
1817,1.553759716443892e-06
1818,2.0778612110916583e-06
1819,1.4977969442497852e-06
1820,1.911690105771413e-06
1821,2.10838624070675e-06
1822,1.97003350876912e-06
1823,2.312548701866035e-06
1824,1.9511717823661456e-06
1825,3.060772030494263e-06
1826,2.235466354250093e-06
1827,1.5254587424351485e-06
1828,2.1068775595267653e-06
1829,2.6808322104443505e-06
1830,2.37438007388846e-06
1831,2.510184117454628e-06
1832,2.427276513117249e-06
1833,2.9885762842241093e-06
1834,2.495120156709163e-06
1835,2.4837180490067112e-06
1836,2.8166663810225145e-06
1837,3.0072003482928267e-06
1838,2.5898800117829524e-06
1839,2.4064657395683753e-06
1840,2.8376963427945157e-06
1841,2.3268068503057293e-06
1842,2.7262389039606205e-06
1843,2.5724597207954503e-06
1844,2.540106152082444e-06
1845,2.5284013531745586e-06
1846,2.2083178237153334e-06
1847,1.9388639316275658e-06
1848,2.3612726067767653e-06
1849,2.1895411919103935e-06
1850,2.3218366891342157e-06
1851,2.308254124727682e-06
1852,2.4505692408638424e-06
1853,2.8372647875585244e-06
1854,2.661738903952937e-06
1855,3.1013739771879045e-06
1856,3.0426340345002245e-06
1857,3.5161509686076897e-06
1858,3.6888530985379475e-06
1859,3.5777610492004897e-06
1860,3.7894504885116476e-06
1861,3.277594828432484e-06
1862,3.2488837860000785e-06
1863,3.3813582831498934e-06
1864,3.2187008400796913e-06
1865,2.9977892381793936e-06
1866,3.1402665854329825e-06
1867,3.3256317237828625e-06
1868,2.9713343110415735e-06
1869,3.6030603496328695e-06
1870,3.1422586062035407e-06
1871,3.141744286949688e-06
1872,3.2607252933303243e-06
1873,3.0756091291550547e-06
1874,3.0906653591955546e-06
1875,3.3802781445047003e-06
1876,2.86520639747323e-06
1877,3.5841007957060356e-06
