year,en_ADP aire_NOUN,en_ADP mers_NOUN
1800,4.7162466820793725e-08,1.4777572943103223e-07
1801,1.619204113012529e-07,7.381665767525192e-08
1802,3.3567602031325805e-08,6.042168365638645e-08
1803,2.9255089017965474e-08,1.0726865440346955e-07
1804,1.730295728918918e-08,2.521287925105753e-07
1805,3.695740935505398e-08,5.685755510853596e-08
1806,4.8988376022407465e-08,8.645007198992971e-08
1807,1.1387820464392462e-08,6.547996633798903e-08
1808,4.5321479014148736e-08,1.4276265858370607e-07
1809,7.00299480627109e-08,2.710836710662079e-08
1810,5.3822916346035754e-08,2.152916604991617e-07
1811,5.0141535368197765e-09,5.0141537144554604e-08
1812,3.200649700829672e-08,5.067695596494559e-08
1813,2.0130190847567064e-08,8.339650747757332e-08
1814,4.090680150170556e-08,1.8880061958270744e-08
1815,8.091670444798638e-09,4.5852800667489646e-08
1816,7.184571870766376e-08,3.9399267848239106e-08
1817,1.2454987263765815e-08,1.4323235575375293e-07
1818,7.152706427149269e-09,6.199012148044858e-08
1819,2.484252026313527e-08,8.384350336232416e-08
1820,1.7799721696576398e-08,7.713212824000948e-08
1821,3.7473656067099625e-08,8.57949515875589e-08
1822,3.0076847679083585e-08,5.3135764233047666e-08
1823,3.2612866407433216e-08,4.5460360809101985e-08
1824,1.431589158329416e-08,7.747424035642325e-08
1825,1.3208164117983756e-08,6.956300069305144e-08
1826,2.466235649034587e-08,6.165588928297439e-08
1827,2.027800155568471e-08,8.203373330628594e-08
1828,2.384798225563145e-08,4.1275356466030644e-08
1829,4.800978425922864e-08,5.658296231558779e-08
1830,1.6698937788106605e-08,1.982998831806526e-08
1831,1.4032085493553836e-08,6.548306430431694e-08
1832,9.470978445946798e-09,5.411987658021644e-08
1833,1.2741991461950875e-08,6.950177322551099e-08
1834,2.1469421573883096e-08,8.214387037241977e-08
1835,2.571449897459388e-08,7.487457054367042e-08
1836,2.9571301130015826e-08,3.8308275662757296e-08
1837,1.8786305289175687e-08,4.731365699228718e-08
1838,3.8504186727905676e-08,5.049729523420865e-08
1839,2.6567605448946097e-08,1.8876983531868063e-08
1840,5.860113566624747e-08,3.821813265858509e-08
1841,4.173356549230789e-08,2.632424900284036e-08
1842,3.287049921141261e-08,3.018719141323345e-08
1843,3.0125246297529884e-08,3.9576305843613824e-08
1844,5.488561261035585e-08,2.9089374464774664e-08
1845,2.7343117381395388e-08,3.7387527573873314e-08
1846,1.3465352832753297e-08,2.4003455667553908e-08
1847,2.480882788091776e-08,1.5101026207275936e-08
1848,2.0113054055581614e-08,2.896279838182636e-08
1849,2.3462362719328667e-08,3.351765998083067e-08
1850,2.1724787302446202e-08,2.851378333446064e-08
1851,2.1283148576856092e-08,2.579775504329973e-08
1852,1.9531636752390114e-08,3.059956199535918e-08
1853,2.26933418723263e-08,3.523439673358553e-08
1854,2.1821789930598356e-08,4.260444780301853e-08
1855,1.1144567935161831e-08,4.139410947345823e-08
1856,2.0191037064520856e-08,2.3815070804289462e-08
1857,1.2691923956253959e-08,3.172980811427806e-08
1858,4.502181916166137e-08,2.0553439838977283e-08
1859,2.6479301196147276e-08,4.430190947424251e-08
1860,1.373155189554609e-08,2.6089948951257824e-08
1861,1.3204698334767784e-08,9.431927516789784e-09
1862,3.6143891435358455e-08,2.4397126097142063e-08
1863,1.947902072974017e-08,2.8469338886338846e-08
1864,2.5412057458318316e-08,2.1096802527154068e-08
1865,2.9653119293371333e-08,1.7415324293779122e-08
1866,1.8489329622894957e-08,1.216403244796993e-08
1867,2.8631587767335986e-08,2.329349513274792e-08
1868,3.112120594561674e-08,2.1735445443482604e-08
1869,3.174287332985415e-08,1.4650557211837167e-08
1870,4.0711745086241535e-08,1.7202147262196377e-08
