year,en_ADP être_NOUN,en_ADP maîtres_NOUN
1800,9.118077182179718e-08,2.5467733166806283e-07
1801,9.048493865293494e-08,2.762171789072454e-07
1802,4.0281122437590966e-08,1.8350289110458107e-07
1803,3.90067853572873e-08,2.9645156018887064e-07
1804,7.168367943677367e-08,3.0403765549635864e-07
1805,4.5486043376286034e-08,2.558589926593413e-07
1806,7.780506905419315e-08,1.152667650217154e-07
1807,2.562259560079383e-08,2.4768510797912313e-07
1808,8.157866204783204e-08,2.628645745517133e-07
1809,6.551188391767937e-08,2.213849938925705e-07
1810,1.2168659679900884e-07,1.8721013361755467e-07
1811,5.766276700569506e-08,1.8301660986708157e-07
1812,3.467370746079723e-08,1.8670458246106136e-07
1813,3.163315653864629e-08,1.9555042740648787e-07
1814,1.2586708564299443e-08,3.304010931515222e-07
1815,5.664169577812572e-08,3.85702975336244e-07
1816,8.343373814057031e-08,2.4103081841531093e-07
1817,1.074242625964672e-07,4.857445219386136e-07
1818,7.033494853203592e-08,3.7313284906304034e-07
1819,1.521604389154163e-07,4.44060049176187e-07
1820,1.1747816586193949e-07,4.817791250388836e-07
1821,9.467028405651945e-08,4.1812711515376577e-07
1822,5.81485721795616e-08,3.7997085655661067e-07
1823,4.5460360809101985e-08,3.330465574435948e-07
1824,7.915846111927749e-08,3.4779196766976384e-07
1825,6.60408261410339e-08,4.842993917009153e-07
1826,5.549030035467695e-08,3.1796824373486743e-07
1827,5.438191053031005e-08,4.3782046077467385e-07
1828,4.861319524707142e-08,3.43961289672734e-07
1829,6.515613648616636e-08,4.740966232930077e-07
1830,7.618889985572252e-08,4.43565511432098e-07
1831,6.392394169552063e-08,4.583814643410733e-07
1832,5.953186388296672e-08,4.6543095777451526e-07
1833,4.865124125785769e-08,4.3670280547303264e-07
1834,5.414027981487379e-08,3.5844598755829793e-07
1835,7.865611451052246e-08,4.9916377520276e-07
1836,7.325617551456887e-08,4.18030651871959e-07
1837,4.1051556820548285e-08,4.43913449998945e-07
