year,en_ADP ans_NOUN,en_ADP man_NOUN
1800,1.006132621661493e-07,5.973912431400663e-08
1801,9.28661236798689e-08,8.096020565062645e-08
1802,9.175144555229053e-08,6.937304419807333e-08
1803,9.946729906396001e-08,7.216254971353919e-08
1804,9.887404028852131e-08,6.426812215742927e-08
1805,6.25433098644379e-08,1.2508662527999093e-07
1806,1.6137346481315262e-07,5.187004603612877e-08
1807,1.5088862248546775e-07,8.256169792275614e-08
1808,1.427626639127766e-07,7.251436473509898e-08
1809,7.906607124574805e-08,9.713831361501946e-08
1810,1.4508786394529238e-07,7.956431291589183e-08
1811,8.273353602206157e-08,1.2033968843638831e-07
1812,9.068508077803017e-08,4.000812481308458e-08
1813,7.476928232108548e-08,3.134558426154399e-07
1814,3.1466771410748606e-08,5.034683425719777e-08
1815,4.855002422310406e-08,1.4295284911369777e-07
1816,5.7940095388175905e-08,6.721051093450114e-08
1817,6.383180817248757e-08,4.0478708829283505e-08
1818,6.318223921830679e-08,7.867977025455275e-08
1819,1.066158181739496e-07,5.4860566423009516e-08
1820,4.509263007435038e-08,7.831877368857931e-08
1821,1.0354562518521959e-07,6.903041860351067e-08
1822,1.3334069137727056e-07,6.416394171537831e-08
1823,4.348382143248841e-08,5.435477745674433e-08
1824,5.557934468214398e-08,8.421112962508914e-08
1825,4.138558074018306e-08,9.069606443645739e-08
1826,3.435113959948666e-08,6.165588928297439e-08
1827,6.544263980723386e-08,1.5761536387159936e-07
1828,4.035812389835414e-08,6.237164740241496e-08
1829,5.658296359234427e-08,7.715858174606183e-08
1830,2.7135772739939057e-08,5.0096812032052185e-08
1831,4.989185842241284e-08,4.67736174236677e-08
1832,3.9236911608675484e-08,5.0060885214975315e-08
1833,3.938433690287013e-08,4.401778908036391e-08
1834,4.760610661236342e-08,4.480574977705487e-08
1835,9.756383434478266e-08,6.277362984974388e-08
1836,3.09154504218867e-08,4.5029024398068884e-08
1837,3.478945287405111e-08,3.618103228131275e-08
1838,3.282324301245865e-08,2.5248648061193535e-08
1839,6.711815891957684e-08,4.474544135213421e-08
1840,6.369688487772862e-08,3.24854127486951e-08
1841,9.052973348744331e-08,2.5040138851295524e-08
1842,7.24492630332918e-08,5.56785999528131e-08
1843,3.544146692791017e-08,4.25297610462394e-08
1844,3.402907938765409e-08,2.5247382018367404e-08
1845,2.566904799827796e-08,3.682950283634412e-08
1846,3.2785206105501175e-08,4.742146231251354e-08
1847,2.1572895470001185e-08,3.128069891999985e-08
1848,1.930853293918844e-08,3.620349786626065e-08
1849,4.7762666932626985e-08,3.4355601474800324e-08
1850,3.2587180065490884e-08,3.4623878875095215e-08
1851,3.4826968864365426e-08,5.482023102132416e-08
1852,2.79953455972759e-08,4.166749079104193e-08
