year,ton_DET être_NOUN,ton_DET etre_NOUN,ton_DET maître_NOUN
1800,1.6349656073444407e-07,3.144164484325529e-09,8.363477306261302e-07
1801,1.4048977448055666e-07,0.0,1.0381956272453863e-06
1802,3.088219386881974e-07,0.0,8.951360541686881e-07
1803,1.09218993626925e-07,1.5602713787643552e-08,1.230664050666519e-06
1804,1.1123329235473989e-07,1.4831105232815389e-08,2.6695990040792594e-06
1805,1.6204402797370676e-07,0.0,9.409925203485159e-07
1806,1.123850950079941e-07,2.881669125542885e-08,1.0143475428492366e-06
1807,1.195721210933698e-07,0.0,8.825560642300445e-07
1808,9.064295625194063e-08,0.0,7.70465154786848e-07
1809,7.002994295568499e-08,0.0,9.623469976460797e-07
1810,1.1700633706368535e-07,0.0,1.5140620588383058e-06
1811,4.512738271955641e-08,0.0,1.3312577706869888e-06
1812,1.120227479667335e-07,0.0,7.65488747944687e-07
1813,9.489947672136623e-08,0.0,1.259574823109233e-06
1814,1.0384034254684593e-07,0.0,6.324821058001362e-07
1815,9.170560089089008e-08,0.0,6.662142384428194e-07
1816,4.1716869958463576e-08,0.0,4.5656796565651803e-07
1817,1.3700485945733476e-07,0.0,1.4510060353245535e-06
1818,7.987188821445557e-08,1.1921177378582115e-09,1.0764823601405737e-06
1819,6.417651177148542e-08,0.0,1.1386155005510545e-06
1820,1.51890952260203e-07,1.1866481131050932e-09,1.655374085807182e-06
1821,1.4792232383431525e-07,6.903041693817613e-09,1.845084436347122e-06
1822,1.0526896687679255e-07,5.012807946513931e-09,1.6582368260742442e-06
1823,8.004976526088114e-08,0.0,1.2847492421030893e-06
1824,1.204219133299489e-07,4.210556348027694e-09,1.164639872541784e-06
1825,1.0918749637767178e-07,8.805443041381977e-10,1.0927554612294443e-06
1826,1.2155018724868683e-07,0.0,9.221959444971617e-07
1827,8.387718669622402e-08,0.0,7.041996759049596e-07
1828,9.997808092521154e-08,0.0,7.145222771232085e-07
1829,4.972441980388709e-08,0.0,8.238822095663068e-07
1830,9.184415872276475e-08,1.0436835840010872e-09,1.2388523975559451e-06
1831,9.510635834431014e-08,0.0,1.1724587452022206e-06
1832,1.0147477091937418e-07,2.705993873419743e-09,9.53862858921184e-07
1833,1.1120283116561325e-07,1.1583628500844156e-09,7.575693166117503e-07
1834,1.0734710698123706e-07,0.0,7.318272299272621e-07
1835,6.579886502322552e-08,2.2689263801112247e-09,9.438733599154148e-07
1836,8.60256040291496e-08,1.3441500135158435e-09,1.1405113085061203e-06
1837,9.880204898671252e-08,1.3915781860163179e-09,1.0360299560474573e-06
1838,5.807188974138455e-08,6.312161904276081e-10,7.738710259275194e-07
1839,8.739343826391632e-08,1.3982950353153e-09,7.257151413142537e-07
1840,7.962110681880574e-08,3.1848443882154243e-09,7.643626576125939e-07
1841,1.05939048200554e-07,0.0,7.672555639715029e-07
1842,1.8581893979074948e-07,0.0,8.72745266722319e-07
1843,1.382217214018766e-07,0.0,7.525404592811924e-07
