year,son_DET oral_NOUN,son_DET moral_NOUN
1800,0.0,8.174827570428533e-08
1801,0.0,1.0715321963061797e-07
1802,0.0,1.4993528907325526e-07
1803,0.0,1.6382850054341702e-07
1804,0.0,2.3235398449727995e-07
1805,0.0,1.3077237781544682e-07
1806,0.0,6.051505163640059e-08
1807,0.0,1.537355700520493e-07
1808,0.0,8.61108118144216e-08
1809,0.0,1.739453558968762e-07
1810,0.0,5.3822915901946544e-08
1811,2.5070767684098882e-09,3.259199754523934e-08
1812,1.3336041604361526e-08,8.535066609027808e-08
1813,0.0,1.5241431094992208e-07
1814,3.1466771410748606e-09,1.0069366851439554e-07
1815,0.0,2.103834366717905e-07
1816,2.3176038865813098e-09,2.456660013194778e-07
1817,1.556873407970727e-09,1.1053801007854247e-07
1818,0.0,2.1458118704131834e-07
1819,3.1053151161586356e-09,2.4842519708023758e-08
1820,0.0,1.2697134277317446e-07
1821,0.0,9.171184389700215e-08
1822,7.017931125119503e-09,1.7745340130659315e-07
1823,9.882686891060644e-10,3.1822252744007073e-07
1824,4.210556348027694e-09,2.1979103692615354e-07
1825,1.7610886082763955e-09,1.2767892432208328e-07
1826,0.0,1.8849086558248018e-07
1827,0.0,1.4010255666718763e-07
1828,9.172301251858528e-10,1.9903893166972608e-07
1829,0.0,2.409062425101638e-07
1830,0.0,2.1708618191951246e-07
1831,0.0,1.7929886642065185e-07
1832,0.0,2.0294953628763324e-07
1833,3.4750886612755494e-09,2.2819748091151837e-07
1834,0.0,2.2402874488847146e-07
1835,0.0,1.8453935268780697e-07
1836,1.3441500135158435e-09,2.419469957715137e-07
1837,0.0,1.7603463842164047e-07
1838,5.049729523420865e-09,1.6096012389610337e-07
1839,2.0974426639952526e-09,1.510158584849819e-07
1840,6.369688665408546e-10,2.038300337403598e-07
1841,0.0,1.6243987754904765e-07
1842,0.0,1.6166918825888388e-07
1843,0.0,1.0455232701822581e-07
1844,2.7442805805577564e-09,1.5971713995810433e-07
1845,0.0,2.4162387468606994e-07
1846,5.854501328173001e-10,1.7212233593966175e-07
1847,5.9325460100012606e-09,1.515495879900186e-07
1848,0.0,1.8343105523399572e-07
1849,0.0,1.5334329361849086e-07
1850,0.0,1.663304010079969e-07
1851,1.2898877521649865e-09,1.605910191493365e-07
1852,6.510545436100301e-10,2.174522235609544e-07
1853,1.1943863675867306e-09,1.5168706202217663e-07
1854,0.0,1.4911557111307872e-07
1855,5.306937111981824e-10,2.223606720974658e-07
1856,0.0,1.1130956933946834e-07
1857,1.4644527812635033e-09,1.5474383330271735e-07
1858,0.0,1.5023585908657822e-07
1859,0.0,1.716062421053266e-07
1860,0.0,1.8949540692148048e-07
1861,0.0,1.2402984506110215e-07
1862,0.0,1.400575744270327e-07
1863,0.0,1.3535422827004595e-07
1864,9.589455896019672e-10,1.4815708837545571e-07
1865,4.23615986733239e-09,1.299089014139554e-07
1866,0.0,1.303984250577983e-07
1867,0.0,1.8295099657450464e-07
1868,4.93987406535723e-10,1.3140064680783325e-07
1869,0.0,1.4894732802694932e-07
1870,0.0,1.5195229785547326e-07
1871,0.0,2.3791436554176926e-07
1872,0.0,1.523929507030175e-07
1873,5.986004469882289e-10,2.3165837870209316e-07
1874,0.0,2.2225546381093864e-07
1875,3.432916173551348e-09,2.1226865021262142e-07
1876,0.0,1.2817552086374917e-07
1877,0.0,8.349501579019147e-08
1878,3.6234530931267273e-09,1.1836613555971098e-07
1879,6.10932526790009e-10,1.1180065140337092e-07
1880,6.417846254436199e-10,1.238644395940014e-07
1881,4.8807553554297556e-09,1.2689963924117365e-07
1882,0.0,1.291144737791683e-07
1883,0.0,1.0742876277447522e-07
1884,0.0,9.770511510964752e-08
1885,5.80107206715752e-09,1.0506386183273264e-07
1886,2.5813855497602844e-09,1.0131938565915988e-07
1887,0.0,8.944626883611306e-08
1888,0.0,9.003672829521747e-08
1889,2.5060546970934183e-09,8.645888716074523e-08
1890,3.2771931834929546e-09,9.110597076755766e-08
