year,en_ADP aire_NOUN,en_ADP maire_NOUN
1800,4.7162466820793725e-08,0.0
1801,1.619204113012529e-07,7.143547975374531e-09
1802,3.3567602031325805e-08,0.0
1803,2.9255089017965474e-08,1.950339223455444e-09
1804,1.730295728918918e-08,1.2359254952798437e-08
1805,3.695740935505398e-08,2.842877711017877e-09
1806,4.8988376022407465e-08,2.881669125542885e-09
1807,1.1387820464392462e-08,2.8469551160981155e-09
1808,4.5321479014148736e-08,4.5321479902327155e-09
1809,7.00299480627109e-08,2.259030518203531e-09
1810,5.3822916346035754e-08,2.3401267590372754e-09
1811,5.0141535368197765e-09,4.262030373070047e-08
1812,3.200649700829672e-08,2.6672082320544632e-09
1813,2.0130190847567064e-08,2.8757416448144113e-09
1814,4.090680150170556e-08,6.293354282149721e-09
1815,8.091670444798638e-09,0.0
1816,7.184571870766376e-08,0.0
1817,1.2454987263765815e-08,1.2454987263765815e-08
1818,7.152706427149269e-09,4.768470951432846e-09
1819,2.484252026313527e-08,8.280840013696888e-09
1820,1.7799721696576398e-08,3.5599443393152796e-09
1821,3.7473656067099625e-08,5.9168927535324656e-09
1822,3.0076847679083585e-08,6.015369535816717e-09
1823,3.2612866407433216e-08,4.941343556552624e-09
1824,1.431589158329416e-08,1.2631669044083083e-08
1825,1.3208164117983756e-08,3.610231535944308e-08
1826,2.466235649034587e-08,1.7615968683770689e-09
1827,2.027800155568471e-08,1.1982455361270183e-08
1828,2.384798225563145e-08,2.8434133270138773e-08
1829,4.800978425922864e-08,2.743416338546467e-08
1830,1.6698937788106605e-08,4.174734336004349e-09
1831,1.4032085493553836e-08,6.236482441579483e-09
1832,9.470978445946798e-09,8.117981842303834e-09
1833,1.2741991461950875e-08,3.4750886612755494e-09
1834,2.1469421573883096e-08,6.534171648198139e-09
1835,2.571449897459388e-08,6.806779140333674e-09
1836,2.9571301130015826e-08,1.6129800772812786e-08
1837,1.8786305289175687e-08,4.174734669071256e-09
1838,3.8504186727905676e-08,1.2624323808552163e-08
1839,2.6567605448946097e-08,2.09744255297295e-09
1840,5.860113566624747e-08,1.0828470564661075e-08
1841,4.173356549230789e-08,6.420548537278137e-09
1842,3.287049921141261e-08,8.049918065466954e-09
1843,3.0125246297529884e-08,1.1813822142769936e-09
1844,5.488561261035585e-08,2.195424508855126e-09
1845,2.7343117381395388e-08,9.48638767539478e-09
1846,1.3465352832753297e-08,1.2879902921980602e-08
1847,2.480882788091776e-08,8.089835468183537e-09
1848,2.0113054055581614e-08,2.735375392859396e-08
1849,2.3462362719328667e-08,5.02764896381791e-09
1850,2.1724787302446202e-08,2.7155984128057753e-09
1851,2.1283148576856092e-08,4.514607132577453e-09
1852,1.9531636752390114e-08,3.2552727180501506e-09
1853,2.26933418723263e-08,1.0152283680398e-08
1854,2.1821789930598356e-08,9.352196184142514e-09
