year,bon_ADJ an_NOUN,bon_ADJ man_NOUN
1800,1.3834323553396644e-07,3.144164484325529e-09
1801,1.166779455274991e-07,4.7623651688866175e-09
1802,8.056224487518193e-08,2.2378401354217203e-09
1803,3.120542824142092e-08,1.950339223455444e-09
1804,6.673997243744623e-08,0.0
1805,5.685755466444675e-08,0.0
1806,1.0662176119780042e-07,0.0
1807,3.9857372513552036e-08,0.0
1808,3.852325791697808e-08,0.0
1809,3.6144488291256494e-08,0.0
1810,3.510190227373755e-08,0.0
1811,2.507076715119183e-07,0.0
1812,2.400487453257938e-08,0.0
1813,5.1763349162570194e-08,0.0
1814,1.0069366851439554e-07,0.0
1815,3.5063905334808965e-08,5.394447111228828e-09
1816,1.8540831092650478e-08,0.0
1817,3.425121486433369e-08,0.0
1818,5.364529798157491e-08,0.0
1819,1.8631889808773394e-08,1.035105001712111e-09
1820,1.1629151686065597e-07,0.0
1821,7.49473095806863e-08,9.86148829262845e-10
1822,5.6143449000956025e-08,0.0
1823,1.126626291148014e-07,2.9648061783404955e-09
1824,2.0210670470532932e-08,0.0
1825,4.6668849229547504e-08,8.805443041381977e-10
1826,4.84439142134363e-08,8.807984341885344e-10
1827,3.871254605769536e-08,0.0
1828,2.9351363395324626e-08,1.8344602503717056e-09
1829,5.915491474439705e-08,0.0
1830,8.140731755368336e-08,0.0
1831,8.57516342378517e-08,0.0
1832,1.4612366427968482e-07,1.3529969367098715e-09
1833,9.614411311531512e-08,0.0
1834,6.720862266718086e-08,0.0
1835,1.3916081798015512e-07,0.0
1836,1.0753200463398116e-07,6.720750067579218e-10
1837,1.2385046099794295e-07,0.0
1838,1.1425013313193233e-07,0.0
1839,9.857980054484017e-08,0.0
1840,9.681926937954444e-08,1.2739377330817092e-09
1841,1.4061001163412357e-07,8.346713542550788e-09
1842,1.2007794580881637e-07,0.0
1843,1.1754752771153676e-07,1.7720733769266417e-09
1844,7.629100307049441e-08,0.0
1845,1.4285383187484513e-07,5.580227946389016e-10
1846,1.5865699154460344e-07,0.0
1847,9.977463655275187e-08,0.0
1848,1.5044565060406967e-07,0.0
1849,1.3742240234648762e-07,8.379414939696517e-10
1850,1.249175332063146e-07,6.788996032014438e-10
1851,1.3285843669663677e-07,1.2898877521649865e-09
1852,1.0351766932537032e-07,0.0
1853,1.8632428044895732e-07,1.1943863675867306e-09
1854,1.4963514161081548e-07,0.0
1855,1.841507177857693e-07,0.0
1856,1.972509142689205e-07,1.5531567143511893e-09
1857,1.6938836022717396e-07,1.9526036343364694e-09
1858,1.9770451054057503e-07,0.0
1859,1.680417205385254e-07,1.5276520048956854e-09
1860,1.6386318502092934e-07,9.154367819341758e-10
1861,2.0703080760853254e-07,9.431927461278633e-10
1862,2.5571801476331757e-07,1.3553959066214816e-09
1863,1.8530042567022065e-07,0.0
1864,1.8459702566531178e-07,9.589455896019672e-10
1865,1.74623919768635e-07,0.0
1866,1.6494427779178977e-07,2.919367858567057e-09
1867,2.052739329627684e-07,1.94112459439566e-09
1868,1.9808895634909618e-07,4.93987406535723e-10
1869,2.3538562921032735e-07,2.9301114867763545e-09
1870,1.5883315729325886e-07,1.1468097582678638e-09
1871,1.6887672416032729e-07,6.37270636261178e-09
1872,1.4815981774773945e-07,1.2094678591978436e-09
1873,1.711997255071651e-07,0.0
1874,1.7087382664371376e-07,2.3898436563030145e-09
1875,2.6662317065273555e-07,0.0
1876,1.6324239293652454e-07,1.209202959984168e-09
1877,1.8987384420299236e-07,6.184815992682502e-10
1878,1.8117265554451478e-07,6.039088673581716e-10
1879,2.1138265182685245e-07,6.10932526790009e-10
1880,2.413110191668011e-07,1.2835692508872398e-09
1881,3.012123261925126e-07,0.0
