year,en_ADP eaux_NOUN,en_ADP mot_NOUN
1800,2.358123420975744e-07,4.4018302336468196e-08
1801,2.524053570596152e-07,5.952956638743956e-08
1802,2.5735161557349784e-07,4.699464284385613e-08
1803,1.1331471370112922e-06,5.655983681407406e-08
1804,4.696516728852629e-07,2.719036085174764e-08
1805,5.34461003454112e-07,3.695740913300938e-08
1806,2.7087691023552907e-07,4.034336686942197e-08
1807,3.074711401040986e-07,6.263301344233696e-08
1808,2.5153420679657756e-07,3.172503637571822e-08
1809,2.710836657371374e-07,5.1957702140725814e-08
1810,3.1825722945910684e-07,3.042164786748458e-08
1811,3.4096243783920954e-07,3.5099075201827645e-08
1812,2.667208347517658e-07,2.6672082764633842e-08
1813,2.0992914051554123e-07,5.176335093892703e-08
1814,2.580275122454623e-07,2.2026740431613234e-08
1815,2.5623624266835066e-07,4.5852800667489646e-08
1816,2.062667476820934e-07,4.4034473845044886e-08
1817,2.2107602470899934e-07,2.8023721343473085e-08
1818,1.9908365556098317e-07,2.980294322441068e-08
1819,3.3226870055358404e-07,6.314140676977331e-08
1820,2.1003671690777992e-07,4.865257086095198e-08
1821,2.031466594942799e-07,3.4515208469088066e-08
1822,1.5439448475262907e-07,4.411270992932259e-08
1823,1.2649839309375466e-07,2.964806111727114e-08
1824,1.9621192581809055e-07,4.968456579490521e-08
1825,1.787504968486786e-07,5.195211372210906e-08
1826,2.3164999207736514e-07,2.6423953025656033e-08
1827,2.0185828181196186e-07,6.544263858598853e-08
1828,1.751909479708047e-07,4.3109814218400544e-08
1829,2.1518671777798204e-07,4.543783305166471e-08
1830,1.8890672803806297e-07,2.7135773628117477e-08
1831,2.7908258548592357e-07,4.053713498208822e-08
1832,3.368962495642336e-07,3.788391311765338e-08
1833,2.536814502906992e-07,3.243416024645285e-08
1834,1.7455573142477476e-07,3.4537765314368585e-08
1835,2.2008586597621616e-07,3.1764969321557146e-08
1836,1.854926970912274e-07,6.317505218955688e-08
1837,1.8507989274496595e-07,6.888311820940629e-08
1838,2.057764847407384e-07,6.943377983681387e-08
1839,2.551888466095775e-07,4.963947397573776e-08
1840,1.0828470919932442e-07,3.567025608219865e-08
1841,1.8491180320268086e-07,1.5409316489467528e-08
1842,1.677066228111812e-07,8.854909783195808e-08
1843,2.0615119794564762e-07,6.674809382989366e-08
1844,1.9374621373913214e-07,3.0735943179482916e-08
1845,1.696389348992966e-07,6.752075931704127e-08
1846,2.1603110056389596e-07,3.74688082782626e-08
1847,1.526282265018608e-07,3.5055954583640414e-08
1848,3.07327463255902e-07,6.677534053478595e-08
1849,2.1618890544417013e-07,5.614208054005587e-08
1850,1.5003680609027015e-07,5.838536409896733e-08
1851,2.347595637886002e-07,5.3530339716445496e-08
