year,en_ADP arbre_NOUN,en_ADP marbres_NOUN
1800,1.1507642554420272e-06,9.746909768182377e-08
1801,5.143354659953303e-07,6.667310969987739e-08
1802,8.078602604655316e-07,5.818384352096473e-08
1803,1.7026461591740372e-06,1.4822578009443532e-07
1804,1.2037914203233413e-06,6.426812149129546e-08
1805,9.921643098209643e-07,9.665784261869703e-08
1806,7.694056396445603e-07,1.9019016406218725e-07
1807,5.978605841505669e-07,1.3380689267705748e-07
1808,4.5094871836681705e-07,3.5350754501450865e-07
1809,1.337346070329204e-06,2.643065784013743e-07
1810,6.528953484519207e-07,5.148278958699848e-08
1811,7.345735006936138e-07,3.760615285841595e-08
1812,4.2408609601807257e-07,1.4136203674297576e-07
1813,3.4508898716367753e-07,8.627225156487839e-08
1814,2.73760917934851e-07,1.0069366851439554e-07
1815,4.126752060074068e-07,2.4814457333377504e-07
1816,1.0800033862778946e-06,6.025770460382773e-08
1817,1.41831165478834e-06,6.07180652423267e-08
1818,7.093100578003941e-07,3.612116756812611e-07
1819,6.386597704022279e-07,1.7079231895422708e-07
1820,5.043254347469883e-07,7.95054262425765e-08
1821,2.8598315005012864e-07,2.031466550533878e-07
1822,5.473986135484665e-07,1.223125138949399e-07
1823,3.7949516951130136e-07,1.373693407913379e-07
1824,3.0821271312930776e-07,1.1200079796935825e-07
1825,3.9624494974077606e-07,1.1182912373897125e-07
1826,4.879623212161732e-07,9.688783109140786e-08
1827,4.885154858413898e-07,8.479891278057039e-08
1828,5.384140611131016e-07,9.630916508740484e-08
1829,4.6037955314659484e-07,1.79179380666028e-07
1830,5.134923375393896e-07,1.2941676175159955e-07
1831,5.19187175029856e-07,8.263339168479433e-08
1832,3.1118929921802874e-07,1.0147476814381662e-07
1833,4.2164407076938915e-07,1.4247862623051333e-07
1834,4.536582149938795e-07,1.540197587246439e-07
1835,4.787434804143231e-07,1.1571524538567246e-07
1836,4.039170740099962e-07,6.653542783396915e-08
1837,4.0147030855308685e-07,1.426367646217841e-07
