year,un_DET hôtel_NOUN,un_DET motel_NOUN
1800,6.917162114206121e-07,0.0
1801,6.833994175003966e-07,0.0
1802,7.228223353195062e-07,4.475680270843441e-09
1803,7.703839952633018e-07,0.0
1804,1.0505366905277924e-06,0.0
1805,7.306195497491785e-07,2.842877711017877e-09
1806,1.0719809004910985e-06,2.881669125542885e-09
1807,1.0135159875801492e-06,0.0
1808,1.1556977077553654e-06,0.0
1809,1.1927680652057404e-06,0.0
1810,1.223886275880659e-06,0.0
1811,1.820137704555691e-06,2.5070767684098882e-09
1812,1.4936365833051468e-06,0.0
1813,1.1531723913549285e-06,2.8757416448144113e-09
1814,1.516698418413398e-06,0.0
1815,1.5212340860326634e-06,0.0
1816,8.018909145590669e-07,0.0
1817,9.668183658106955e-07,3.113746815941454e-09
1818,1.1444330327847752e-06,0.0
1819,6.717831251279449e-07,0.0
1820,8.923593810550301e-07,0.0
1821,1.1271680984137333e-06,9.86148829262845e-10
1822,1.1218663757972536e-06,0.0
1823,1.2817845114199145e-06,1.9765373782121287e-09
1824,1.282535420088493e-06,0.0
1825,1.3190554266628851e-06,0.0
1826,1.1503227828058016e-06,0.0
1827,1.0046827636500666e-06,0.0
1828,1.1492893978726215e-06,0.0
1829,1.523453352803017e-06,0.0
1830,1.3432207488506265e-06,0.0
1831,1.6199263122018692e-06,0.0
1832,1.3069950313138179e-06,0.0
1833,1.3355923904612155e-06,0.0
1834,1.426316291741614e-06,9.334530925997342e-10
1835,1.5232059027425748e-06,0.0
1836,1.2574523680086713e-06,2.688300027031687e-09
1837,1.5669170636556373e-06,1.3915781860163179e-09
1838,1.5881398844896921e-06,1.2624323808552163e-09
1839,1.3067067623495632e-06,6.9914751765765e-10
1840,1.3885921692491365e-06,6.369688665408546e-10
1841,1.4150888993924582e-06,6.420548537278137e-10
1842,1.4670975652109064e-06,2.683306021822318e-09
1843,1.4347886825305523e-06,1.7720733769266417e-09
1844,1.6871837633658515e-06,1.097712254427563e-09
1845,1.7242904881697996e-06,2.2320911785556063e-09
1846,1.4694798284864419e-06,1.1709002656346001e-09
1847,1.3418339968040982e-06,3.775256551818984e-09
1848,1.563991094855055e-06,8.045221711050488e-10
1849,1.5426503399140756e-06,1.6758829879393033e-09
1850,1.2016522639157756e-06,1.0183494048021657e-08
1851,1.3988832208156055e-06,6.449438760824933e-10
1852,1.5879220676140449e-06,1.9531636308300904e-09
1853,1.6793072674659015e-06,5.971932059978258e-09
1854,1.6475452433439841e-06,2.0782657816909023e-09
1855,1.8436299775714815e-06,4.776243400783642e-09
1856,1.4304573401346943e-06,4.659470143053568e-09
1857,1.7651536481366747e-06,4.881509085841174e-10
1858,1.8111494384243088e-06,9.787352039936081e-10
1859,1.5215414528313431e-06,3.055304009791371e-09
1860,1.7191903030067124e-06,2.288591982591015e-09
1861,1.426578972285597e-06,3.772770984511453e-09
1862,1.6201498596046804e-06,5.873382225018986e-09
1863,1.7775856058221962e-06,1.4983862484108101e-09
1864,1.9706331890745332e-06,3.835782358407869e-09
1865,1.946750842307665e-06,8.001635187770972e-09
1866,1.7725428165249468e-06,3.892490385570824e-09
1867,2.0862236809193746e-06,3.88224918879132e-09
1868,1.788234385458054e-06,9.87974813071446e-10
1869,1.7326725494370976e-06,3.9068152046795035e-09
1870,1.6680348089437302e-06,5.160643912205387e-09
1871,1.7864820236468404e-06,1.0621177271019633e-09
1872,1.885560365622041e-06,3.023669647994609e-09
1873,1.9622123019757964e-06,5.986004469882289e-10
1874,1.963256512027556e-06,5.974609140757536e-10
1875,2.2119423377375824e-06,2.8607636259891933e-09
1876,1.807758390981462e-06,4.232210137899983e-09
1877,2.1418017048802085e-06,4.9478527941460015e-09
1878,2.062348738007813e-06,9.662541822219595e-09
1879,1.9879744392881094e-06,6.10932526790009e-10
1880,2.1255907860506795e-06,8.343200352811664e-09
1881,2.2332940687874725e-06,1.1156012114099667e-08
1882,2.226226385459995e-06,1.9966155395678697e-09
1883,2.3981892169899766e-06,5.687405213450347e-09
1884,2.226752279455013e-06,4.621187876807653e-09
1885,1.9388472090042796e-06,4.511945039809007e-09
1886,1.997347052196119e-06,2.5813855497602844e-09
1887,2.2857764001571468e-06,1.3057849246322917e-09
1888,2.2553566623173538e-06,6.340614699951175e-10
1889,2.063735959012547e-06,6.265136742733546e-10
1890,2.1983411961912225e-06,0.0
1891,2.137913330813035e-06,6.374220040683554e-10
1892,2.1645174044238047e-06,3.1342561879199593e-09
1893,2.1893171258113853e-06,2.463366621796581e-09
1894,2.421681514874763e-06,6.301539290376468e-10
1895,2.262998965107954e-06,6.018614495673091e-09
1896,2.303969218075963e-06,1.179405795248556e-09
1897,2.3201973995412573e-06,1.1653427112179315e-09
1898,2.347085615639344e-06,2.8291774478717002e-09
1899,2.323793999892132e-06,4.4220627160029835e-09
