year,mon_DET oral_NOUN,mon_DET moral_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,6.713520406265161e-09
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,1.152667650217154e-08
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,7.521229861140455e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,7.784366928831332e-09
1818,0.0,1.3113295338484932e-08
1819,0.0,1.8631890696951814e-08
1820,0.0,0.0
1821,0.0,7.88919063410276e-09
1822,1.0025615893027862e-09,2.90742860897808e-08
1823,0.0,3.162459805139406e-08
1824,0.0,1.8526447931321854e-08
1825,0.0,4.402721520690989e-09
1826,0.0,3.5231937367541377e-09
1827,0.0,1.013900075008678e-08
1828,0.0,5.503380862137419e-09
1829,0.0,0.0
1830,0.0,9.39315203396518e-09
1831,0.0,1.870944643656003e-08
1832,0.0,1.3529969367098715e-09
1833,0.0,4.6334514003376626e-09
1834,0.0,1.8669061851994684e-09
1835,0.0,3.025235173481633e-09
1836,0.0,1.6129799718100912e-08
1837,0.0,3.4789454650407947e-09
1838,0.0,4.418513555037862e-09
1839,0.0,1.8876983531868063e-08
1840,0.0,1.3376345808779888e-08
1841,0.0,5.1364388298225094e-09
1842,0.0,1.8112315203211438e-08
1843,0.0,8.269675610961258e-09
1844,0.0,2.7442805805577564e-09
1845,0.0,1.2834524554250493e-08
1846,0.0,1.2294452567118697e-08
1847,0.0,7.550513103637968e-09
1848,0.0,5.63165514222419e-09
1849,0.0,5.02764896381791e-09
1850,0.0,2.5119284430275002e-08
1851,0.0,1.096404567135778e-08
1852,0.0,9.765818376195057e-09
1853,0.0,1.3138249821409431e-08
1854,0.0,1.6626126253527218e-08
1855,0.0,3.874064091746732e-08
1856,0.0,1.2425254325432178e-08
1857,0.0,2.0990489346672803e-08
1858,0.0,3.6702570538338364e-08
1859,0.0,2.953460631616167e-08
1860,0.0,1.0069804545764782e-08
1861,0.0,1.4147891080895647e-08
1862,0.0,2.1234535907410645e-08
1863,0.0,1.1987090431375691e-08
1864,9.589455896019672e-10,2.2535221244623926e-08
1865,4.706844358715045e-10,9.88437331983505e-09
1866,0.0,2.432806400776144e-09
1867,0.0,1.5043715606566366e-08
1868,0.0,1.3337659976464522e-08
1869,0.0,1.3673853493934018e-08
1870,0.0,6.307453670473251e-09
1871,0.0,7.434824311758348e-09
