year,mon_DET être_NOUN,mon_DET etre_NOUN,mon_DET maître_NOUN
1800,8.426360622593165e-07,9.432493897065797e-09,4.571615036752519e-06
1801,1.0048590983746664e-06,0.0,3.909901764131973e-06
1802,9.756983274655795e-07,0.0,3.3433331054766313e-06
1803,7.645329622718577e-07,1.950339223455444e-09,3.912380464043963e-06
1804,1.0085151593841601e-06,0.0,6.7654559785523816e-06
1805,5.913185603390048e-07,0.0,4.5031183475430225e-06
1806,5.561621252425653e-07,5.76333825108577e-09,5.120726072505022e-06
1807,7.971474538237544e-07,6.547997077888112e-08,3.365101036933993e-06
1808,5.257291602056569e-07,0.0,3.4263038770632193e-06
1809,6.121972870865022e-07,0.0,6.160376283759206e-06
1810,7.418201986020279e-07,2.3401267590372754e-09,1.7803684258410613e-05
1811,4.763445744515593e-07,1.504245972228091e-08,5.9091800466148925e-06
1812,5.867858021701977e-07,0.0,5.467776901468824e-06
1813,6.125329665707113e-07,0.0,6.300749745946632e-06
1814,4.4368147200657404e-07,0.0,4.471428098895558e-06
1815,5.259585860173388e-07,5.394447111228828e-09,4.3371354720989075e-06
1816,5.284136772587544e-07,0.0,4.032630670280923e-06
1817,9.419084019413049e-07,1.556873407970727e-09,5.189059173460464e-06
1818,6.520884090477352e-07,0.0,5.060539578494172e-06
1819,2.7751165987410786e-06,9.315945015409e-09,4.954012474911451e-06
1820,9.232122337721194e-07,8.306536791735653e-09,6.940704636804185e-06
1821,8.776724857995077e-07,5.916893086599373e-09,1.049459591584423e-05
1822,8.060595177994401e-07,2.0051231786055723e-09,7.000887705999048e-06
1823,7.273657782747023e-07,3.95307486744656e-09,7.467358166479698e-06
1824,9.524278539174702e-07,5.052667617633233e-09,5.583197545178109e-06
1825,7.141214020123243e-07,8.805443041381977e-10,5.940151709182828e-06
1826,6.412212503192904e-07,8.807984341885344e-10,4.6647085163442625e-06
1827,6.415222166822332e-07,9.217273055917019e-10,4.203998202001458e-06
1828,6.76915855368776e-07,9.172301140836225e-09,5.528146033384473e-06
1829,5.581137387800084e-07,0.0,5.780892525564241e-06
1830,8.693884208099689e-07,1.0436835840010872e-09,5.919773169438258e-06
1831,7.437005455912526e-07,0.0,6.913140630615544e-06
