year,en_ADP onde_NOUN,en_ADP monde_NOUN
1800,3.144164395507687e-08,3.772997558826319e-08
1801,1.1905912700171939e-08,3.809892135109294e-08
1802,2.4616241489638924e-08,9.175144555229053e-08
1803,1.3652374342143503e-08,2.5354409682876167e-08
1804,2.4718509905596875e-08,2.4718509905596875e-08
1805,2.842877711017877e-09,1.1371510844071508e-08
1806,5.4751712497136396e-08,1.729001475325731e-08
1807,1.1387820464392462e-08,5.124519120158766e-08
1808,2.039466551195801e-08,9.064295980465431e-09
1809,1.3554183553310395e-08,2.2590304959990704e-08
1810,3.510190182964834e-08,1.4040760554223652e-08
1811,2.757784400841956e-08,1.0028307073639553e-08
1812,0.0,1.8670457180292033e-08
1813,2.8757416004054903e-08,3.7384642270765767e-08
1814,2.2026739543434815e-08,9.440030979135372e-09
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-08,2.3176038865813098e-08
1817,7.784366928831332e-09,2.8023721676539992e-08
1818,7.152706427149269e-09,3.337929510571769e-08
1819,2.3807414706311647e-08,1.2421260464634543e-08
1820,1.779972080839798e-08,2.966620371580575e-08
1821,5.9168927535324656e-09,6.903041693817613e-09
1822,2.7069162911175226e-08,1.804610860745015e-08
1823,2.7671523739059012e-08,4.644862949820805e-08
1824,8.421112696055388e-10,1.8526447931321854e-08
1825,2.641632912414593e-09,2.993850567456491e-08
1826,1.145037931138404e-08,3.787433300317389e-08
1827,1.1982455028203276e-08,5.7147094167930845e-08
1828,6.420610709767516e-09,6.328887752760082e-08
1829,4.115124596637543e-08,2.3147576133641934e-08
1830,8.349468672008697e-09,3.1310506187764986e-08
1831,1.5591206548037917e-08,3.4300653872776365e-08
1832,1.7588959622116818e-08,5.68258712307923e-08
1833,2.3167257001688313e-09,4.4017789635475424e-08
1834,8.401078055442213e-09,6.907552574375586e-08
1835,1.4369867074037757e-08,4.689114518896531e-08
1836,3.024337402735e-08,5.9142600150607905e-08
1837,2.0177884252348122e-08,3.5485243188304594e-08
1838,2.9667161172142187e-08,5.5547026533986354e-08
1839,1.1885507689157748e-08,2.516931019158619e-08
1840,1.0191501864653674e-08,8.344292296014189e-08
1841,7.0626033910059505e-09,6.869986890478685e-08
1842,7.379091560011375e-09,3.4882980060046975e-08
1843,8.269675610961258e-09,4.430183153658618e-08
1844,6.586273748609983e-09,5.433675648314207e-08
1845,6.138250796539069e-09,4.5199847087395995e-08
1846,5.269050973311096e-09,4.3323308496212576e-08
1847,1.4561703842730367e-08,5.986478068820134e-08
1848,1.206783295515379e-08,4.666228647920434e-08
1849,1.256912263158938e-08,1.432879983553903e-07
1850,1.6972489191857676e-08,5.838536765168101e-08
1851,2.0638204034639784e-08,4.321123925343784e-08
1852,6.510545436100301e-09,6.705862021227915e-08
1853,8.957897534855874e-09,6.867721302761254e-08
1854,8.313063126763609e-09,6.910234073842503e-08
1855,5.837630823180007e-09,8.172682797180642e-08
1856,1.9673318973900678e-08,6.160855292591805e-08
1857,1.8061584228235006e-08,4.8326938895115745e-08
1858,1.1255455234504552e-08,7.829881809584549e-08
1859,1.323965115318515e-08,4.990329882659239e-08
1860,1.6020143434047895e-08,6.865775564746102e-08
1861,7.545541969022906e-09,5.423358118150645e-08
1862,1.671654992208005e-08,5.647482839710172e-08
1863,6.493007020935693e-09,6.792684131839977e-08
1864,1.2945765348604255e-08,1.8459702455508875e-07
1865,4.706844247692743e-09,7.57801975059813e-08
1866,2.6760870852626795e-08,6.325296492137866e-08
1867,6.308654931785895e-09,1.0336488287521206e-07
1868,5.433861360870651e-09,7.311013472399708e-08
1869,1.2208797528501236e-08,1.0060049504545532e-07
1870,1.1468097582678638e-08,4.4152177469669596e-08
1871,1.1683295220166201e-08,5.5230122919525115e-08
1872,1.0280476914203973e-08,5.5635521967190016e-08
1873,9.577607151811662e-09,1.0355788082616613e-07
1874,2.3898436563030145e-09,7.826737763449998e-08
1875,1.2015206607429718e-08,3.947853721708583e-08
1876,1.3301232115736639e-08,3.02300739996042e-08
1877,4.329371083855449e-09,5.13339741825547e-08
1878,1.2078177569208037e-08,3.381889746023603e-08
1879,1.0996785704264767e-08,5.803859082220697e-08
1880,1.9895322722618403e-08,5.776061806628263e-08
1881,1.3945015142624584e-09,3.834879180875106e-08
1882,9.317538740560849e-09,3.6604619557678575e-08
1883,2.7173157945981075e-08,4.5499240208801695e-08
1884,7.2618666635548834e-09,7.657968481566968e-08
1885,4.511945039809007e-09,3.222817923642651e-08
1886,2.3877817056927597e-08,3.226731948302586e-08
1887,5.223139698529167e-09,5.092561355946046e-08
1888,1.4583413587843097e-08,4.375024298397534e-08
1889,8.771191772893872e-09,1.879540939553337e-08
1890,9.176140736144589e-09,3.1461055982617836e-08
1891,1.2748440525456317e-08,2.995883496836882e-08
1892,2.382034658410248e-08,3.3849966163401746e-08
1893,2.278614097406262e-08,3.87980243488073e-08
1894,1.3233232287745977e-08,4.22203116912101e-08
1895,1.3240951446391591e-08,2.708376434235049e-08
1896,1.2383760683576384e-08,4.8945340169748164e-08
1897,1.6897470089816125e-08,3.729096820226374e-08
1898,2.2633418694795182e-08,3.3950128153215076e-08
1899,1.1607914629507832e-08,2.984892333302014e-08
