year,mon_DET air_NOUN,mon_DET maire_NOUN
1800,2.5467732811534916e-07,0.0
1801,2.857419119095539e-07,0.0
1802,2.6854081625060644e-07,2.2378401354217203e-09
1803,2.1843799924425866e-07,3.900678446910888e-09
1804,4.4740502147533334e-07,0.0
1805,2.3595885600968813e-07,0.0
1806,1.786634866718373e-07,0.0
1807,1.6512339939822596e-07,0.0
1808,1.31432294381284e-07,0.0
1809,2.82378817217932e-07,0.0
1810,5.101476219238066e-07,0.0
1811,3.083704456230407e-07,2.5070767684098882e-09
1812,1.7870294755084615e-07,2.6672082320544632e-09
1813,2.7894694198948855e-07,2.8757416448144113e-09
1814,2.1397405092216104e-07,0.0
1815,2.1577787912008262e-07,1.6183340889597275e-08
1816,1.46009039525552e-07,4.6352077731626196e-09
1817,3.6430836658496446e-07,3.113746815941454e-09
1818,3.4929049164134085e-07,0.0
1819,2.3703904972194323e-07,0.0
1820,3.453146142362584e-07,0.0
1821,3.5304127266044816e-07,1.0847637343935901e-08
1822,2.2156611123591574e-07,1.0025615893027862e-09
1823,3.449057608406747e-07,0.0
1824,3.107390718071201e-07,4.210556348027694e-09
1825,3.4693444384004124e-07,2.641632912414593e-09
1826,2.0434524117263209e-07,1.6735169694470642e-08
1827,2.1291900154096766e-07,1.1060728055678481e-08
1828,2.825068889933391e-07,2.659967357487858e-08
1829,2.6062456370823384e-07,1.1145129263923081e-08
1830,2.170861836958693e-07,6.262101504006523e-09
1831,2.60373150595683e-07,6.236482441579483e-09
1832,2.814233717174375e-07,1.6235963684607668e-08
1833,2.5947328552433646e-07,5.791814139399776e-09
1834,2.0162587244243468e-07,1.3068342852307069e-08
1835,2.6243913708867694e-07,4.5378527602224494e-09
1836,3.098265786150023e-07,7.392825018825988e-09
1837,1.7325148338187546e-07,2.7831563720326358e-09
1838,2.1713836595438352e-07,0.0
1839,1.475201329981246e-07,7.690622361167243e-09
1840,1.6561191085173732e-07,6.369688665408546e-10
1841,1.373997422504658e-07,5.1364388298225094e-09
1842,1.8514812083481047e-07,2.0124795163667386e-09
1843,1.7366318783018642e-07,2.953455535692484e-09
1844,1.0812466033627288e-07,2.195424508855126e-09
1845,1.858215874506186e-07,5.022205318283568e-09
1846,1.6041333328331575e-07,5.854501328173001e-10
1847,8.35949656163848e-08,0.0
1848,1.0619692769608946e-07,1.287235473768078e-08
1849,1.0641857173254721e-07,8.379414939696517e-10
1850,9.911934029105396e-08,1.3577992064028876e-09
1851,6.191460899529488e-08,6.449438760824933e-09
1852,1.3281512689644615e-07,6.510545436100301e-09
1853,1.481039095807546e-07,1.1943863675867306e-09
1854,1.4028293637835532e-07,5.195664454227256e-10
