year,aucun_DET auteur_NOUN,aucun_DET moteur_NOUN
1800,7.734644444923333e-07,1.2576657937302116e-08
1801,1.0215273249514212e-06,9.524730337773235e-09
1802,1.172628202539272e-06,0.0
1803,8.737519614498979e-07,0.0
1804,8.676196685541981e-07,4.943701892301533e-09
1805,1.009221572978447e-06,0.0
1806,9.941758776221832e-07,2.0171682990621775e-08
1807,9.537299536788169e-07,0.0
1808,1.1579637870795523e-06,0.0
1809,1.1295152457790891e-06,0.0
1810,1.0694379239950536e-06,2.8081521108447305e-08
1811,1.4641328540676568e-06,1.0028307073639553e-08
1812,1.293595957463367e-06,2.6672083208723052e-08
1813,1.391858972965565e-06,0.0
1814,9.534431697488799e-07,1.8880061958270744e-08
1815,1.5967564053198657e-06,0.0
1816,1.0174280813401992e-06,0.0
1817,1.5708852609819246e-06,0.0
1818,1.1050931494338556e-06,2.384235475716423e-09
1819,1.4356906721246787e-06,1.449147024601416e-08
1820,8.721863737903846e-07,1.1866481131050932e-09
1821,1.155766412352932e-06,1.97229765852569e-09
1822,9.303771548729856e-07,1.0025615893027862e-09
1823,8.904300692336165e-07,8.894418535021487e-09
1824,8.067425714131105e-07,1.8526447931321854e-08
1825,8.567696170302952e-07,7.044354433105582e-09
1826,1.1221372443470656e-06,7.0463874735082754e-09
1827,9.871699659380617e-07,4.608636583469661e-09
1828,8.466034131515698e-07,4.586150570418113e-09
1829,9.601957060567656e-07,6.858540846366168e-09
1830,9.278347334884529e-07,4.174734336004349e-09
1831,9.027308305320503e-07,6.236482441579483e-09
1832,9.010959729494061e-07,0.0
1833,8.61821953024311e-07,1.6217079235048004e-08
1834,6.84221091118431e-07,9.334531370086552e-09
1835,7.305943157120964e-07,1.2100940693926532e-08
1836,8.414378893095709e-07,8.736974699274924e-09
1837,8.09898523357333e-07,8.349468672008697e-09
1838,8.212122821760204e-07,6.312161904276081e-09
1839,9.284679123311435e-07,6.9914751765765e-10
1840,7.643626105391377e-07,1.9109065441114126e-09
1841,9.797756930218782e-07,1.7977535904378783e-08
1842,6.346018559533206e-07,1.0062397137744483e-08
1843,6.497602297317329e-07,2.3627643841450663e-08
1844,7.124152574533582e-07,6.586273748609983e-09
1845,6.004325427966251e-07,6.138250796539069e-09
1846,8.014812209466982e-07,5.269051195355701e-09
1847,6.703776795902172e-07,9.168480197274675e-09
1848,5.72819781163858e-07,1.287235473768078e-08
1849,6.016420091015107e-07,8.379414939696517e-10
1850,5.818169839244547e-07,4.073397619208663e-09
1851,6.733214361620554e-07,1.096404567135778e-08
1852,6.614714007646683e-07,1.1067927019325907e-08
1853,7.202149761020848e-07,2.388772735173461e-09
1854,5.678861219604592e-07,9.871762074453727e-09
1855,6.134819159342442e-07,1.326734277995456e-08
1856,5.731148471355141e-07,3.1063134287023786e-09
1857,4.603263131230939e-07,3.4170564155999728e-09
1858,5.696238787322727e-07,2.5447114637699997e-08
1859,6.263372962500569e-07,6.619825132503365e-09
1860,5.671130984818973e-07,2.746310290291376e-09
1861,4.885738391635641e-07,2.4994607272788016e-08
1862,6.040547617658376e-07,1.2650361702615243e-08
1863,5.863684680029735e-07,3.995696662428827e-09
1864,5.782441832025143e-07,9.589456340108882e-09
1865,4.810394944598784e-07,1.0355057367128495e-08
1866,5.415427111188365e-07,1.5083399418358567e-08
1867,5.080893750175619e-07,1.6984840200962026e-08
1868,6.352678330046047e-07,2.4699371437009177e-09
1869,5.923708954469475e-07,5.371870948067681e-09
1870,5.539091034734156e-07,3.4404292748035914e-09
1871,3.78113922616663e-07,2.1242354542039266e-09
1872,4.608072624590065e-07,6.047339295989218e-09
1873,5.902200399532376e-07,5.9860045809045914e-09
1874,5.783421528349209e-07,4.182226565063729e-09
1875,5.555602721751818e-07,6.293679966073995e-09
1876,4.6856615720791694e-07,3.02300739996042e-09
1877,6.283773146265048e-07,0.0
1878,5.845837733886583e-07,4.22736201599605e-09
1879,5.956592130651472e-07,3.0546626561545054e-08
1880,5.423079936228703e-07,1.0910338410496934e-08
1881,3.974329345624028e-07,4.8807553554297556e-09
1882,4.532317348093784e-07,5.989846840748214e-09
1883,5.232412618738636e-07,1.64302811356265e-08
1884,4.4693489087421767e-07,2.772712726084592e-08
1885,4.653748959526638e-07,9.668453648803421e-09
1886,4.227018735036836e-07,1.8069698626277386e-08
1887,4.792230612338244e-07,9.140494194870286e-09
1888,3.8043689443156836e-07,1.2047168373996442e-08
1889,4.272823375117696e-07,9.397704836544563e-09
1890,4.3848845621141663e-07,1.9007721618891082e-08
1891,3.7289186138877994e-07,2.1672347472190268e-08
1892,4.97093033402507e-07,2.6327752866706078e-08
1893,4.3170500418909796e-07,1.4780200174868696e-08
1894,2.923914195207544e-07,3.0877544077156927e-08
1895,3.256070504331632e-07,2.768562623600701e-08
1896,3.526423171251736e-07,2.0049897742069334e-08
1897,3.554295219254655e-07,1.3984112534615178e-08
1898,3.287504154458887e-07,1.9804242246124204e-08
1899,3.5708157497538195e-07,1.492446166651007e-08
1900,3.592208912550632e-07,2.5436160733249835e-08
1901,2.7608370700704654e-07,4.6945406007026236e-08
1902,3.402826614373744e-07,5.4995178633276964e-08
1903,2.9863218276027226e-07,7.614310559844739e-08
1904,3.740739096258494e-07,6.93326649425785e-08
1905,3.235795964506849e-07,6.192910761981807e-08
1906,3.415738515921696e-07,6.018695763998494e-08
1907,3.1474201733772134e-07,5.1942716794428634e-08
1908,3.447795218214367e-07,4.6167058620483203e-08
1909,3.2290774720777904e-07,3.24558033781841e-08
1910,3.147704724648648e-07,2.7789583634252324e-08
1911,3.4954858008084955e-07,4.043484236326833e-08
1912,3.3236108387679764e-07,2.2921453179947093e-08
1913,3.568912048113049e-07,4.401481579208166e-08
1914,3.207740075783505e-07,1.3393487430235496e-08
1915,2.945190575864842e-07,8.246533234057551e-09
1916,2.362304414305072e-07,1.4283700222605944e-08
1917,2.544210495614152e-07,2.4126133979507358e-08
1918,2.9634851017590336e-07,1.1486376294556067e-08
1919,2.992550665603666e-07,2.9465114792515124e-08
1920,2.8168701771136284e-07,1.438724073210551e-08
1921,3.2714268627387355e-07,2.4990066127550392e-08
1922,2.8773949267701937e-07,3.467629650089066e-08
1923,3.3440235824855336e-07,2.7601464669402276e-08
1924,3.261581014157855e-07,2.836157397823058e-08
1925,3.6953877602385887e-07,3.4094352896474334e-08
1926,3.6893717947350524e-07,2.6750733184144337e-08
1927,3.1886783347090386e-07,1.2264147253304714e-08
1928,3.2792737580944475e-07,1.9424270192303084e-08
1929,2.8742247737412185e-07,1.3368487650211591e-08
1930,3.5817287735717684e-07,2.1007207751111423e-08
1931,3.318958832210228e-07,2.167017854048936e-08
1932,3.1344275275291267e-07,1.9727165678773417e-08
1933,3.257668055312024e-07,2.638252261100149e-08
1934,3.55852932898415e-07,2.2765002327673756e-08
1935,3.674263187036786e-07,8.377798899061872e-09
1936,3.661663852128072e-07,1.4549657478823974e-08
1937,2.870774906682527e-07,8.813782481631449e-09
1938,3.708051323769723e-07,1.4261736236420575e-08
1939,3.854100683042816e-07,2.4470480752825097e-08
1940,3.372591166339589e-07,5.0715658339584024e-09
1941,4.3682238981546107e-07,1.4757512989405086e-08
1942,3.701738391370668e-07,1.2136847082899749e-08
1943,3.716140997145345e-07,1.1612940831184915e-08
1944,3.56663676370772e-07,2.8918675454292497e-08
1945,2.984550562246113e-07,8.714016175304096e-09
1946,2.658930995380615e-07,2.7842208538686464e-09
1947,2.9921385902298425e-07,2.1457568166738383e-08
1948,3.4898759393442447e-07,2.7179719586101214e-08
1949,2.9254685074420195e-07,2.2579119796084512e-08
1950,3.3501387974865793e-07,7.444753258312176e-09
1951,2.5907205980502113e-07,1.8124382994422206e-08
1952,2.7416489700726743e-07,2.9525450084832983e-08
1953,3.102862251580518e-07,2.2625036955048472e-08
1954,3.1858467663958834e-07,1.4658804170508688e-08
1955,3.857484860425586e-07,1.3139850985055546e-08
1956,3.24426467246397e-07,1.4825940475304833e-08
1957,3.056923105759779e-07,1.0602045463770082e-08
1958,2.7712016131831163e-07,2.7298402871522853e-08
1959,2.9530348766293457e-07,1.7826719656000023e-08
1960,3.024404091611643e-07,1.3841667145797487e-08
