year,en_ADP eau_NOUN,en_ADP mots_NOUN
1800,3.1787503758096136e-06,3.0183978916298315e-07
1801,2.576439555923571e-06,2.428806240573067e-07
1802,1.4859258499200223e-06,2.394488944901241e-07
1803,2.201932985057553e-06,2.1648764914061758e-07
1804,3.030489324373775e-06,1.2853624298259092e-07
1805,2.771805839074659e-06,2.2174446012712679e-07
1806,1.8154515828427975e-06,1.7578182109900808e-07
1807,1.3608445215140819e-06,2.590729195617314e-07
1808,1.4004336890138802e-06,2.424699139247366e-07
1809,2.3855361632740824e-06,7.454800510231507e-08
1810,1.8884823020925978e-06,1.4976811746336693e-07
1811,1.5669229469494894e-06,3.860898356577991e-07
1812,1.2935960285176407e-06,3.920796185497011e-07
1813,4.155446731601842e-06,1.4666281811237525e-07
1814,1.2838443126383936e-06,2.6117419338334e-07
1815,1.4484090797850513e-06,1.1328339066807303e-07
1816,2.1762300548289204e-06,1.8077309960062848e-07
1817,1.3918448757976876e-06,2.5221349952975203e-07
1818,1.5902850138971303e-06,1.9312307131258422e-07
1819,1.3725492635785486e-06,3.3640912455723537e-07
1820,9.97971028482425e-07,1.507043041470979e-07
1821,1.6942037053269132e-06,2.1793889404264633e-07
1822,1.7294187273364514e-06,3.8097341814591346e-07
1823,1.5199573006885458e-06,2.5003197290374146e-07
1824,1.6134852103277808e-06,3.292655073039441e-07
1825,9.906123521474797e-07,2.80013084719144e-07
1826,1.0745741292339517e-06,1.858484761640966e-07
1827,1.295948550250614e-06,1.6683263659444947e-07
1828,1.5776357807917307e-06,1.8252879385727283e-07
1829,1.1325165587550146e-06,2.4176357138472326e-07
1830,1.4121038334202751e-06,2.0978039727559405e-07
1831,1.3642305702887825e-06,2.6349139714554326e-07
1832,1.2853470745533002e-06,2.597754242827932e-07
1833,1.4502702546659307e-06,2.4209784932338607e-07
1834,1.1350789714814624e-06,2.4923198083115494e-07
1835,1.5663155323863975e-06,2.0571599179675104e-07
1836,1.5007434512881446e-06,2.668137731864917e-07
1837,1.0840394311095736e-06,3.033640525451631e-07
1838,1.4972448525440996e-06,2.802599796680738e-07
1839,1.4038881772648892e-06,1.7898176640773755e-07
1840,1.4242623365134932e-06,1.9618640845209256e-07
1841,1.6276090946121258e-06,1.759230365827591e-07
1842,1.3577528821251406e-06,2.2673935262673695e-07
1843,1.7366319041145495e-06,2.1442087327905313e-07
1844,1.482460447732592e-06,1.7947595898348823e-07
1845,1.506103540216408e-06,1.8358950626407022e-07
1846,1.391614934398433e-06,1.8792949951773608e-07
1847,1.3439913750801225e-06,1.871448560564204e-07
1848,1.6235256907748408e-06,1.7699488408240427e-07
1849,1.2527224966252248e-06,1.3993622882679801e-07
1850,1.2641111135636152e-06,2.0027538027989067e-07
1851,1.2840832823712844e-06,1.689752893163643e-07
1852,9.987177236325806e-07,2.584686598083863e-07
1853,1.5377724897902567e-06,2.2454464021492981e-07
1854,1.4958318388380576e-06,2.3796143688858962e-07
1855,1.4493245217295225e-06,1.85212101655452e-07
1856,1.6701612384206754e-06,2.091584399011026e-07
1857,1.3028747867793733e-06,3.177862293313183e-07
1858,1.2777388309626048e-06,3.053653783169352e-07
1859,1.353499639922262e-06,1.9757632663264246e-07
1860,1.8111916695318087e-06,1.8446051797127438e-07
1861,1.883084323139883e-06,1.7967822163456049e-07
1862,1.8085498547648626e-06,2.3222449563320424e-07
1863,1.7695941867401643e-06,2.0427999403160868e-07
1864,1.517531341921341e-06,2.617921479597385e-07
1865,1.7208223508369258e-06,2.452266001373715e-07
1866,1.852338885832694e-06,2.2673756672197953e-07
1867,1.6955722994538291e-06,1.8489211051075927e-07
1868,2.0530117073036536e-06,2.0154685564932606e-07
1869,1.8576907141465426e-06,2.388040876155628e-07
1870,2.1290523042338805e-06,2.1789385407089412e-07
1871,2.2368199523725707e-06,1.5082071058714064e-07
1872,1.9557096111455508e-06,2.1770421110289817e-07
1873,2.254329380946274e-06,2.0292554570033872e-07
1874,2.2464530360366552e-06,1.9955195040832763e-07
1875,1.9190002786828586e-06,2.2256740805914887e-07
1876,2.4728200003210077e-06,1.9528628136811221e-07
1877,2.013776033038539e-06,2.3007515381756605e-07
1878,2.335919546680998e-06,2.222384694050561e-07
1879,2.146816937553808e-06,1.6434085614580596e-07
1880,2.432363761073475e-06,2.2590818993251105e-07
1881,2.5191669088542312e-06,2.1196422950175986e-07
1882,2.059841768264903e-06,2.1363786739669877e-07
1883,2.4588548654946862e-06,1.9905918335894057e-07
1884,2.280226148343445e-06,2.5350515198141466e-07
1885,2.480925262560163e-06,2.5460260966170267e-07
1886,2.509752055068759e-06,2.5426647276560743e-07
1887,2.944544934990745e-06,2.226363262636255e-07
1888,2.8526426163466567e-06,2.954726343595837e-07
1889,2.7836001859071757e-06,3.076182213401779e-07
1890,2.89048454860108e-06,2.418568669781962e-07
1891,2.7166926770405553e-06,2.396706682006311e-07
1892,3.2270301826287096e-06,2.2315904324443636e-07
