year,un_DET an_NOUN,un_DET man_NOUN
1800,2.065401696427216e-05,5.659496071785952e-08
1801,1.8870872679599415e-05,5.714838380299625e-08
1802,2.064631223674951e-05,5.594600338554301e-08
1803,1.965746980658878e-05,4.290746136170753e-08
1804,2.160644874038553e-05,3.954961580454608e-08
1805,1.9544784152003558e-05,2.842877755426798e-08
1806,2.088921922904774e-05,5.4751715161671655e-08
1807,2.2809804022472235e-05,1.0818429396763918e-07
1808,2.2792173126617854e-05,1.3143228727585665e-07
1809,2.104286875237449e-05,6.551188591608081e-08
1810,2.2191421578554582e-05,5.616304354916224e-08
1811,2.3202996260351938e-05,6.267691565753353e-08
1812,1.9139885921504174e-05,5.601137331723294e-08
1813,2.1648583356181916e-05,5.463909147351842e-08
1814,1.9182143887519487e-05,2.2026739543434815e-08
1815,1.9614209008977923e-05,4.585280044544504e-08
1816,1.8413362852243154e-05,4.4034475621401725e-08
1817,1.8037934694348223e-05,3.8921835754379686e-08
1818,2.2023183362307464e-05,3.5763533023924765e-08
1819,2.257356914014963e-05,4.1404199735417535e-08
1820,2.1815338527630956e-05,4.9839221638592335e-08
1821,2.1181491547395126e-05,1.2622705414244706e-07
1822,1.979156860443254e-05,5.3135764233047666e-08
1823,2.0159692155630182e-05,7.708495886049604e-08
1824,1.9963090494456992e-05,5.64214550635711e-08
1825,2.186831864037231e-05,4.2266127264767306e-08
1826,2.178390661811136e-05,7.04638725146367e-08
1827,2.2704908076320862e-05,5.89905464476459e-08
1828,2.097338466455767e-05,5.595103869104889e-08
1829,2.0859394453509594e-05,4.715246665343287e-08
1830,2.163869237392646e-05,4.5922075919690997e-08
1831,2.1741936109265225e-05,5.6128342862393765e-08
1832,2.361114900395478e-05,7.441482807735156e-08
1833,2.2751404912924045e-05,6.370995819793279e-08
1834,2.3242048655447434e-05,6.347481251722797e-08
1835,2.2531194360908557e-05,5.672315950278062e-08
1836,2.33613275213429e-05,8.400937295816036e-08
1837,2.430878402037706e-05,5.28799719567985e-08
1838,2.4272787300105847e-05,5.302215955182987e-08
1839,2.1895203417443554e-05,6.921560591344189e-08
1840,2.3132797764446877e-05,8.089504877073495e-08
1841,2.3125531356527063e-05,3.788123725811943e-08
1842,2.389282769854617e-05,3.7566283861423244e-08
1843,2.350182637655962e-05,3.307870272140079e-08
1844,2.482750744547957e-05,3.8419928849453555e-08
1845,2.3381713617709465e-05,4.519984547757261e-08
1846,2.4084248366307293e-05,4.50796600048875e-08
1847,2.4692335387044295e-05,5.177494699637464e-08
1848,2.4372999632760184e-05,9.091100849900613e-08
1849,2.701523294490471e-05,3.7707368116812745e-08
1850,2.3052035430737305e-05,3.8018378667459274e-08
1851,2.4945139216470125e-05,4.2566295821444555e-08
1852,2.4500484073541884e-05,4.557381716452369e-08
1853,2.3782621269674564e-05,8.360704706333877e-08
1854,2.3131617240323976e-05,5.351534276831771e-08
1855,2.4107293256747653e-05,5.625353338700734e-08
1856,2.357847222356213e-05,5.48782052578467e-08
1857,2.367824788507278e-05,3.9052071076906e-08
1858,2.352292119667254e-05,5.6766642386740784e-08
1859,2.2499768192574265e-05,6.365216798087658e-08
1860,2.318297811143566e-05,6.774231886552684e-08
1861,2.3103035232452385e-05,5.1875602147255506e-08
1862,2.4454505023641104e-05,5.240864106581533e-08
1863,2.4611993467260618e-05,5.993544888172053e-08
1864,2.474175516908872e-05,5.0824117803216495e-08
1865,2.437862940496416e-05,5.365802613344073e-08
1866,2.334715657070774e-05,6.033359767343427e-08
1867,2.4310645130753983e-05,6.696879673029343e-08
1868,2.4710238449188182e-05,4.7916778433965135e-08
1869,2.4774581220299297e-05,7.129938217609322e-08
1870,2.4546889108023606e-05,6.07809180763752e-08
1871,2.594647332898603e-05,7.009977154304181e-08
1872,2.82942912690487e-05,5.684499082558858e-08
1873,2.694480235732044e-05,5.387404056200751e-08
1874,2.7689326543622883e-05,5.436894356947164e-08
1875,2.7299123075863463e-05,3.776208029604433e-08
1876,2.7892685466213152e-05,5.5018735123368856e-08
1877,2.7294210667605512e-05,7.236234600416225e-08
1878,2.6071350475831423e-05,5.012443482499407e-08
1879,2.6424664724800095e-05,4.459807334544763e-08
1880,2.8336716695775976e-05,5.455169205248467e-08
1881,2.9624092121594003e-05,8.088108877091216e-08
1882,2.9720954216827522e-05,5.191200513898764e-08
1883,2.915806226155837e-05,5.7505985417982686e-08
1884,2.921515010712028e-05,5.2813576623123026e-08
1885,2.9382429829638568e-05,7.73476263038475e-08
1886,2.9132226245565107e-05,6.19532544710033e-08
1887,2.9009317131567514e-05,7.051238376520885e-08
1888,2.9781233479297953e-05,7.798956103144405e-08
1889,2.880459328480356e-05,4.5108984714214984e-08
1890,2.985785295095411e-05,6.095579474507673e-08
1891,2.969302931887796e-05,6.62918905325327e-08
1892,2.9892654538343777e-05,8.274436491539916e-08
1893,3.0445980200966005e-05,5.727327256899173e-08
1894,2.9272540132296854e-05,6.679631670003516e-08
1895,2.9982932119310135e-05,6.379731121164411e-08
1896,3.035790450667264e-05,6.13291012419026e-08
1897,3.0130519007798284e-05,6.525918938571351e-08
1898,3.161209656354913e-05,6.790025885994311e-08
1899,3.211246598766593e-05,5.140648084989152e-08
1900,3.072947743021359e-05,6.07353235482222e-08
1901,3.1280170787795214e-05,8.494883052545532e-08
1902,2.9502948791559902e-05,1.551649739806038e-07
1903,3.097296303167241e-05,1.1772480545957364e-07
1904,3.318723611300811e-05,1.6177621997570668e-07
1905,3.277701262049959e-05,6.399341023755056e-08
1906,3.453342469583731e-05,6.275905189978559e-08
1907,3.137237240480317e-05,7.457122896958879e-08
1908,3.263274311393616e-05,6.286578169145685e-08
1909,3.1107511176742264e-05,5.941062258818519e-08
1910,3.1720206834506826e-05,7.214603670036013e-08
1911,3.060332437598845e-05,6.171634092666523e-08
1912,3.375548612893908e-05,5.730363461520227e-08
1913,3.281596059423464e-05,5.8863185992130695e-08
1914,3.254952207498718e-05,4.352883264946428e-08
1915,3.528573711264471e-05,6.24380365188415e-08
1916,3.7198051359155215e-05,5.713480422109285e-08
1917,3.3523263709867024e-05,6.250861950274356e-08
1918,3.312326248305908e-05,8.614782398552734e-08
1919,3.3388580504833953e-05,5.7088658744763876e-08
1920,3.45490661857184e-05,5.3762846174976175e-08
1921,3.5154208262611064e-05,5.528105795349347e-08
1922,3.6175492368784035e-05,1.0624227159139465e-07
1923,3.416636832298536e-05,3.8217411901797504e-08
1924,3.598696980589011e-05,2.7072411756812187e-08
1925,3.3587336702112225e-05,7.478761276935586e-08
1926,3.462659469732898e-05,3.232380019202452e-08
1927,3.3354021525155986e-05,4.2367056085623744e-08
1928,3.851947030852898e-05,4.227635086451187e-08
1929,3.498310411487182e-05,2.116677166874581e-08
1930,3.4511691865191096e-05,3.886333210800785e-08
1931,3.524483372530085e-05,3.877821264097747e-08
1932,3.519326310197357e-05,2.7398840751757803e-08
1933,3.501763762869814e-05,3.211785370993425e-08
1934,3.4222988006149535e-05,2.3963160344919743e-08
1935,3.49174683833553e-05,2.752705263731059e-08
1936,3.470093247415207e-05,2.667437248859983e-08
1937,3.752027441805694e-05,3.6514243184626594e-08
1938,3.602903279897873e-05,4.40817279345751e-08
1939,3.392985172467888e-05,1.988226561167039e-08
1940,3.413924628148379e-05,2.7893612530860423e-08
1941,3.2215650207945146e-05,2.6563522936839945e-08
1942,2.9865746682844474e-05,9.102635312174812e-09
1943,2.9853967589588137e-05,4.935499875458049e-08
1944,2.7986850682282238e-05,2.5705489292704442e-08
1945,3.248585267101589e-05,3.267756198965799e-08
1946,3.4439420687704114e-05,3.897909284233947e-08
1947,3.399951697247161e-05,4.5299308082391576e-08
1948,3.223406042707211e-05,2.0656587551570738e-08
1949,3.7681603089367854e-05,3.043272556180199e-08
1950,3.373749405000126e-05,3.190608399705752e-08
1951,3.472205412435869e-05,1.8124382994422206e-08
1952,3.4287483686057385e-05,1.3708244650523227e-08
1953,3.339670911373105e-05,2.0470272588113403e-08
1954,3.455275441410777e-05,2.247683283940205e-08
1955,3.4060369443977834e-05,2.5341141629553476e-08
1956,3.4037741670545074e-05,2.093073958597813e-08
1957,3.2210781228059204e-05,1.9437083054185678e-08
1958,3.4995727673958754e-05,1.7371711402702772e-08
1959,3.4730324614429264e-05,1.860179499324488e-08
1960,3.3031753218892845e-05,2.353083333739292e-08
1961,3.346511289237242e-05,1.8760029862896488e-08
1962,3.380896851012949e-05,1.648908676266103e-08
1963,3.2984630479404586e-05,1.2285500838871144e-08
1964,3.346000085002743e-05,1.7643507765896516e-08
1965,3.155125500597933e-05,5.362602550906814e-08
1966,3.1017710170999635e-05,2.381802155504431e-08
1967,3.258557444496546e-05,3.1554146850965026e-08
1968,3.295037345196761e-05,2.021137077146129e-08
1969,3.405546226531442e-05,2.4525492026139517e-08
1970,3.4959509093823726e-05,2.2073880195927487e-08
1971,3.5074702282145154e-05,2.158126877205291e-08
1972,3.7289497413439676e-05,2.462470471975564e-08
1973,3.58964714450849e-05,2.370677543162003e-08
1974,3.6983632071496686e-05,1.9126943806568875e-08
1975,3.883178214891814e-05,2.1703625119329217e-08
1976,3.787497053053812e-05,2.5139518244898795e-08
1977,3.567441490304191e-05,2.3507126911681553e-08
