year,mon_DET arrêt_NOUN,mon_DET marais_NOUN
1800,2.295240024707823e-07,0.0
1801,1.8811341817581706e-07,2.8574191901498125e-08
1802,2.3721105435470236e-07,8.951360541686881e-09
1803,3.315576555529276e-07,0.0
1804,4.4493318362981427e-07,7.4155526164076946e-09
1805,2.2743022043414385e-07,2.842877711017877e-09
1806,3.2562860496909707e-07,2.0171682990621775e-08
1807,1.822051274302794e-07,0.0
1808,2.809931629599305e-07,1.3596443970698147e-08
1809,2.801197798163457e-07,2.259030518203531e-09
1810,1.9891076874500868e-07,7.020380277111826e-09
1811,1.4791752533938052e-07,0.0
1812,1.4669645587161995e-07,0.0
1813,2.3293506967725364e-07,0.0
1814,2.0453401416986594e-07,0.0
1815,2.157778871136884e-07,0.0
1816,1.297858158721965e-07,0.0
1817,2.708959702113489e-07,0.0
1818,1.8716248217920395e-07,5.960588467246453e-09
1819,1.7596784340767613e-07,2.4842520929269085e-08
1820,4.022737245534813e-07,3.5599443393152796e-09
1821,3.1951221046711e-07,8.875339574387908e-09
1822,3.769631433669929e-07,1.303330066093622e-08
1823,3.547884581678318e-07,1.9765373782121287e-09
1824,2.13054154762915e-07,3.3684450784221553e-09
1825,2.430302257216965e-07,8.805443041381977e-10
1826,1.3564296397206022e-07,8.807984341885344e-10
1827,1.5485018128869044e-07,9.217273055917019e-10
1828,1.8344602870090654e-07,9.172301251858528e-10
1829,1.3717081126518593e-07,0.0
1830,1.4507202505953387e-07,1.0436835840010872e-09
1831,1.637076678662197e-07,7.795603274018958e-09
1832,3.0713031407003655e-07,4.058990921151917e-09
1833,2.0039677162131397e-07,1.6217079235048004e-08
1834,1.8295680526136948e-07,0.0
1835,1.830267279956388e-07,0.0
1836,1.3710329582750092e-07,2.688300027031687e-09
1837,1.7394727946928867e-07,0.0
1838,1.6159135118876122e-07,3.787297142565649e-09
1839,9.158832625644209e-08,1.3982950353153e-09
1840,1.5478343584618415e-07,3.1848443882154243e-09
1841,1.1942220590199781e-07,1.2841097074556274e-09
1842,1.1940711708291474e-07,0.0
1843,1.42947241599245e-07,2.3627644285539873e-09
1844,9.824524932477985e-08,1.6465684371524958e-09
1845,9.207376128195222e-08,0.0
1846,9.074477236303835e-08,7.025401593807601e-09
1847,8.359496472820638e-08,5.393223645455691e-10
1848,6.597081725345788e-08,8.045221711050488e-10
1849,1.0139092410099693e-07,0.0
1850,1.1744963401838504e-07,3.394498016007219e-09
1851,1.0641573711112073e-07,0.0
1852,1.2630458279261347e-07,6.510545436100301e-10
1853,9.674529533043597e-08,5.971931837933653e-09
1854,1.2157855100447534e-07,4.676098175337984e-09
1855,1.6133088820424746e-07,8.491099379170919e-09
1856,1.0872097577774298e-07,0.0
1857,1.1617991368950698e-07,1.6597130780837688e-08
1858,1.081502425392955e-07,0.0
1859,1.166107734817956e-07,5.092173349652285e-10
1860,1.4097726808159905e-07,4.119465657481669e-09
1861,1.141263196169362e-07,9.431927461278633e-10
1862,1.3102160789646433e-07,2.2589932147099034e-09
1863,1.0538649597435779e-07,0.0
1864,1.0500454550310678e-07,0.0
1865,9.601962691618837e-08,4.706844358715045e-10
1866,9.00138375503623e-08,0.0
1867,7.23068893648815e-08,8.249779526181555e-09
1868,5.829051508143834e-08,3.457911734727759e-09
1869,1.3234336915246558e-07,3.906815315701806e-09
1870,1.2442886543340137e-07,1.7202146374017957e-09
1871,6.054071377548098e-08,0.0
1872,9.433849612605627e-08,6.047339295989218e-10
1873,9.996627203801012e-08,5.986004469882289e-10
1874,9.260644073805224e-08,0.0
1875,1.0527610072585958e-07,6.865832347102696e-09
1876,7.315677841290835e-08,3.627608879952504e-09
1877,1.0699731689545189e-07,2.4739263970730008e-09
1878,8.515115079710256e-08,2.4156354694326865e-09
1879,1.1790997955785087e-07,6.10932526790009e-10
1880,1.01401973040538e-07,0.0
1881,7.530308443470801e-08,0.0
1882,1.0182739274000596e-07,6.655385131892899e-09
1883,5.876985353925335e-08,4.423537369735442e-09
1884,5.0172898724554216e-08,1.3203393933736152e-09
1885,6.767917271055524e-08,1.2891271383708158e-09
1886,4.969167022306209e-08,0.0
1887,7.442974059301832e-08,1.3057849246322917e-09
1888,7.038082272536883e-08,0.0
1889,7.142256031045235e-08,1.2530273485467092e-09
1890,7.20982497037781e-08,0.0
1891,3.0596255640169545e-08,5.099376032546843e-09
1892,3.6984221463143285e-08,5.641661138255927e-09
1893,4.618812399215244e-08,0.0
1894,5.4823391160141455e-08,5.671385139294216e-09
1895,4.995450098022047e-08,1.2037228991346183e-09
1896,4.4817418443088286e-08,2.9485144326102386e-09
1897,4.3700350005337896e-08,0.0
1898,6.846609512667357e-08,0.0
1899,5.085372123403431e-08,5.527578395003729e-10
1900,6.540726893433657e-08,1.038210628578895e-09
1901,4.6945406007026236e-08,0.0
1902,3.633610179409885e-08,0.0
1903,2.8621166769937645e-08,0.0
1904,3.171028684079147e-08,0.0
1905,3.922177005399874e-08,0.0
1906,4.218231425268115e-08,5.144184522798412e-10
1907,3.857132691020837e-08,1.5428530120153994e-09
1908,4.17468073443672e-08,0.0
1909,4.1807473927235606e-08,0.0
1910,3.63402248293454e-08,0.0
1911,3.8306692706768786e-08,1.5961122423746588e-09
1912,5.417798243367855e-08,0.0
1913,4.4014814515325185e-08,0.0
1914,4.151981247701997e-08,8.705766774141921e-09
1915,8.246533234057551e-09,0.0
1916,8.789969641043172e-09,2.197492410260793e-09
1917,2.7416060532914344e-08,0.0
1918,1.4932290071101306e-08,0.0
1919,2.9465114792515124e-08,4.603924241841639e-09
1920,3.104614876292544e-08,7.572231730534895e-10
1921,4.3921935533042245e-08,0.0
1922,4.5743198340275626e-08,7.377935484775833e-10
1923,4.0340603302269074e-08,0.0
1924,4.769901096324247e-08,1.418078698911529e-08
1925,8.028669640225417e-08,0.0
1926,6.13037585139864e-08,0.0
1927,7.358488574027433e-08,0.0
1928,4.4561559775502246e-08,1.1426041224282812e-09
1929,7.909688548579652e-08,0.0
1930,4.516549623190258e-08,0.0
1931,4.44808918587114e-08,1.1405356659111021e-09
1932,2.849479496802587e-08,0.0
1933,4.12943848004943e-08,0.0
1934,5.032263672433146e-08,0.0
1935,3.7101681726881e-08,2.393656828303392e-09
1936,3.394919900756577e-08,0.0
1937,2.8959572406783707e-08,0.0
1938,3.241303758727554e-08,0.0
1939,2.5999886688055085e-08,1.5294050470515685e-09
