year,aucun_DET archer_NOUN,aucun_DET marché_NOUN
1800,0.0,7.231578535993322e-08
1801,0.0,7.619784270218588e-08
1802,0.0,6.042168365638645e-08
1803,0.0,1.2092102963379148e-07
1804,0.0,4.202146608456303e-08
1805,0.0,7.960057835099121e-08
1806,0.0,6.916005901302924e-08
1807,0.0,1.0249038240317532e-07
1808,0.0,7.024829073998262e-08
1809,0.0,5.6475762733043666e-08
1810,2.3401267590372754e-09,4.212228166267096e-08
1811,7.521229861140455e-09,2.5070768572277302e-08
1812,0.0,8.268345652595599e-08
1813,0.0,1.0065095534805835e-07
1814,0.0,7.866692897096073e-08
1815,0.0,3.236668177919455e-08
1816,0.0,3.9399266071882266e-08
1817,0.0,5.7604317427184526e-08
1818,5.960588467246453e-09,1.0013788820373293e-07
1819,4.140420006848444e-09,3.9333990287104825e-08
1820,0.0,6.170570188146485e-08
1821,5.9168927535324656e-09,3.550135829755163e-08
1822,1.0025615893027862e-09,7.619468078701175e-08
1823,9.882686891060644e-10,5.731958518939706e-08
1824,8.421112696055388e-10,8.000056794799093e-08
1825,4.4027217427355936e-09,6.692136622632461e-08
1826,0.0,4.844391288116867e-08
1827,1.8434546111834038e-09,1.2443318464505637e-07
1828,0.0,6.328887725004506e-08
1829,1.2002446148073886e-08,9.001834655464336e-08
1830,0.0,6.366469884611092e-08
1831,0.0,6.860130552510668e-08
1832,0.0,8.659180572578862e-08
1833,0.0,9.498575526123432e-08
1834,0.0,9.521221544517289e-08
1835,1.0588323107185715e-08,5.218530674255817e-08
1836,7.392825018825988e-09,5.107770117973587e-08
1837,1.3915781860163179e-09,6.053365275704436e-08
1838,3.1560809521380406e-09,1.0541310668799042e-07
1839,3.4957374772659477e-09,9.088918062616358e-08
1840,8.917564020549662e-09,1.350373963759921e-07
1841,1.2841097074556274e-09,7.704658244733764e-08
1842,6.708265054555795e-10,9.458653948968276e-08
1843,4.7255288571079745e-09,7.088293152435199e-08
1844,0.0,7.903528331798526e-08
1845,2.7901139176833567e-09,7.700714732550296e-08
1846,5.854501328173001e-10,9.542837275944294e-08
1847,1.6179670936367074e-09,1.4022381744638324e-07
1848,8.045221711050488e-10,6.999342971880651e-08
1849,9.217355989576959e-09,9.636326936401929e-08
1850,1.3577992064028876e-09,6.245876615906809e-08
1851,2.579775504329973e-09,5.8044947959245974e-08
1852,8.463709288974997e-09,1.3021090539133695e-07
1853,5.971931837933653e-10,5.19558078782012e-08
1854,0.0,7.689583370051878e-08
1855,0.0,4.192480318465641e-08
1856,0.0,6.264398777489077e-08
1857,1.9526036343364694e-09,7.371078436513301e-08
1858,3.9149408159744326e-09,3.8660040280191765e-08
1859,1.018434669930457e-09,5.092173327447824e-08
1860,4.577183909670879e-10,8.467790379995677e-08
1861,4.715963730639317e-10,8.252936734010063e-08
1862,0.0,9.578131177079285e-08
