year,certain_ADJ être_NOUN,certain_ADJ maître_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,1.4287095950749062e-08
1802,2.2378401354217203e-09,4.475680270843441e-09
1803,1.950339267864365e-08,1.950339223455444e-09
1804,4.943701892301533e-09,4.2021465418429216e-08
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,0.0,6.627838811112952e-08
1807,2.8469551160981155e-09,0.0
1808,0.0,1.1330369531492579e-08
1809,0.0,1.1295152813062259e-08
1810,2.8081521108447305e-08,1.4040760110134443e-08
1811,1.7549536934780008e-08,2.5070768572277302e-08
1812,5.3344164641089264e-09,3.200649700829672e-08
1813,0.0,8.627225156487839e-09
1814,3.1466771410748606e-09,6.293354282149721e-09
1815,0.0,0.0
1816,2.5493642752394408e-08,0.0
1817,6.227493631882908e-09,1.401186100480345e-08
1818,1.5497530370112145e-08,2.5034471606844022e-08
1819,4.140420006848444e-09,1.8631890696951814e-08
1820,5.933240565525466e-09,1.779972080839798e-08
1821,4.930744257336528e-09,1.0847637454958203e-08
1822,7.017931125119503e-09,2.7069162911175226e-08
1823,1.680056804787e-08,2.0753642027138142e-08
1824,1.0947446504872005e-08,2.5263338088166165e-08
1825,2.641632912414593e-09,1.1447076175841175e-08
1826,8.80798456392995e-09,1.5854371593349015e-08
1827,4.608636583469661e-09,1.8434546111834038e-09
1828,1.8344602503717056e-09,1.2841221419535032e-08
1829,2.2290258527846163e-08,2.2290258527846163e-08
1830,1.0436835840010872e-09,1.878630406793036e-08
1831,9.354723218280014e-09,2.182768810143898e-08
1832,4.058990921151917e-09,5.953186388296672e-08
1833,5.791814139399776e-09,1.50587169400751e-08
1834,1.7735608537350345e-08,2.333632664885954e-08
1835,8.31939672707449e-09,3.932805725526123e-08
1836,2.2850549896702432e-08,8.064899859050456e-09
1837,6.262101948095733e-09,1.6698937344017395e-08
1838,1.7674054220151447e-08,2.209256599883247e-08
1839,2.7266752411492234e-08,8.38977065598101e-09
1840,8.917564464638872e-09,7.261444778805526e-08
1841,9.630822361827995e-09,3.4028907691663335e-08
1842,3.152884531232303e-08,3.8237110366878824e-08
1843,7.088293330070883e-08,2.8353174030826267e-08
1844,2.7991662321369404e-08,1.4819115767839008e-08
1845,2.622707206967334e-08,2.9017184655089068e-08
1846,4.27378594736183e-08,8.196302303531411e-09
1847,3.182001862001016e-08,2.1033571329098777e-08
1848,1.6090443422100975e-09,4.022610822218553e-08
1849,3.100383594301093e-08,1.8434713311421547e-08
1850,3.055048125588655e-08,1.4935791270431764e-08
1851,1.2253933867611977e-08,2.1928091564760166e-08
1852,2.018269018577712e-08,2.6042181744401205e-08
1853,2.20961471342207e-08,6.569125021727018e-09
1854,2.4939190268469247e-08,1.0391328686409906e-08
1855,2.600399184871094e-08,2.175844215912548e-08
1856,1.9155599773057475e-08,3.468716758270318e-08
1857,1.6597130780837688e-08,8.786716299002961e-09
1858,5.334106800702898e-08,1.9574704523961373e-08
1859,2.036869295451993e-08,2.698851964133553e-08
1860,1.5562426014525954e-08,1.4646988510946812e-08
1861,2.5466203368296192e-08,1.9335450573976232e-08
1862,5.873382141752259e-08,1.8523744316212287e-08
1863,4.4452126868321784e-08,2.0477944673302773e-08
1864,4.6988335888897836e-08,3.2604148714199255e-08
1865,2.682901328876497e-08,1.7886009118228685e-08
1866,2.822055417128766e-08,3.2113044667880786e-08
1867,2.232293283555009e-08,2.232293283555009e-08
1868,1.3831646938911035e-08,2.9145256874585357e-08
1869,2.2952539424636598e-08,3.564968853453365e-08
1870,2.3509599600401998e-08,1.490852730157144e-08
1871,1.0621177271019633e-09,9.559059321873065e-09
