year,mon_DET archer_NOUN,mon_DET marché_NOUN
1800,0.0,2.2009151834367913e-08
1801,0.0,5.476719877606229e-08
1802,0.0,5.818384352096473e-08
1803,0.0,2.7304748684287006e-08
1804,0.0,4.943701981119375e-08
1805,0.0,1.9900143755080535e-08
1806,0.0,6.339671898558663e-08
1807,4.555128363392669e-08,2.2775640928784924e-08
1808,0.0,6.345007363961486e-08
1809,0.0,4.51806094758922e-08
1810,0.0,4.44624070894406e-08
1811,0.0,1.3287507272252697e-07
1812,0.0,7.468182872116813e-08
1813,0.0,3.738464204872116e-08
1814,0.0,3.1466772298927026e-08
1815,0.0,2.4275012222574333e-08
1816,0.0,2.5493642752394408e-08
1817,7.784366928831332e-09,5.916118794857539e-08
1818,0.0,7.74876554032744e-08
1819,0.0,4.450951662793301e-08
1820,0.0,5.458581142647745e-08
1821,0.0,1.015733275266939e-07
1822,0.0,6.316138012607553e-08
1823,0.0,6.81905376609393e-08
1824,0.0,6.315834344405857e-08
1825,0.0,9.421824032074255e-08
1826,0.0,3.52319382557198e-08
1827,0.0,3.2260455640198415e-08
1828,0.0,4.677873732816806e-08
1829,0.0,4.286588062285546e-08
1830,0.0,8.558205455422296e-08
1831,0.0,2.3386808933878456e-08
1832,0.0,1.0823975582496814e-07
1833,0.0,5.560141858040879e-08
1834,0.0,3.640467127752345e-08
1835,0.0,4.310960122211327e-08
1836,8.064899859050456e-09,3.6292051308617346e-08
1837,0.0,5.6358918310017714e-08
1838,6.943378094703689e-09,3.7241754569095065e-08
1839,6.9914751765765e-10,3.915226187700682e-08
1840,0.0,3.24854127486951e-08
1841,0.0,3.9165346965575054e-08
1842,0.0,4.561620414733625e-08
1843,4.7255288571079745e-09,2.8943864194275193e-08
1844,0.0,3.457793529282327e-08
1845,0.0,2.5111025481194815e-08
1846,1.7563503984519002e-09,5.210506048847208e-08
1847,0.0,2.8584085320915165e-08
1848,8.045221711050488e-10,2.896279749364794e-08
1849,1.256912263158938e-08,1.508294644736452e-08
1850,6.788996032014438e-10,3.8018376891102434e-08
1851,0.0,2.96674187438839e-08
1852,6.510545436100301e-10,2.343796290382727e-08
1853,1.7915795513800958e-09,4.717826129763125e-08
1854,0.0,4.8319680701069956e-08
1855,3.714855978387277e-09,3.555647865027822e-08
1856,0.0,2.5368226630462232e-08
1857,0.0,2.9777205645675764e-08
1858,4.893676019968041e-10,4.942612630287613e-08
1859,0.0,3.920973590254562e-08
1860,4.57718396518203e-09,4.3025529805618135e-08
1861,0.0,3.961409539288141e-08
