year,un_DET auteur_NOUN,un_DET moteur_NOUN
1800,9.158951172594243e-06,8.803660733747165e-08
1801,7.836471979771886e-06,1.0477203216119335e-07
1802,8.239727321779355e-06,2.3721105435470236e-07
1803,7.436643585378988e-06,9.55666195068261e-08
1804,9.956615627970677e-06,1.1864884541523679e-07
1805,1.0294059961779567e-05,1.2792949632967066e-07
1806,1.033366589808793e-05,1.2103009794373065e-07
1807,8.757234070344566e-06,1.2811298155668283e-07
1808,1.0704933174565667e-05,9.970725445285211e-08
1809,9.621211233934446e-06,2.643065784013743e-07
1810,1.2641364833143598e-05,1.0436965354188033e-06
1811,1.1467369517959014e-05,4.236959636472193e-07
1812,1.023141038558606e-05,4.1341726975119286e-07
1813,1.1965961050464102e-05,1.0927818294703684e-07
1814,9.688619002190535e-06,1.0384034254684593e-07
1815,9.6722432090246e-06,3.85702975336244e-07
1816,7.576247242013778e-06,1.7845549393769033e-07
1817,1.0578955226492326e-05,2.428722609693068e-07
1818,1.0761246770130128e-05,5.090342889424448e-07
1819,9.386331967675687e-06,6.738533695482829e-07
1820,9.830193093307571e-06,5.446714688162047e-07
1821,1.1540899713224917e-05,3.0077539214801163e-07
1822,1.0302322550614917e-05,7.148264131728865e-07
1823,8.085026109938553e-06,6.888232704227448e-07
1824,8.356269894704837e-06,5.355827816799774e-07
1825,9.226342875479077e-06,7.035549229872373e-07
1826,8.624778288890411e-06,3.752201394036092e-07
1827,7.859568516010995e-06,4.875937396064955e-07
1828,8.093638825812377e-06,7.787283529125943e-07
1829,9.326757957950349e-06,6.387016355802189e-07
1830,8.697015499770089e-06,7.10748547350093e-07
1831,7.393349967799168e-06,5.659607644759035e-07
1832,8.04897896955481e-06,5.439047718880374e-07
1833,7.054429785213756e-06,4.714536725458629e-07
1834,7.607642612761367e-06,5.339351947242221e-07
1835,7.461742775660696e-06,4.038689098706527e-07
1836,7.71810935962236e-06,6.49224451976238e-07
1837,6.753328992914476e-06,5.691554560982581e-07
1838,7.135899092958198e-06,5.365337507612367e-07
1839,6.947428921932897e-06,7.550793466037931e-07
1840,6.631482673213895e-06,8.930303785348315e-07
1841,7.643021092462732e-06,7.50562117346476e-07
1842,6.46877980869931e-06,5.621526129040433e-07
1843,7.971376398074881e-06,7.927074374691756e-07
1844,6.852468878104645e-06,8.606064270111347e-07
1845,6.983097224022572e-06,6.980864992733871e-07
1846,7.276559855329268e-06,8.190447431388748e-07
1847,6.3559142979841e-06,6.61748534191986e-07
1848,6.67270674226117e-06,5.792559445438883e-07
1849,5.940167101314842e-06,5.513655123579042e-07
1850,5.746206205969884e-06,6.788996085305143e-07
1851,6.9118634158371606e-06,8.332674816813324e-07
1852,7.63947412352195e-06,8.971531890722417e-07
1853,6.696924352844746e-06,7.829202752773767e-07
1854,6.631226706854676e-06,1.0739438440765525e-06
1855,6.921307296181567e-06,8.87850603703555e-07
1856,6.805932828868322e-06,8.552716330711974e-07
1857,7.073306703020421e-06,8.635389319167075e-07
1858,7.4344727494235485e-06,1.1084176314568595e-06
1859,7.99674925211491e-06,7.862315500872796e-07
1860,5.941184843649694e-06,8.678340481793612e-07
1861,6.449552190979091e-06,1.0313812417450663e-06
1862,6.113287149833724e-06,1.0034447246454192e-06
1863,7.04741022783395e-06,1.1222912519315287e-06
1864,6.672343609182008e-06,9.81960242896207e-07
1865,6.766088716858576e-06,9.987923874632543e-07
1866,6.2542589489567035e-06,9.011115338353193e-07
1867,6.407166949884413e-06,1.25445174958827e-06
1868,6.398124767770241e-06,1.2962229600788078e-06
1869,6.491173705214237e-06,8.282448202834303e-07
1870,6.2988524547336056e-06,1.1995630639916044e-06
1871,4.6488894369645095e-06,9.208560971529778e-07
1872,5.9330444117655645e-06,8.962156616831862e-07
1873,5.808220011616072e-06,1.0786780109128813e-06
1874,5.292308738802376e-06,1.056908306651394e-06
1875,6.236464614062243e-06,1.2141080816263639e-06
1876,6.359198426508783e-06,1.362167132867853e-06
1877,6.133481843306754e-06,1.1089374769568394e-06
1878,6.3507057639355935e-06,1.0218137731499155e-06
1879,6.93774961213478e-06,1.1345017156827453e-06
1880,6.044327559795448e-06,1.2181072683858929e-06
1881,6.148357279300853e-06,1.8567787734014018e-06
1882,6.240089122311332e-06,1.886136089979118e-06
1883,5.6115729378802826e-06,1.8932739749288885e-06
1884,5.931624805555202e-06,1.8795031486718017e-06
1885,5.59223335994119e-06,1.9704308300561024e-06
1886,6.2075867930388995e-06,2.2754913118205877e-06
1887,5.398114726773429e-06,2.103619458182493e-06
1888,5.706553004358739e-06,2.3739261010291557e-06
1889,6.239449603206992e-06,2.5655734248175577e-06
1890,5.890427199339854e-06,2.954717345460267e-06
1891,5.16439327391538e-06,4.212721961494026e-06
1892,5.415367827055206e-06,4.182978301514595e-06
1893,5.276531227060843e-06,3.980800570957399e-06
1894,5.148987971992369e-06,4.134440047209864e-06
1895,4.990635360968554e-06,4.64877803096897e-06
1896,5.189975302855032e-06,4.219913989800261e-06
1897,5.330860041397045e-06,4.6561269186895515e-06
1898,5.695700253660618e-06,5.409387085819617e-06
1899,5.371700638079346e-06,5.009091751162487e-06
1900,5.359243137270653e-06,5.202992639397053e-06
1901,5.313772993176258e-06,6.010129993683222e-06
1902,4.578348821837608e-06,1.8311430267203832e-05
1903,5.420740896155962e-06,6.6995133067848656e-06
1904,5.561124678088447e-06,6.826849016761116e-06
1905,5.099346067183319e-06,6.1774287303251185e-06
1906,5.4101388133886985e-06,7.289823912515203e-06
1907,5.399985488097059e-06,6.588496802351074e-06
1908,5.647115170148709e-06,7.442718811034865e-06
1909,5.574146655362711e-06,7.947271114971954e-06
1910,5.762063253200722e-06,8.073942524333688e-06
1911,5.427313748640472e-06,8.52111145377421e-06
1912,6.203378658753422e-06,7.966767924472151e-06
1913,5.880485386633438e-06,9.406443382431462e-06
1914,5.599817008317132e-06,7.312174432172469e-06
1915,4.106773600298652e-06,5.013892277361265e-06
1916,4.3916885701378305e-06,5.136638392855275e-06
1917,4.545583162540723e-06,5.681704649873609e-06
1918,4.757657011467131e-06,5.876430023477042e-06
1919,5.0026242224276984e-06,7.851532330960254e-06
1920,5.992663986376101e-06,7.482879198050796e-06
1921,5.946121262923043e-06,8.208100553019904e-06
1922,5.956207420609871e-06,7.934231774697764e-06
1923,6.594627020461985e-06,6.286764573815162e-06
1924,6.690753242111214e-06,7.042694335268607e-06
1925,6.249164751892522e-06,4.438864650069263e-06
1926,6.557273383833717e-06,6.124803306306603e-06
1927,7.128814367263203e-06,4.315864757131749e-06
1928,6.4739948868464126e-06,5.6821704248477545e-06
1929,6.543874768283331e-06,4.922945407770385e-06
