year,en_ADP air_NOUN,en_ADP maire_NOUN
1800,9.023752340908686e-07,0.0
1801,4.4528114284680953e-07,7.143547975374531e-09
1802,2.506380951672327e-07,0.0
1803,4.5442902552039754e-07,1.950339223455444e-09
1804,3.8808059343864443e-07,1.2359254952798437e-08
1805,2.7575912708854844e-07,2.842877711017877e-09
1806,3.7749865100522584e-07,2.881669125542885e-09
1807,2.0498076924724273e-07,2.8469551160981155e-09
1808,2.062127402169267e-07,4.5321479902327155e-09
1809,2.4397530085096264e-07,2.259030518203531e-09
1810,1.7550951270095538e-07,2.3401267590372754e-09
1811,2.0808736911348547e-07,4.262030373070047e-08
1812,1.3869483117545656e-07,2.6672082320544632e-09
1813,2.0992913585260453e-07,2.8757416448144113e-09
1814,1.3530711839848664e-07,6.293354282149721e-09
1815,2.8320846801044297e-07,0.0
1816,1.7150268938337376e-07,0.0
1817,1.3077736582545185e-07,1.2454987263765815e-08
1818,2.2888661255215936e-07,4.768470951432846e-09
1819,1.3870406800897683e-07,8.280840013696888e-09
1820,1.8511710120350244e-07,3.5599443393152796e-09
1821,8.776724769177235e-08,5.9168927535324656e-09
1822,1.0426640528748976e-07,6.015369535816717e-09
1823,9.586206450862278e-08,4.941343556552624e-09
1824,1.4905369027928828e-07,1.2631669044083083e-08
1825,1.1270966804310945e-07,3.610231535944308e-08
1826,9.776862741617265e-08,1.7615968683770689e-09
1827,1.6222400611720644e-07,1.1982455361270183e-08
1828,1.4033620721054518e-07,2.8434133270138773e-08
1829,1.3717081515096652e-07,2.743416338546467e-08
1830,1.8786305133744463e-07,4.174734336004349e-09
1831,1.7306238930814288e-07,6.236482441579483e-09
1832,1.1094574858816486e-07,8.117981842303834e-09
1833,1.4247862734073635e-07,3.4750886612755494e-09
1834,1.474855890748472e-07,6.534171648198139e-09
1835,1.1722786297241328e-07,6.806779140333674e-09
1836,1.9624590608113834e-07,1.6129800772812786e-08
1837,9.253994626146067e-08,4.174734669071256e-09
1838,1.7484688585867048e-07,1.2624323808552163e-08
1839,1.3143973565110656e-07,2.09744255297295e-09
1840,1.1720227499623093e-07,1.0828470564661075e-08
1841,1.4703056194775854e-07,6.420548537278137e-09
1842,1.1739464067517247e-07,8.049918065466954e-09
1843,1.9729083622355148e-07,1.1813822142769936e-09
1844,1.5203314940315238e-07,2.195424508855126e-09
1845,1.9419193170167048e-07,9.48638767539478e-09
1846,1.0362467706137579e-07,1.2879902921980602e-08
1847,9.977463566457345e-08,8.089835468183537e-09
1848,7.562508130831702e-08,2.735375392859396e-08
1849,4.776266493422554e-08,5.02764896381791e-09
1850,1.0726613819400654e-07,2.7155984128057753e-09
1851,9.28719168236114e-08,4.514607132577453e-09
1852,1.295598495154593e-07,3.2552727180501506e-09
1853,1.8632426690423642e-07,1.0152283680398e-08
1854,1.5327209934579145e-07,9.352196184142514e-09
1855,1.645150575768639e-07,1.1144567935161831e-08
1856,1.0457922500206607e-07,1.2425253714809514e-08
1857,1.649950125415245e-07,6.834112886711097e-09
1858,1.1793758891709416e-07,5.4809173144487744e-08
1859,9.522363986214089e-08,1.782260738991681e-08
1860,2.2016254042078742e-07,7.323494338740133e-09
1861,1.787350306092783e-07,5.187559992680946e-09
1862,2.466820419877447e-07,5.873382252774562e-09
1863,1.4883970733681195e-07,4.495158911765884e-09
1864,9.829192038068868e-08,5.2742007428108195e-09
1865,8.425251213362017e-08,7.060266704606022e-09
1866,1.7954111974916032e-07,1.1190909532388105e-08
1867,1.465549051005155e-07,5.338092634588065e-09
1868,1.1262912769094413e-07,1.1361710128277025e-08
1869,1.3771524309813543e-07,1.0255390092694938e-08
1870,1.2614906896857292e-07,1.1468098026767848e-08
1871,1.115223595693493e-07,3.18635318130589e-09
1872,1.5420715726577328e-07,2.4189358072135292e-08
1873,7.302925214558442e-08,1.2570609608797412e-08
1874,1.69081439682639e-07,4.779687312606029e-09
1875,1.0241533254795598e-07,5.149374426860476e-09
1876,1.6566080840441089e-07,3.02300739996042e-09
1877,1.0699732011509866e-07,1.6699003513309663e-08
1878,1.6547102504871347e-07,1.268208649207736e-08
1879,6.659164597522249e-08,9.774920428640144e-09
1880,1.1167052460514526e-07,1.6686399817444908e-08
1881,1.1713813058422673e-07,4.183504653809678e-09
1882,1.0715170062347568e-07,7.986461936226874e-09
1883,1.131161653233903e-07,1.76941486462745e-08
1884,1.7296446674919252e-07,5.941527270181268e-09
1885,1.4180398011376383e-07,2.771623297537218e-08
1886,1.0906354014350583e-07,8.38950331427668e-09
1887,8.161155939934162e-08,9.793386546164129e-09
1888,1.0715638998348709e-07,1.0779044767872392e-08
1889,8.645888804892365e-08,1.628935564212952e-08
1890,1.7238036653655087e-07,5.898947996740844e-09
1891,2.42220368873447e-07,1.529812854172974e-08
1892,1.1847488301519604e-07,8.149066310636499e-09
1893,1.422594238520425e-07,1.1700991398022609e-08
1894,1.9282710761459043e-07,9.452309157609307e-09
1895,1.0352017021375559e-07,7.824199066419624e-09
1896,7.194375445385148e-08,7.666137835649067e-09
1897,1.1070755412401212e-07,2.21415115131407e-08
1898,1.9181822974445595e-07,1.0185038590293516e-08
1899,1.0060192678906787e-07,9.39688327150634e-09
1900,1.3496738171525635e-07,6.7483690857628176e-09
1901,1.279821263411307e-07,8.94198237677557e-09
1902,2.533706344731712e-07,4.419255628107521e-09
1903,1.3608554705335507e-07,1.296052865029651e-08
1904,1.4135264425618743e-07,6.449550227216605e-09
1905,1.475977098319703e-07,9.289366442732927e-09
1906,2.052529679552606e-07,6.68743965759333e-09
1907,2.2062798410438234e-07,5.6571278217454335e-09
1908,2.3329098763902323e-07,7.858222517143076e-09
1909,3.15206349466024e-07,1.045186842629775e-08
1910,3.6340225884057276e-07,1.0153886509378651e-08
1911,3.9902805815117404e-07,8.512598737020483e-09
1912,4.625965921434272e-07,7.814131730565776e-09
1913,5.09087001221431e-07,1.1666577703906e-08
1914,3.0202313938687553e-07,1.272381305872372e-08
1915,1.8377989163820274e-07,4.712304657594757e-09
1916,1.50528225217883e-07,6.592477230782379e-09
1917,1.381769423325352e-07,6.57985488317081e-09
1918,2.6303800471083605e-07,8.040463406189247e-09
1919,2.642652502382603e-07,3.6831393490643904e-09
1920,2.854731246948461e-07,4.543339038320937e-09
1921,2.6504616346123555e-07,8.330022005509363e-09
1922,2.751969887526684e-07,5.902348387820666e-09
1923,2.558443532585386e-07,6.369568872344189e-09
1924,2.2947091282699006e-07,6.4458122173149945e-09
1925,3.277457034656095e-07,8.798542117105512e-09
1926,2.920288224572687e-07,6.6876830739914794e-09
1927,2.129501930347999e-07,1.560891471630299e-08
1928,2.31948637186008e-07,1.2568645235688791e-08
1929,2.551153110985638e-07,1.1140406375176326e-09
1930,2.468346705919444e-07,2.100720708497761e-09
1931,4.573547949249246e-07,4.5621426636444085e-09
1932,3.9563927378694075e-07,1.0959536389520963e-08
1933,3.8082598163846626e-07,1.1470662197865522e-09
1934,3.774197683270586e-07,1.0783422155213884e-08
1935,5.732808050495919e-07,5.98414207075848e-09
1936,4.692264652383926e-07,3.6374143697059935e-09
1937,4.293571240765459e-07,7.55467088886519e-09
1938,4.2914859399445504e-07,1.2965214457594243e-09
1939,4.909389987872714e-07,3.058810094103137e-09
1940,6.187310546135194e-07,0.0
