year,aucun_DET arc_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,7.801356893821776e-09
1804,4.943701892301533e-09
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,1.8128591960930862e-08
1809,6.7770917766551975e-09
1810,2.106114038724627e-08
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,2.3176038865813098e-09
1817,1.556873407970727e-09
1818,4.768470951432846e-09
1819,0.0
1820,0.0
1821,7.88919063410276e-09
1822,1.2030739071633434e-08
1823,0.0
1824,0.0
1825,1.584979791857677e-08
1826,7.0463874735082754e-09
1827,5.530363889061363e-09
1828,0.0
1829,1.714635211591542e-09
1830,0.0
1831,0.0
1832,1.3529969367098715e-09
1833,1.0425265983826648e-08
1834,1.3068342852307069e-08
1835,1.663879345414898e-08
1836,2.688300027031687e-09
1837,6.2621018370734305e-09
1838,4.418513555037862e-09
1839,4.894032734625853e-09
1840,1.528725279698051e-08
1841,1.4125206337922691e-08
1842,6.037438549100216e-09
1843,8.269675610961258e-09
1844,1.097712254427563e-08
1845,1.562463758375543e-08
1846,3.5127007969038004e-09
1847,2.1572893693644346e-08
1848,8.045221711050488e-10
1849,8.379414939696517e-10
1850,2.7155984128057753e-09
1851,4.514607354622058e-09
1852,8.463708844885787e-09
1853,7.763511611358354e-09
1854,1.506742641765868e-08
1855,1.326734277995456e-08
1856,1.2425253714809514e-08
1857,1.8061584228235006e-08
1858,5.3830435664536935e-09
1859,1.1202781147190422e-08
1860,2.7463103458025273e-09
1861,4.715963730639317e-10
1862,1.0391368654438793e-08
1863,6.99246927027275e-09
1864,6.233146443435089e-09
1865,9.88437331983505e-09
1866,2.432806400776144e-09
1867,1.164674756637396e-08
1868,1.4819622196071691e-09
1869,1.4650557655926377e-08
1870,5.160643912205387e-09
1871,3.18635318130589e-09
1872,3.628403577593531e-09
1873,1.2570609442263958e-08
1874,8.961913877669758e-09
1875,0.0
1876,0.0
1877,8.658742389755503e-09
1878,4.831270938865373e-09
1879,6.109325489944695e-09
1880,1.4761045941114048e-08
1881,4.183504653809678e-09
1882,3.9932310791357395e-09
1883,6.951272724098345e-09
1884,4.621187876807653e-09
1885,7.7347630522695e-09
1886,6.453463874400711e-10
1887,9.793386546164129e-09
1888,3.804368819970705e-09
1889,8.144677710042458e-09
1890,2.621754646714436e-09
1891,5.099376032546843e-09
1892,3.761107425503951e-09
1893,6.774258043407144e-09
1894,1.2603078580752936e-09
1895,1.745398225949657e-08
1896,4.7176231254830725e-09
1897,8.157398756480916e-09
1898,1.810673566637888e-08
1899,8.844125432005967e-09
1900,6.22926377147337e-09
1901,7.824234371511807e-09
1902,1.0311595854961553e-08
1903,8.100329962346109e-09
1904,1.9886113200584532e-08
1905,1.548227662739876e-08
1906,6.173021205313489e-09
1907,2.5714217422034835e-09
1908,9.331639239107403e-09
1909,9.901770070541716e-09
1910,5.878565967343263e-09
1911,1.2236860413850081e-08
