year,son_DET auteur_NOUN
1800,7.291317373869788e-06
1801,6.610162671449871e-06
1802,8.485889651410616e-06
1803,6.358106062975821e-06
1804,8.935741348636839e-06
1805,8.383646061815853e-06
1806,1.1621771477621223e-05
1807,9.454737821101844e-06
1808,1.024038854779974e-05
1809,8.371967027187566e-06
1810,1.0539931196262842e-05
1811,8.072787068158505e-06
1812,1.3656106006010305e-05
1813,1.0755273564200252e-05
1814,7.992560156822037e-06
1815,8.577170817147817e-06
1816,7.685174381322213e-06
1817,8.542564771119032e-06
1818,8.068252867587944e-06
1819,8.766304304685946e-06
1820,8.55335979110805e-06
1821,8.351694177122226e-06
1822,8.685190749702087e-06
1823,8.084038086053624e-06
1824,8.817747030320788e-06
1825,8.860036416535877e-06
1826,7.359951815999466e-06
1827,8.32135435047121e-06
1828,8.263326492397027e-06
1829,8.784933328342959e-06
1830,8.184566503643964e-06
1831,7.794043881403923e-06
1832,8.936544439563932e-06
1833,7.789990306150685e-06
1834,7.651515069539983e-06
1835,6.946696430532029e-06
1836,7.782628742347697e-06
1837,7.039298395739024e-06
1838,6.387276613395443e-06
1839,6.767747855462858e-06
1840,7.018123007185295e-06
1841,7.929377197513077e-06
1842,7.639372178402937e-06
1843,8.712102783192677e-06
1844,8.12526636906341e-06
1845,7.355298485833828e-06
1846,7.552306918512386e-06
1847,7.582872445510702e-06
1848,6.695233352616015e-06
1849,6.748780947418709e-06
1850,6.968225662262739e-06
1851,7.72255808101363e-06
1852,8.566575814938915e-06
1853,7.4165422461192065e-06
1854,7.4885111018829775e-06
1855,7.928564471626487e-06
1856,8.044316786026684e-06
1857,8.187755156541243e-06
1858,7.654198853401795e-06
1859,7.997767909273534e-06
1860,7.3546192567164326e-06
1861,7.94687068150779e-06
1862,7.356637134137145e-06
1863,7.492930265584619e-06
1864,8.01534667971282e-06
1865,7.029201299246779e-06
1866,7.457038435632057e-06
1867,7.10742787646268e-06
1868,7.635563378016741e-06
1869,7.891278499982946e-06
1870,8.576989856123873e-06
1871,6.905889357256001e-06
1872,7.334213179888138e-06
1873,7.359193865852376e-06
1874,6.825393310094796e-06
1875,7.531818326356188e-06
1876,7.530915866027499e-06
1877,7.111301250972701e-06
1878,7.79827526642407e-06
1879,8.045370595510803e-06
1880,8.418931116693784e-06
1881,7.653721574740757e-06
1882,7.427410025684367e-06
1883,7.418903692268941e-06
1884,7.325242862066261e-06
1885,6.943238830103837e-06
1886,7.36856488003923e-06
1887,7.70478387224216e-06
1888,7.797054081493116e-06
1889,7.902843346840882e-06
1890,7.68763992553545e-06
1891,7.821805393604109e-06
1892,7.667017484891403e-06
1893,7.508957232005287e-06
1894,7.663931896217946e-06
1895,7.585861789394244e-06
1896,7.4208214364546166e-06
1897,7.401674272600189e-06
1898,7.991860311307164e-06
1899,7.831473226360686e-06
1900,7.577380241485798e-06
1901,7.862796731927801e-06
1902,6.823330302552222e-06
1903,8.293118455071635e-06
1904,8.003891501573435e-06
1905,8.172578347398485e-06
1906,8.378332967851065e-06
1907,8.249635332191474e-06
1908,8.009984352241872e-06
1909,8.171161418601969e-06
1910,8.211287727988292e-06
1911,8.277438478643262e-06
1912,8.2772491758476e-06
1913,8.335239527923477e-06
1914,8.015332653599216e-06
1915,6.790431022807297e-06
1916,6.559514666548694e-06
1917,6.801376452258978e-06
1918,6.658652498714446e-06
1919,7.1710722551188155e-06
1920,7.734277371440612e-06
1921,7.62954282862438e-06
1922,8.03014481931541e-06
1923,8.099967971020305e-06
1924,8.275133716040273e-06
1925,7.807606706933257e-06
1926,7.6128124071317416e-06
1927,7.611575778554425e-06
1928,8.174190163856565e-06
1929,7.911916569014465e-06
1930,7.87560190218528e-06
1931,7.835479934215073e-06
1932,7.638796923004065e-06
1933,7.644049354382787e-06
1934,7.342312251523708e-06
1935,7.676457226324374e-06
1936,7.477311545045495e-06
1937,7.504306413608219e-06
1938,7.808948474519184e-06
1939,7.705142696323719e-06
1940,7.589598322255142e-06
1941,8.10777766702131e-06
1942,8.553442761183305e-06
1943,8.25099443346744e-06
1944,8.293233278777734e-06
1945,8.28702894750677e-06
1946,7.677489094248813e-06
1947,8.948997574975692e-06
1948,8.300686204165686e-06
1949,7.3598111498540675e-06
1950,8.177529807085193e-06
1951,8.18689021997443e-06
1952,8.111063138471764e-06
1953,8.822687448173383e-06
1954,8.180590150175249e-06
1955,8.444231383464285e-06
1956,8.143802016746804e-06
1957,8.429509442464678e-06
1958,7.425993029386291e-06
1959,7.908087766850258e-06
1960,7.717421347308573e-06
1961,8.474669421332237e-06
1962,7.769530604662123e-06
1963,7.971350214575068e-06
1964,8.24256031251025e-06
1965,8.722437357278068e-06
1966,7.911460485843236e-06
1967,8.104485800686234e-06
1968,8.540426904346532e-06
1969,7.116934575890355e-06
1970,7.847724319276494e-06
1971,8.191119533762503e-06
1972,8.305707602573875e-06
1973,8.080702713186838e-06
1974,7.494949173292298e-06
1975,7.1239291976610275e-06
1976,7.337311039634642e-06
1977,7.361844659214967e-06
1978,7.3811848260163515e-06
1979,7.804776998909801e-06
1980,7.641411166048329e-06
1981,7.446437098934666e-06
1982,7.571911176285084e-06
1983,8.429683958866008e-06
1984,7.398375039713301e-06
1985,7.566970268158002e-06
1986,7.830596459257322e-06
1987,7.96606082786866e-06
1988,7.96522219204121e-06
1989,7.693249695961413e-06
1990,8.004068416056498e-06
1991,8.061859166019758e-06
1992,8.040661640507096e-06
1993,8.111061621463023e-06
1994,7.841705876643346e-06
1995,8.372806679091127e-06
1996,8.468883443413233e-06
1997,8.309072484280478e-06
1998,8.371881406787907e-06
1999,8.391803728358127e-06
