year,bien_ADV hérité_VERB,bien_ADV mérité_VERB
1800,2.829747991484055e-08,2.6096566330124915e-07
1801,2.3811825844433088e-09,3.4527147363405675e-07
1802,8.951360541686881e-09,1.6783801015662903e-07
1803,3.900678446910888e-09,2.554944273924775e-07
1804,0.0,2.1999473176492756e-07
1805,0.0,2.444874951379461e-07
1806,1.152667650217154e-08,3.0833859909762396e-07
1807,0.0,2.1921555060089304e-07
1808,0.0,2.1527702642742952e-07
1809,2.0331274441787173e-08,1.7394535234416253e-07
1810,0.0,2.2465216886757844e-07
1811,0.0,2.5321475050077424e-07
1812,0.0,2.6938803898701735e-07
1813,0.0,3.307102929284156e-07
1814,0.0,2.989343386161636e-07
1815,0.0,3.506390555685357e-07
1816,1.1588019432906549e-08,2.2712518443768204e-07
1817,1.556873407970727e-09,2.459860013459547e-07
1818,0.0,3.171033142734814e-07
1819,0.0,2.6291667154509923e-07
1820,0.0,2.586892833278398e-07
1821,0.0,2.968307910578005e-07
1822,3.0076847679083585e-09,3.268350781127083e-07
1823,1.581229902569703e-08,3.103163805917575e-07
1824,3.3684450784221553e-09,2.6442293687978236e-07
1825,1.7610886082763955e-09,2.4655241759319324e-07
1826,0.0,2.3253078040852415e-07
1827,0.0,1.640674582858992e-07
1828,1.9261833017480967e-08,2.1371461400576663e-07
1829,6.001223074036943e-09,3.077770145409886e-07
1830,6.262101504006523e-09,2.630082747145934e-07
1831,6.236482441579483e-09,2.759643393801525e-07
1832,0.0,2.692463851872162e-07
1833,0.0,2.3746439126171026e-07
1834,2.8003592777992026e-09,1.9882550361671747e-07
1835,7.563087933704082e-10,2.465566808496078e-07
1836,6.720750067579218e-10,3.313329841603263e-07
1837,6.957890930081589e-10,2.61616690977462e-07
1838,2.5248647617104325e-09,2.1650714643328683e-07
1839,2.0974426639952526e-09,2.810573107581149e-07
1840,2.5478754661634184e-09,2.872729680802877e-07
1841,0.0,3.10754558086046e-07
1842,2.683306021822318e-09,2.924803652604169e-07
1843,4.7255288571079745e-09,2.7998757445857336e-07
1844,2.195424508855126e-09,3.090059976784687e-07
1845,6.138250796539069e-09,2.499942013400869e-07
1846,1.7563503984519002e-09,2.359363975301676e-07
1847,5.9325460100012606e-09,2.804476366691233e-07
1848,2.413566457803995e-09,2.019350660020791e-07
1849,3.3517659758786067e-09,2.052956631359848e-07
1850,1.3577992064028876e-09,2.5594513886062487e-07
1851,5.159551008659946e-09,1.6381574141632882e-07
