year,un_DET oral_NOUN,un_DET moral_NOUN
1800,0.0,6.288328968651058e-09
1801,2.3811825844433088e-09,9.524730337773235e-09
1802,0.0,4.475680270843441e-09
1803,1.950339223455444e-09,9.751696339321825e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,2.0171682990621775e-08
1807,0.0,1.9928686256776018e-08
1808,0.0,9.064295980465431e-09
1809,0.0,1.3554183553310395e-08
1810,0.0,7.020380277111826e-09
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,6.293354282149721e-09
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,1.556873407970727e-09
1818,0.0,2.384235475716423e-09
1819,0.0,2.070210003424222e-09
1820,0.0,2.3732962262101864e-09
1821,9.86148829262845e-10,5.9168927535324656e-09
1822,0.0,1.2030739071633434e-08
1823,9.882686891060644e-10,6.917880934764753e-09
1824,0.0,8.421112696055388e-10
1825,8.805443041381977e-10,1.584979791857677e-08
1826,8.807984341885344e-10,1.4092774947016551e-08
1827,0.0,0.0
1828,1.2841221419535032e-08,3.668920500743411e-09
1829,1.714635211591542e-09,2.571952872898464e-09
1830,2.0873671680021744e-09,4.174734336004349e-09
1831,0.0,6.236482441579483e-09
1832,0.0,1.352996914505411e-08
1833,0.0,2.200889337444778e-08
1834,0.0,5.600718555598405e-09
1835,3.025235173481633e-09,2.571449897459388e-08
1836,0.0,3.36037508930076e-09
1837,1.3915781860163179e-09,1.530736071231331e-08
1838,6.312161904276081e-10,1.3886756633496589e-08
1839,0.0,6.991475065554198e-09
1840,3.1848443882154243e-09,7.0066574764382494e-09
1841,0.0,1.4767261191650505e-08
1842,2.683306021822318e-09,4.024959032733477e-09
1843,1.7720733769266417e-09,6.497602011990011e-09
1844,1.6465684371524958e-09,2.195424508855126e-09
1845,1.1160455892778032e-09,1.9530798311961917e-08
1846,4.0981509297211005e-09,1.2879903366069811e-08
1847,0.0,5.393223645455691e-10
1848,8.045221711050488e-10,1.6090443422100975e-09
1849,0.0,1.1731181359664333e-08
1850,6.788996032014438e-09,2.7155984128057753e-09
1851,6.449438760824933e-10,5.159551008659946e-09
1852,1.3021090872200602e-09,1.8880582430824688e-08
1853,5.971931837933653e-10,1.3735443005202796e-08
1854,1.0391328908454511e-09,7.79349651480743e-09
1855,0.0,5.837630823180007e-09
1856,5.177189232874468e-10,3.1063134287023786e-09
1857,0.0,1.4156376570984008e-08
1858,1.9574704079872163e-09,3.914940760463281e-09
1859,5.092173349652285e-10,4.582956014687056e-09
1860,0.0,6.408057279250201e-09
1861,1.886385547766878e-09,1.2261505866195677e-08
1862,0.0,6.776979422085105e-09
1863,1.4983863039219614e-09,2.497310414018017e-09
1864,1.9178911792039344e-09,8.151037178549814e-09
1865,1.882737743486018e-09,7.530950973944073e-09
1866,0.0,6.811858188626729e-09
1867,5.338092634588065e-09,4.85281148598915e-09
1868,0.0,3.457911734727759e-09
1869,9.767038289254515e-10,8.790334682373668e-09
1870,1.1468097582678638e-09,1.834895613228582e-08
1871,0.0,9.559059321873065e-09
1872,6.047339295989218e-10,9.07100861091692e-09
1873,0.0,1.3169209722718733e-08
1874,2.9873046258899194e-09,1.0156835816843568e-08
1875,0.0,4.577221712764867e-09
1876,0.0,9.673623679873344e-09
1877,1.8554447978047506e-09,6.184816214727107e-09
1878,6.039088673581716e-10,3.019544281279707e-09
1879,0.0,7.942122848270117e-09
1880,1.2835692508872398e-09,1.9253539207397807e-08
1881,6.972507571312292e-10,9.761510710859511e-09
1882,5.324308105514319e-09,7.320923423037584e-09
1883,0.0,8.21514056781325e-09
1884,7.922036360241691e-09,4.621187876807653e-09
1885,9.023890079618013e-09,9.66845359329227e-09
1886,6.453463874400711e-10,1.484296663356588e-08
1887,4.570247291724172e-09,2.6115698492645834e-09
1888,1.268122939990235e-09,2.53624587998047e-09
1889,5.012109394186837e-09,5.012109394186837e-09
1890,1.9663159989136147e-09,5.243509182406569e-09
1891,1.0198752065093686e-08,5.736798147637501e-09
1892,1.8805537127519756e-09,3.1342561879199593e-09
1893,6.158416554491453e-10,3.0792082772457263e-09
1894,3.780923574225881e-09,3.780923574225881e-09
1895,2.4074457982692365e-09,1.2639090885002702e-08
1896,4.717623180994224e-09,7.076434549446731e-09
1897,5.826713556089658e-10,5.2440420894583895e-09
1898,5.092519295146758e-09,1.584339415217073e-08
1899,9.949641111006713e-09,6.080336234504102e-09
1900,2.595526460424935e-09,1.816868544501915e-08
1901,8.38310842965484e-09,1.2295225282343836e-08
1902,0.0,1.6203937414083214e-08
1903,7.020286574288548e-09,2.052083658554693e-08
1904,3.7622376325430196e-09,8.599400302955473e-09
1905,5.676835002077496e-09,2.5803795766776716e-09
1906,1.6461390472954918e-08,1.0802787109298606e-08
1907,7.199980611716228e-09,6.685696440911215e-09
1908,3.929111258571538e-09,7.858222517143076e-09
1909,2.750491723269022e-09,8.801573414540798e-09
1910,0.0,1.0153886620400954e-08
1911,2.6601871816467337e-09,1.0108710868372839e-08
1912,5.2094213387476884e-09,1.8753916364300238e-08
1913,1.0605979205990934e-08,1.0605979872124749e-08
1914,2.678697486047099e-09,2.0090231978020512e-08
1915,5.890381071793627e-09,4.4766895856973576e-08
1916,3.2962386153911893e-09,6.152978926365904e-08
1917,9.869782324756216e-09,7.566833204464274e-08
1918,4.594550517822427e-09,9.418828295082449e-08
1919,1.5653341733923298e-08,7.734592766261983e-08
1920,1.2115570768855832e-08,9.162400660400749e-08
1921,5.300923255902035e-09,3.332008891021587e-08
1922,3.6889677423879164e-09,3.6151884152957336e-08
1923,4.246379248229459e-09,3.078624999375279e-08
1924,2.578324886925998e-09,2.9650736754760487e-08
1925,2.1996355847875293e-09,2.0896537833436923e-08
1926,1.0031524610987219e-08,3.232380052509143e-08
1927,1.1149224876660924e-09,2.1183527820767267e-08
1928,7.998228745975666e-09,2.9707706517001498e-08
