year,ancien_ADJ air_NOUN,ancien_ADJ maire_NOUN
1800,6.288328968651058e-09,1.5091990102078512e-07
1801,2.1430643926123594e-08,1.5477686554632442e-07
1802,4.475680270843441e-09,3.088219386881974e-07
1803,0.0,1.2482170808070236e-07
1804,1.9774807569206132e-08,5.9324420931261557e-08
1805,2.842877711017877e-09,5.117179879832179e-08
1806,2.881669125542885e-08,1.2391177506287931e-07
1807,8.540865792383556e-09,1.167251628686472e-07
1808,1.1330369531492579e-08,5.4385777215060216e-08
1809,9.036122072814123e-09,1.4005988901999444e-07
1810,4.680253518074551e-09,6.318342293809565e-08
1811,7.521229861140455e-09,1.3788922359481148e-07
1812,0.0,1.3602762560793735e-07
1813,4.026038169513413e-08,1.3515985841650036e-07
1814,0.0,4.2165474667399394e-07
1815,0.0,3.263640415696045e-07
1816,6.952811659743929e-09,2.6188924096004484e-07
1817,0.0,1.805973095514446e-07
1818,1.1921177378582115e-09,3.3736932358863214e-07
1819,6.210630232317271e-09,3.27093176100135e-07
1820,1.779972080839798e-08,3.1327509031342515e-07
1821,1.2819934447350079e-08,3.3529060683434864e-07
1822,9.023054303725075e-09,2.827223681833857e-07
1823,3.9530747564242574e-09,2.4014929600468804e-07
1824,5.052667617633233e-09,2.6779139350452397e-07
1825,5.283265824829186e-09,2.051668239744231e-07
1826,4.403992170942672e-09,2.1755721213434498e-07
1827,2.7651818612639545e-09,2.396491041167792e-07
1828,1.7427371545863934e-08,2.091284621030809e-07
1829,5.143905579263475e-09,2.8291479825526267e-07
1830,1.7742621594152297e-08,3.17279794659342e-07
1831,4.677361609140007e-09,3.2741533662061784e-07
1832,1.7588960066206027e-08,5.114328358590825e-07
1833,3.0117434435261714e-08,4.1006045004010616e-07
1834,6.534171426153534e-09,4.900628702841914e-07
1835,2.571449897459388e-08,3.615156103364825e-07
1836,1.6129800606279332e-08,3.380537334507494e-07
1837,1.0436836284100082e-08,4.202566157296417e-07
1838,7.574594285131298e-09,2.3544363858540862e-07
1839,3.495737654901632e-08,3.789379623420075e-07
1840,6.369688498875092e-09,3.9109887095545304e-07
1841,1.3483152372373297e-08,3.9871607526720254e-07
1842,3.3541325272778977e-09,5.017782163108109e-07
1843,5.906911071384968e-10,3.9871648516154323e-07
1844,1.3172546831086152e-08,4.637834216669745e-07
1845,3.348136878855712e-09,4.1795908334307796e-07
1846,8.781751770214896e-09,4.256222450038649e-07
1847,1.7797638030003782e-08,4.5572739537647067e-07
1848,1.6090443422100975e-09,6.733850366202887e-07
1849,1.6758828991214614e-08,5.262272821937586e-07
1850,1.2899092460827433e-08,6.490280028970119e-07
1851,1.096404567135778e-08,6.288202905047058e-07
1852,9.765818376195057e-09,6.145955175895779e-07
1853,6.569124799682413e-09,6.539265462457422e-07
1854,1.0910895298366086e-08,5.52299137979162e-07
1855,5.837630823180007e-09,5.604125625779943e-07
1856,8.801221973442352e-09,5.850224003012272e-07
1857,1.5620829074691756e-08,5.706484347278717e-07
1858,6.8511465389775594e-09,5.735388401983954e-07
1859,8.147477359443656e-09,4.078830979636905e-07
1860,1.3731552062079544e-08,5.369036917279857e-07
1861,1.226150558863992e-08,6.149616855744e-07
1862,2.936691068100572e-08,5.719770443946004e-07
1863,3.496234635136375e-09,6.398109015925968e-07
1864,9.589456340108882e-09,5.700931748897631e-07
1865,3.2947911621228343e-09,4.824515469348256e-07
1866,3.8924903300596725e-09,7.424925243526559e-07
1867,3.396968040192405e-09,6.012633466667694e-07
1868,7.903798504571569e-09,5.799412434726037e-07
1869,2.4417595945180892e-08,5.269317324696488e-07
1870,5.734048791339319e-09,6.668698770972981e-07
1871,1.1683294554032386e-08,1.0833600772031104e-06
1872,9.675742762560446e-09,8.260665245174437e-07
1873,7.183205141814142e-09,9.002950518421926e-07
1874,1.4339061493728877e-08,8.483945039827745e-07
1875,3.432916173551348e-09,9.778089662404454e-07
1876,1.6324239737741664e-08,8.639754991435211e-07
1877,7.421779191219002e-09,8.856656350531011e-07
1878,2.7175899530718084e-08,1.0610678362610315e-06
1879,2.443730107160036e-09,9.090676234002615e-07
1880,1.9253539207397807e-08,9.273787711094883e-07
1881,6.9725074602899895e-09,1.1288489840666216e-06
1882,6.655385131892899e-10,9.038012809270413e-07
1883,6.951272890631799e-09,9.978236215069103e-07
1884,8.582206056928499e-09,6.608298797061707e-07
1885,7.090199150017185e-09,1.123474292263893e-06
1886,2.0651084398082276e-08,9.086477341657684e-07
1887,1.1752064210668323e-08,8.709585710420242e-07
1888,1.014498351992188e-08,9.225594306272455e-07
1889,1.503632862664972e-08,8.764926482385249e-07
1890,1.5075089621063853e-08,1.0152744374103406e-06
1891,5.736798147637501e-09,8.904785486762989e-07
1892,1.2537024751679837e-09,1.1289591093088802e-06
1893,4.926733243593162e-09,9.847307804733418e-07
1894,5.671385139294216e-09,1.0832346362121825e-06
1895,5.416753268150387e-09,1.0063123241366156e-06
1896,7.66613794667137e-09,1.0414152695759071e-06
1897,4.661370844871726e-09,1.091343475145834e-06
1898,1.1316709347397591e-08,9.630520305670132e-07
1899,6.080336234504102e-09,9.452159197564924e-07
1900,1.5573159428683425e-09,9.785135279827273e-07
1901,5.58873880507349e-09,8.064550347519628e-07
1902,1.9641135384773634e-09,7.3801565392273e-07
1903,3.7801539676252105e-09,1.0039009303852708e-06
1904,5.374625189347171e-09,9.668950866625892e-07
1905,5.676834835544042e-09,8.582342285734512e-07
1906,1.4918134283448126e-08,1.0684471174471355e-06
1907,2.057137349353866e-09,9.663402735782256e-07
1908,3.929111258571538e-09,9.336550430560919e-07
1909,5.5009836685826485e-09,8.526524499785637e-07
1910,9.085056262847502e-09,7.893310405293619e-07
1911,2.128149656499545e-09,8.869063439220781e-07
1912,7.814131564032323e-09,1.1773291639372019e-06
1913,5.833288740930698e-09,7.360549600932131e-07
1914,8.036092680185902e-09,8.538348126307937e-07
1915,1.1780761921542648e-09,9.660224788987648e-07
1916,0.0,7.35061184364838e-07
1917,1.0966424435210342e-09,6.897881181799903e-07
1918,1.2635013924011673e-08,7.500603782517601e-07
1919,0.0,6.196881843223423e-07
1920,2.2716695191604686e-09,4.94466730671661e-07
1921,6.815472630705699e-09,5.656842096968262e-07
1922,3.6889677978990676e-09,5.11290912497131e-07
1923,1.0615948120573648e-09,6.136018146918332e-07
1924,2.578324886925998e-09,5.839905758975306e-07
1925,1.2097995494286806e-08,5.730050909313888e-07
1926,4.458455382660986e-09,6.141522534974797e-07
