year,en_ADP auteur_NOUN,en_ADP moteurs_NOUN
1800,7.860411210813822e-08,2.5153315874604232e-08
1801,7.619784270218588e-08,4.7623651688866175e-09
1802,2.2378401354217203e-08,2.2378401354217203e-09
1803,5.070882025393075e-08,3.900678446910888e-09
1804,8.651478111687538e-08,1.4831105232815389e-08
1805,4.5486043376286034e-08,0.0
1806,8.933174200365102e-08,8.645007376628655e-09
1807,3.4163460949088176e-08,5.693910232196231e-09
1808,4.078933146800523e-08,0.0
1809,8.358413028375367e-08,2.259030518203531e-09
1810,5.8503168531842675e-08,0.0
1811,2.757784356433035e-08,2.5070767684098882e-09
1812,3.7340913472405646e-08,0.0
1813,4.888760685162197e-08,0.0
1814,6.922689976818219e-08,3.1466771410748606e-09
1815,4.8550024445148665e-08,0.0
1816,3.7081662185300956e-08,2.3176038865813098e-09
1817,9.341240314597599e-08,7.784366928831332e-09
1818,2.5034471606844022e-08,0.0
1819,4.6579724966022695e-08,0.0
1820,1.293446416639199e-07,3.5599443393152796e-09
1821,6.903042049088981e-08,0.0
1822,5.1130641054442094e-08,0.0
1823,7.016707892493201e-08,0.0
1824,4.6316121604661475e-08,3.3684450784221553e-09
1825,9.333769490638133e-08,8.805443485471187e-09
1826,7.574866855986073e-08,3.5231937367541377e-09
1827,3.4103909640759156e-08,0.0
1828,4.586150598173688e-08,1.8344602503717056e-09
1829,4.886710219809132e-08,8.57317605795771e-10
1830,4.174734447026651e-08,2.0873671680021744e-09
1831,5.6128343306482975e-08,3.1182412207897414e-09
1832,7.170883975504694e-08,1.3529969367098715e-09
1833,7.29768601104297e-08,6.950177322551099e-09
1834,1.9602514722549813e-08,1.120143711119681e-08
1835,3.7059130875150004e-08,2.2689263801112247e-09
1836,4.1668650696546905e-08,2.016224964762614e-09
1837,3.965997741328664e-08,6.957891152126194e-09
1838,3.976662044102852e-08,5.049729523420865e-09
1839,3.216078614531881e-08,2.1673573158409454e-08
1840,2.1019973317493168e-08,1.2102408852854296e-08
1841,2.632424944692957e-08,6.420548537278137e-10
1842,2.0795620780944546e-08,1.2074877098200432e-08
1843,1.9492806035970034e-08,1.1813822142769936e-09
1844,2.7442806305177925e-08,1.2623690537338916e-08
1845,2.399498111316234e-08,1.9530798311961917e-08
1846,2.6930706775729618e-08,1.7563503984519002e-09
1847,2.3730184928183462e-08,1.294373674909366e-08
1848,3.781254065415851e-08,6.43617736884039e-09
1849,4.4410900290614563e-08,1.1731181359664333e-08
1850,3.869727649430388e-08,8.82569484161877e-09
1851,2.579775504329973e-08,8.384270167027807e-09
1852,3.645905466420629e-08,6.510545436100301e-09
1853,3.0456853039595444e-08,1.3735443005202796e-08
1854,2.7017454606870217e-08,1.2989160858012383e-08
1855,3.714855978387277e-08,1.5920811335945473e-08
1856,2.433278972757691e-08,1.6049286344355096e-08
1857,7.029373438882658e-08,5.369659827891837e-09
1858,2.8872687796166474e-08,3.1808895073481835e-08
1859,4.022816901816384e-08,2.036869339860914e-09
1860,4.668727560108721e-08,8.513562033130029e-08
1861,5.94211435611669e-08,5.65915647676718e-09
1862,2.84633134839396e-08,7.680577063240435e-09
1863,2.996772607843923e-08,1.39849385405455e-08
1864,5.370095335077707e-08,1.582260189536555e-08
1865,2.6358328075737347e-08,5.177528628053096e-09
1866,3.162648276600066e-08,9.731225603104576e-09
1867,1.3102591012170706e-08,1.164674756637396e-08
1868,4.445886547799205e-08,1.679557115608077e-08
1869,8.790334127262156e-09,7.325278605918584e-09
1870,2.3509600488580418e-08,5.734048791339319e-09
1871,2.6552943399593687e-08,1.805600113868877e-08
1872,2.3584623365380253e-08,2.1770421909650395e-08
1873,3.831042894031356e-08,5.387403856360606e-09
1874,2.6885740300741645e-08,9.559374625212058e-09
1875,1.602027666081085e-08,5.721527140956084e-10
1876,1.813804395567331e-08,1.209202959984168e-09
1877,3.958282301930183e-08,9.27722432209066e-09
1878,2.8383716710322915e-08,1.8117265465633636e-09
1879,5.376206368978842e-08,4.27652757650776e-09
1880,2.8880309033141316e-08,8.343199908722454e-09
1881,2.8587281097891548e-08,9.761510710859511e-09
1882,3.727015651655563e-08,1.1314154946262533e-08
1883,3.159669503816076e-08,3.791603475633565e-09
1884,2.5086448474098688e-08,1.9805090900604227e-09
1885,2.3204288546185836e-08,4.511945039809007e-09
1886,2.2587123282846733e-08,6.4534639854230136e-09
1887,2.8727267675776602e-08,9.140494583448344e-09
1888,3.233713385952797e-08,6.340614699951175e-09
1889,4.8241552086381034e-08,4.385595886446936e-09
1890,3.670456460991289e-08,1.8352281472289178e-08
1891,3.314594421155448e-08,4.398211927991724e-08
1892,3.8864774953850656e-08,1.3163876211308434e-08
1893,4.249307400394642e-08,2.771287377356657e-08
1894,2.1425233365235385e-08,1.071261657159539e-08
1895,1.9259566386153892e-08,3.129679559954468e-08
1896,2.771603685447488e-08,3.007484750128242e-08
1897,3.204692478053772e-08,1.5732126712464378e-08
