year,un_DET or_NOUN,un_DET mort_ADJ
1800,4.4961552170263985e-07,4.4018302336468196e-08
1801,5.762461718905598e-07,6.429193177837078e-08
1802,6.019789964284428e-07,1.7902721083373763e-08
1803,3.335080056565687e-07,4.8758479920252285e-08
1804,6.67399774556543e-07,4.449331569844617e-08
1805,4.264316615376629e-07,3.1271653710973624e-08
1806,4.2072369854651015e-07,5.763338073450086e-08
1807,4.128084847287994e-07,3.9857372513552036e-08
1808,5.053345026873046e-07,4.5321478125970316e-08
1809,2.6430655797327063e-07,2.0331274663831778e-08
1810,3.5803939590906e-07,3.978215445954447e-08
1811,7.420947225611485e-07,7.270522672797597e-08
1812,4.4275655497472144e-07,6.401299401659344e-08
1813,4.486157074712338e-07,4.026038169513413e-08
1814,2.5488085952929396e-07,6.608021863030444e-08
1815,2.8051123601713357e-07,8.091670444798638e-09
1816,3.3373494900956757e-07,4.4034472068688046e-08
1817,3.596377702308473e-07,9.341240314597599e-08
1818,4.1128063266171466e-07,4.530047448270125e-08
1819,4.3370898339389896e-07,2.8982939270782992e-08
1820,5.339916668845035e-07,5.6959110317222894e-08
1821,3.9939027973723285e-07,1.0847637099686835e-07
1822,4.210758675071702e-07,4.8122956286533736e-08
1823,3.3996441639594366e-07,4.941343334508019e-08
1824,3.9747652991195537e-07,7.073734309415158e-08
1825,3.971254782797473e-07,5.2832657360113444e-08
1826,3.1796822663743285e-07,6.870228075328555e-08
1827,3.659257501453794e-07,3.7790819362726324e-08
1828,3.3754069272973197e-07,6.60405690133814e-08
1829,2.700550321144135e-07,6.772809069133245e-08
1830,2.661393030400916e-07,7.514521493945381e-08
1831,3.3677005895071943e-07,7.016042502527853e-08
1832,3.084832966848694e-07,4.329590330698352e-08
1833,3.312917766784551e-07,7.645194699534841e-08
1834,4.2005388944943434e-07,9.054494776172817e-08
1835,4.00843653380889e-07,5.294161553592858e-08
1836,3.803944532698722e-07,9.005805079453921e-08
1837,3.0266826422931103e-07,7.305785643119123e-08
1838,4.336455154962948e-07,6.312161660027016e-08
1839,2.712692359629898e-07,1.1256274679016798e-07
1840,3.044711236466213e-07,9.108654808187566e-08
1841,3.890852333654493e-07,5.457466212277495e-08
1842,3.0790937222135994e-07,7.110760691375617e-08
1843,3.142476772133307e-07,7.560846004839306e-08
1844,2.969311720946166e-07,7.574214511141264e-08
1845,2.818015216732306e-07,7.756516851031847e-08
1846,2.359364073001302e-07,7.669397050769078e-08
1847,2.389198110464008e-07,5.9325458323655766e-08
1848,2.622742316660265e-07,5.470750608083108e-08
1849,2.1702684072089085e-07,8.211826951765033e-08
1850,2.4033045598059743e-07,8.757804792480783e-08
1851,2.8313036226634836e-07,6.513933215046563e-08
1852,2.994851013848887e-07,9.700712411131462e-08
1853,3.039713381003395e-07,5.912212541758777e-08
1854,3.0342679568917674e-07,1.085893872598831e-07
1855,3.157627688210596e-07,9.181000848457188e-08
1856,3.05454175508757e-07,9.733115780008461e-08
1857,4.0760602182388084e-07,8.542640822506442e-08
1858,2.8089699988242955e-07,9.249047527859489e-08
1859,2.8261562801112916e-07,1.0031581565428382e-07
1860,2.3984443742186556e-07,1.1900678487108962e-07
1861,2.801282459330423e-07,9.809204470911936e-08
1862,3.203252283423552e-07,7.680576885604751e-08
1863,3.156600310028068e-07,1.23367130400176e-07
1864,3.04944698381604e-07,1.2370398394523363e-07
1865,2.7676245673013966e-07,9.743168050135864e-08
1866,3.4643163537850796e-07,7.395731671522299e-08
1867,2.9747733343299387e-07,7.37627310343214e-08
1868,2.657652117266096e-07,9.484558338712645e-08
1869,2.1878165790134574e-07,7.569454996136926e-08
1870,2.6204603731372345e-07,9.23181886491875e-08
1871,1.6993883589222492e-07,1.380753076318797e-07
1872,2.666876723900202e-07,9.917636134559871e-08
1873,2.3405277038701655e-07,9.757187430237124e-08
1874,1.8162811832311831e-07,7.707245686106035e-08
1875,2.385876887167626e-07,9.898241870587299e-08
1876,1.8682186286866909e-07,8.706261667157378e-08
1877,2.2389034581848932e-07,1.0266794170377125e-07
1878,1.7332184998331002e-07,9.239805365268694e-08
1879,1.9549841123733813e-07,7.636656262910435e-08
1880,1.8675932844658405e-07,9.562590941314397e-08
1881,2.168449799722083e-07,9.203709794292081e-08
1882,1.6571908467710728e-07,8.58544682014184e-08
1883,1.9526757766286096e-07,1.0932456717682726e-07
1884,1.7956616193970376e-07,7.790002509722171e-08
1885,1.7983322930792411e-07,6.703461435941804e-08
1886,1.6327263929749591e-07,4.904632433522238e-08
1887,1.912974973983239e-07,1.0250411497381151e-07
1888,1.6739223385187074e-07,6.404020935768528e-08
1889,2.1677373718276272e-07,1.0086870250169966e-07
1890,1.8811089363968136e-07,7.930807710554433e-08
1891,2.581559104264386e-07,9.943782930399436e-08
1892,2.062340609398916e-07,7.710270089056337e-08
1893,2.0630695130030574e-07,7.88277321195352e-08
1894,1.7959387621502287e-07,8.885170532657582e-08
1895,2.2028128654483226e-07,7.703826887528464e-08
1896,2.305738274754887e-07,8.314810884257895e-08
1897,1.526598898404785e-07,7.749529329359461e-08
1898,1.9691074593097824e-07,6.450524381307332e-08
1899,2.1391728921571485e-07,9.341607487556303e-08
1900,2.429412844229262e-07,9.240074660965547e-08
1901,1.9616473878603102e-07,1.0618603596412868e-07
1902,2.3569362550546202e-07,8.543894197687862e-08
1903,1.7064696722357553e-07,7.074288776998117e-08
1904,1.5102696426794182e-07,8.814385221711518e-08
1905,2.2758947837431265e-07,6.967024451798309e-08
1906,1.9599343009657488e-07,7.510509192343306e-08
1907,1.7279953024029737e-07,9.051404159521326e-08
1908,2.2445048664110345e-07,8.496703185478793e-08
1909,2.4644406049212364e-07,8.30648527738731e-08
1910,2.2552315703805448e-07,8.6575240754172e-08
1911,2.027062564469162e-07,8.778617122118249e-08
1912,2.3650772540406706e-07,7.449472211318309e-08
1913,2.2378616071350166e-07,7.477215291373795e-08
1914,2.2434091140333123e-07,7.835189974603196e-08
1915,1.9556064301262666e-07,1.3783490948604538e-07
1916,2.2524296805492838e-07,1.5162697675208392e-07
1917,2.5442104623074613e-07,9.321460581190877e-08
1918,2.1134932559618846e-07,1.1256648502211419e-07
1919,2.900472335642945e-07,1.2983066266514243e-07
1920,2.83958701441378e-07,1.1434069691063087e-07
1921,2.1430874874717176e-07,1.075330118283091e-07
1922,2.700324364113271e-07,1.1804696731232411e-07
1923,2.781378549698843e-07,1.4119211266816478e-07
1924,3.081098132184934e-07,1.3020541356212334e-07
1925,2.3756064404523158e-07,1.4847540796836256e-07
1926,2.7642422395501853e-07,9.920063170909543e-08
1927,2.0403081357756037e-07,1.0480271150914433e-07
1928,2.787953921057351e-07,1.336846771060607e-07
1929,2.2280813460895388e-07,9.803557343701641e-08
1930,1.9746774748696794e-07,1.0713675746565343e-07
1931,2.2696660373355826e-07,8.668071149742218e-08
1932,2.2357455264909731e-07,8.548438590327834e-08
1933,2.1106018088801193e-07,1.1700075130960386e-07
1934,2.3963159989648375e-07,9.585264137967897e-08
1935,1.9867351674918154e-07,9.574627135577884e-08
1936,1.9520790317528736e-07,1.1760973395169572e-07
1937,1.825712123704193e-07,1.1332006433217856e-07
1938,2.4115299090965436e-07,1.0112866988265523e-07
1939,1.9117562644055397e-07,1.498816892819832e-07
1940,1.3186070790816018e-07,7.100191878883777e-08
1941,2.508777141585483e-07,9.739958883869804e-08
1942,1.9115534199976025e-07,1.5171058498353318e-07
1943,2.467749915524564e-07,1.4225852873472888e-07
1944,2.2170985047864633e-07,1.4138018400444707e-07
1945,3.071690679590233e-07,1.8952985048059645e-07
1946,2.519719863869341e-07,1.3364260365023028e-07
1947,2.467620250357072e-07,1.3112957719663143e-07
1948,2.2504807328793675e-07,1.2720108100161553e-07
1949,1.6787084566871613e-07,1.452917297584122e-07
1950,2.392956330865559e-07,1.286878759110266e-07
1951,1.8124383416306955e-07,1.4286278604558333e-07
1952,1.5079069926038358e-07,1.2759212952850874e-07
1953,1.63762175486859e-07,9.480967833042087e-08
1954,1.7688290654405137e-07,1.153159256972458e-07
