year,en_ADP être_NOUN,en_ADP maître_NOUN
1800,9.118077182179718e-08,1.2325124316703295e-06
1801,9.048493865293494e-08,1.5644369568690308e-06
1802,4.0281122437590966e-08,9.667469385021832e-07
1803,3.90067853572873e-08,1.6636394093438867e-06
1804,7.168367943677367e-08,1.17412923827942e-06
1805,4.5486043376286034e-08,1.3503669151759823e-06
1806,7.780506905419315e-08,1.6194979934880394e-06
1807,2.562259560079383e-08,1.3095993836031994e-06
1808,8.157866204783204e-08,1.7652716906013666e-06
1809,6.551188391767937e-08,1.4412614746106556e-06
1810,1.2168659679900884e-07,1.5070415884110844e-06
1811,5.766276700569506e-08,1.278609147448151e-06
1812,3.467370746079723e-08,1.0882209835472167e-06
1813,3.163315653864629e-08,1.2480718396545853e-06
1814,1.2586708564299443e-08,1.865979584181332e-06
1815,5.664169577812572e-08,1.4672896213596687e-06
1816,8.343373814057031e-08,1.175025204247504e-06
1817,1.074242625964672e-07,2.070641585305566e-06
1818,7.033494853203592e-08,1.7106889345086529e-06
1819,1.521604389154163e-07,1.8745751049209503e-06
1820,1.1747816586193949e-07,1.5984149968062411e-06
1821,9.467028405651945e-08,1.741538881105953e-06
1822,5.81485721795616e-08,1.576026761540561e-06
1823,4.5460360809101985e-08,1.5001918427515193e-06
1824,7.915846111927749e-08,1.5696954278610065e-06
1825,6.60408261410339e-08,1.5057307791721541e-06
1826,5.549030035467695e-08,1.443628661945695e-06
1827,5.438191053031005e-08,1.4203817499947036e-06
1828,4.861319524707142e-08,1.442802954443323e-06
1829,6.515613648616636e-08,1.7763620689947857e-06
1830,7.618889985572252e-08,1.5488263898078003e-06
1831,6.392394169552063e-08,1.400090354763961e-06
1832,5.953186388296672e-08,1.5140035429794807e-06
1833,4.865124125785769e-08,1.3993022776048747e-06
1834,5.414027981487379e-08,1.2676292726609972e-06
1835,7.865611451052246e-08,1.5375758266600315e-06
1836,7.325617551456887e-08,1.3710330222238554e-06
1837,4.1051556820548285e-08,1.2552035286717e-06
1838,5.302215910774066e-08,1.4297046391220647e-06
1839,4.6842885126352485e-08,1.4185702639224473e-06
1840,3.885510224677091e-08,1.6198118828469887e-06
1841,5.1364389630492724e-08,1.4131627494862187e-06
1842,6.171603672555648e-08,1.398673248331761e-06
1843,5.9069112268161916e-08,1.7803430409912835e-06
1844,5.598332558642838e-08,1.7052959719876526e-06
1845,2.622707206967334e-08,1.5780884723426425e-06
1846,8.313391930414582e-08,1.5520282659053919e-06
1847,5.2853592613644196e-08,1.6589556253165938e-06
1848,2.413566591030758e-08,1.4666438801214099e-06
1849,3.5193544078993e-08,1.2887539924122393e-06
1850,4.6844071732721204e-08,1.2885514024674194e-06
1851,3.418202609850596e-08,1.357606834062608e-06
1852,6.445440292601745e-08,1.430366864951793e-06
1853,4.060913738612726e-08,1.3675723948836094e-06
1854,6.806320096419682e-08,1.6771605260146316e-06
1855,7.641989441253827e-08,1.5973880636011017e-06
1856,5.7466799319172424e-08,1.8441147631165222e-06
1857,3.905207179855097e-08,1.507898105046479e-06
1858,4.893675864536817e-08,1.7279570556638646e-06
1859,5.855999241077825e-08,1.7858252476798953e-06
1860,3.6159752692110914e-08,1.6921849237405695e-06
1861,5.6119969671364345e-08,1.7034061556842062e-06
1862,5.602302977081308e-08,1.5862649433984188e-06
1863,6.542953423505082e-08,1.720646878311527e-06
1864,5.130358926574985e-08,1.7697341263556154e-06
1865,6.495445564747016e-08,1.7377669792040251e-06
1866,4.427707733789532e-08,1.654794914429658e-06
1867,7.133633062039735e-08,1.5422234582729288e-06
1868,6.026646237611288e-08,1.6039771253417712e-06
1869,6.836926647046937e-08,1.6745586890465347e-06
1870,4.873941605865184e-08,1.6984253079499467e-06
1871,6.160282595146782e-08,1.411554421792971e-06
1872,4.898344840853497e-08,1.5118348528631032e-06
1873,3.71132280463371e-08,1.446218675482669e-06
1874,4.95892557017541e-08,1.530694817120093e-06
1875,4.748867610260277e-08,1.6397897297792952e-06
1876,4.957732135935089e-08,1.5096899232958094e-06
1877,4.0201303619369355e-08,1.7199972717207856e-06
1878,4.5293163830617544e-08,1.6734314840505249e-06
1879,3.665595116331133e-08,1.5120580201255507e-06
1880,4.428314070992201e-08,1.5588948372169398e-06
1881,3.765154232837631e-08,1.581364699632104e-06
1882,4.658769525711648e-08,1.5786573612786015e-06
1883,4.6131175601704655e-08,1.524856543255737e-06
1884,3.564916273290919e-08,1.6471234403070412e-06
1885,2.8360796378024133e-08,1.5263265140674775e-06
1886,4.1947515683204983e-08,1.6927435808611335e-06
1887,3.068594583988116e-08,1.3580163340520812e-06
1888,3.8043688865840863e-08,1.640317009332648e-06
1889,3.3831739187917265e-08,1.6608877331236727e-06
1890,3.736000159237918e-08,1.4721151728736004e-06
1891,4.653180718516836e-08,1.509415255895874e-06
1892,6.080456671497814e-08,1.3978782362755737e-06
1893,4.618812354806323e-08,1.4035031199455261e-06
