year,en_ADP eau_NOUN,en_ADP maux_NOUN
1800,3.1787503758096136e-06,6.60274537267469e-08
1801,2.576439555923571e-06,2.6193008650921e-08
1802,1.4859258499200223e-06,3.3567602031325805e-08
1803,2.201932985057553e-06,8.191424916148549e-08
1804,3.030489324373775e-06,4.943701981119375e-08
1805,2.771805839074659e-06,3.695740957709859e-08
1806,1.8154515828427975e-06,1.4408345627714425e-08
1807,1.3608445215140819e-06,8.540865792383556e-09
1808,1.4004336890138802e-06,2.945896149242344e-08
1809,2.3855361632740824e-06,4.292158095609011e-08
1810,1.8884823020925978e-06,3.7442028588685616e-08
1811,1.5669229469494894e-06,1.7549536490690798e-08
1812,1.2935960285176407e-06,3.7340914360584065e-08
1813,4.155446731601842e-06,4.888760685162197e-08
1814,1.2838443126383936e-06,5.664018942752591e-08
1815,1.4484090797850513e-06,5.1247248222807684e-08
1816,2.1762300548289204e-06,1.3905623319487859e-08
1817,1.3918448757976876e-06,4.0478710161551135e-08
1818,1.5902850138971303e-06,7.987188865854478e-08
1819,1.3725492635785486e-06,2.070209959015301e-08
1820,9.97971028482425e-07,6.289234733003468e-08
1821,1.6942037053269132e-06,5.719663320746804e-08
1822,1.7294187273364514e-06,5.9151133768864383e-08
1823,1.5199573006885458e-06,2.668325560506446e-08
1824,1.6134852103277808e-06,5.810567760278218e-08
1825,9.906123521474797e-07,5.107157008410468e-08
1826,1.0745741292339517e-06,5.0205510859768765e-08
1827,1.295948550250614e-06,3.871254605769536e-08
1828,1.5776357807917307e-06,3.66892045633449e-08
1829,1.1325165587550146e-06,3.686465693819585e-08
1830,1.4121038334202751e-06,1.2524203230057651e-08
1831,1.3642305702887825e-06,2.494592932222872e-08
1832,1.2853470745533002e-06,7.17088382007347e-08
1833,1.4502702546659307e-06,2.895907214028881e-08
1834,1.1350789714814624e-06,4.293884159345396e-08
1835,1.5663155323863975e-06,3.857174846189082e-08
1836,1.5007434512881446e-06,3.2259599047623766e-08
1837,1.0840394311095736e-06,6.05336497594422e-08
1838,1.4972448525440996e-06,3.092959488526503e-08
1839,1.4038881772648892e-06,4.194885150354821e-08
1840,1.4242623365134932e-06,4.8409635411417185e-08
1841,1.6276090946121258e-06,3.4028908135752545e-08
1842,1.3577528821251406e-06,2.2808101185489704e-08
1843,1.7366319041145495e-06,2.4218335781256428e-08
1844,1.482460447732592e-06,4.335963504908946e-08
1845,1.506103540216408e-06,2.566904894196753e-08
1846,1.391614934398433e-06,3.6297908678761814e-08
1847,1.3439913750801225e-06,2.58874726100089e-08
1848,1.6235256907748408e-06,2.9767320330886804e-08
1849,1.2527224966252248e-06,6.535943697372204e-08
1850,1.2641111135636152e-06,1.2899092460827433e-08
1851,1.2840832823712844e-06,2.3217979316925152e-08
1852,9.987177236325806e-07,5.208436393289162e-08
1853,1.5377724897902567e-06,3.702597650701023e-08
1854,1.4958318388380576e-06,2.4939190101935793e-08
1855,1.4493245217295225e-06,1.6451505047143655e-08
1856,1.6701612384206754e-06,3.1063134675601844e-08
1857,1.3028747867793733e-06,3.1241658371428116e-08
1858,1.2777388309626048e-06,2.8383320083147368e-08
1859,1.353499639922262e-06,5.8559994853268904e-08
1860,1.8111916695318087e-06,3.890606170564581e-08
1861,1.883084323139883e-06,2.782418617730542e-08
1862,1.8085498547648626e-06,2.710791777160715e-08
1863,1.7695941867401643e-06,2.3474717281146695e-08
1864,1.517531341921341e-06,4.267307784910912e-08
1865,1.7208223508369258e-06,2.729969672543575e-08
1866,1.852338885832694e-06,2.3841502772015133e-08
1867,1.6955722994538291e-06,2.6690463172940326e-08
1868,2.0530117073036536e-06,2.1735445443482604e-08
1869,1.8576907141465426e-06,4.737013703515203e-08
1870,2.1290523042338805e-06,2.121598097204469e-08
1871,2.2368199523725707e-06,1.6993883855676017e-08
1872,1.9557096111455508e-06,1.4513614199351821e-08
1873,2.254329380946274e-06,1.915521447015678e-08
1874,2.2464530360366552e-06,4.182226565063729e-09
1875,1.9190002786828586e-06,2.9179788696431785e-08
1876,2.4728200003210077e-06,1.1487428563938806e-08
1877,2.013776033038539e-06,2.2265338017746217e-08
1878,2.335919546680998e-06,3.019544342341973e-08
1879,2.146816937553808e-06,1.5273313058727922e-08
1880,2.432363761073475e-06,1.4761046829292468e-08
1881,2.5191669088542312e-06,1.8825769887431676e-08
1882,2.059841768264903e-06,1.1979693015362614e-08
1883,2.4588548654946862e-06,2.0853818227806187e-08
1884,2.280226148343445e-06,1.2543224237049344e-08
1885,2.480925262560163e-06,1.933690724209569e-08
1886,2.509752055068759e-06,1.4197620579192716e-08
1887,2.944544934990745e-06,2.676859012229471e-08
1888,2.8526426163466567e-06,1.6485598663962264e-08
1889,2.7836001859071757e-06,1.6915869316402876e-08
1890,2.89048454860108e-06,1.5075089621063853e-08
1891,2.7166926770405553e-06,1.7847816891070067e-08
1892,3.2270301826287096e-06,2.3193496012652304e-08
1893,3.2183885432246484e-06,1.1085149798084615e-08
1894,3.520670052381547e-06,2.0795079658242344e-08
1895,3.2428293863517865e-06,2.166701262851234e-08
1896,3.2221366303986088e-06,1.47425724961181e-08
1897,3.4051314283800593e-06,2.9716238358901137e-08
1898,3.4408455000800586e-06,1.7540900398849146e-08
1899,3.4834797926208694e-06,5.527578395003729e-09
1900,3.6404855165983463e-06,2.2321527626267823e-08
1901,4.084809301474479e-06,2.1796081439706683e-08
1902,4.2861866802468285e-06,8.838511089681589e-09
1903,4.779194757276173e-06,1.2960528428251905e-08
1904,4.806527314826781e-06,1.289910045443321e-08
1905,4.8232454261665225e-06,2.0126959654476195e-08
1906,5.007863460804174e-06,2.05767382577271e-08
1907,4.5509021333600685e-06,1.439996183405512e-08
1908,4.656979236017378e-06,1.718986175625048e-08
1909,4.872221001761545e-06,8.25147539185167e-09
1910,5.38262861482508e-06,1.763569701385137e-08
1911,4.311099131015794e-06,1.276889838308648e-08
1912,4.8046492082676195e-06,1.667014809525469e-08
1913,5.361322720887074e-06,2.7045247652512927e-08
1914,5.214084865201585e-06,1.5402510378237366e-08
1915,4.38362137167303e-06,3.5342285764627945e-09
1916,4.108212152686974e-06,1.3184954461564757e-08
