year,mon_DET auteur_NOUN
1800,3.8358807685767715e-07
1801,3.7146449693992167e-07
1802,1.991677720525331e-07
1803,4.037202199214107e-07
1804,2.471851010543702e-07
1805,3.7241697370404836e-07
1806,1.8154515402102334e-07
1807,3.530224241821145e-07
1808,4.2148975865075045e-07
1809,1.6265019331385133e-07
1810,4.1186230870238205e-07
1811,4.863728815251989e-07
1812,3.013945182317457e-07
1813,4.744973596260138e-07
1814,2.6432088695571565e-07
1815,1.024944979999276e-07
1816,1.5759706784024274e-07
1817,2.4442912227584657e-07
1818,2.539210808283343e-07
1819,4.657972514365838e-07
1820,2.586892833278398e-07
1821,2.771078184693465e-07
1822,2.98763367823085e-07
1823,2.895627133625567e-07
1824,2.5937026659761386e-07
1825,1.8931702605584633e-07
1826,1.5854371993029304e-07
1827,2.0923210369838685e-07
1828,1.3758451200551747e-07
1829,1.808940107150825e-07
1830,1.283730797219107e-07
1831,1.8397623646748684e-07
1832,1.5965363486802886e-07
1833,1.818629691285878e-07
1834,2.1376075487467006e-07
1835,2.0722861648891922e-07
1836,1.8347647134930867e-07
1837,1.7394727747088723e-07
1838,1.4959823313454024e-07
1839,1.517150090002417e-07
1840,2.2230213669871546e-07
1841,1.1428576129901558e-07
1842,1.0531976268879362e-07
1843,2.026070469174357e-07
1844,1.1196664667645351e-07
1845,9.207375928355077e-08
1846,1.276281285100822e-07
1847,8.197699941092651e-08
1848,1.0136979566865989e-07
1849,5.5304137047684776e-08
1850,1.1677073086246992e-07
1851,9.674158274464162e-08
1852,9.765817865492465e-08
1853,1.0809196826500056e-07
1854,1.2105898311576269e-07
1855,2.170537278800566e-07
1856,1.579042671617792e-07
1857,2.2650202446961032e-07
1858,1.438740814818651e-07
1859,1.3748867910834406e-07
1860,1.2037993624147703e-07
1861,1.202570736325015e-07
1862,1.947252040723768e-07
1863,1.1887197892690438e-07
1864,1.275397663036415e-07
1865,1.0260920918492289e-07
1866,1.265059372812516e-07
1867,1.237466911163665e-07
1868,1.2053292430813656e-07
1869,1.0499565838983926e-07
1870,1.0321287913228616e-07
1871,8.496941461544338e-08
1872,8.405801898980769e-08
1873,7.662085810267172e-08
1874,1.0156835184016444e-07
1875,1.596306118401003e-07
1876,8.887641644861333e-08
1877,2.1585007425883873e-07
1878,1.2742476718230478e-07
1879,1.191318403925834e-07
1880,8.792449524008816e-08
1881,7.809208657505451e-08
1882,6.588831036324905e-08
1883,1.4534480241579217e-07
1884,1.2543224414685028e-07
1885,8.508239290883068e-08
1886,6.647067807286078e-08
1887,1.0511568415694228e-07
1888,8.6232361029559e-08
1889,8.52058588129978e-08
1890,9.700491876429851e-08
1891,7.904033105798902e-08
1892,8.963972919495689e-08
1893,8.190694034126977e-08
1894,6.93169344145872e-08
1895,7.523267986364601e-08
1896,6.545702313509594e-08
1897,7.574727955983462e-08
1898,6.111023365118484e-08
1899,7.462230833255035e-08
1900,1.167986964922818e-07
1901,5.476963993444883e-08
1902,4.615666782115113e-08
1903,8.748356883359065e-08
1904,8.223176894972539e-08
1905,6.86380957626298e-08
1906,7.664834855702907e-08
1907,6.42855439991763e-08
1908,7.956450254198444e-08
1909,7.37131781169964e-08
1910,8.443758225951115e-08
1911,7.288912573510942e-08
1912,6.928530360550411e-08
1913,7.636305376923502e-08
1914,6.696743748424439e-08
1915,6.832841781267973e-08
1916,6.812226516217379e-08
1917,6.250861961376586e-08
1918,6.547234754350484e-08
1919,1.675828396607848e-07
1920,7.496509368820625e-08
1921,6.664017959678858e-08
1922,7.599273688096986e-08
1923,8.917396554508628e-08
1924,1.1086797213621935e-07
1925,8.468596868205225e-08
1926,1.0365908753584563e-07
1927,8.584903199437832e-08
1928,1.0511957926340187e-07
1929,7.798284240578823e-08
1930,8.717990684914412e-08
1931,8.211856439288567e-08
1932,8.986819843848082e-08
1933,7.111810318427558e-08
1934,7.548395686285403e-08
1935,7.420336167740516e-08
1936,5.213627440880941e-08
1937,6.04373666668323e-08
1938,4.92678138286351e-08
1939,5.6587987629086456e-08
1940,6.339457203630161e-08
1941,7.083606057278757e-08
1942,8.799213935262173e-08
1943,6.677441222180391e-08
1944,6.747690939334916e-08
1945,8.71401590885057e-08
1946,5.150808490839154e-08
1947,3.814678839475505e-08
1948,1.065444983350261e-07
1949,6.086545112360398e-08
1950,8.614643021154222e-08
1951,7.782823274737893e-08
1952,7.803154700170012e-08
1953,6.356558102105225e-08
1954,5.4726201570431954e-08
1955,5.443652462133741e-08
1956,4.186147961604547e-08
1957,3.180613605824334e-08
1958,5.707847972047375e-08
1959,5.037986205991274e-08
1960,4.6369581951921646e-08
1961,5.836453842444911e-08
1962,7.737187068812545e-08
1963,7.435960958090959e-08
1964,6.02312879571798e-08
1965,5.58148441354156e-08
1966,5.5390747766281834e-08
1967,6.409436226206822e-08
1968,7.365921683710752e-08
1969,5.813449899250145e-08
1970,5.610444386849878e-08
1971,8.01589996601848e-08
1972,5.591860219311684e-08
1973,4.851619295198617e-08
1974,4.6129689179608135e-08
1975,3.712462159910501e-08
1976,4.570821499072508e-08
1977,4.936496589280637e-08
1978,3.9801961282392995e-08
1979,5.149736503895497e-08
1980,4.548120502434472e-08
1981,5.123695201447731e-08
1982,6.269577146333916e-08
1983,4.2312616521655855e-08
1984,6.146948905438876e-08
1985,3.128090186876875e-08
1986,4.196139857803871e-08
1987,6.355249659861784e-08
1988,2.7584147965775685e-08
1989,3.018467120696755e-08
1990,6.974273247806195e-08
1991,4.7477869635770276e-08
1992,4.6283530119595184e-08
1993,3.822053207258591e-08
1994,5.274926673237701e-08
1995,5.476675246640639e-08
1996,4.804283104675733e-08
1997,4.4592517678410104e-08
1998,4.338997605657369e-08
1999,5.986963369508658e-08
2000,3.6227857602710856e-08
2001,5.5203269955228507e-08
2002,6.308958822032196e-08
2003,4.6252844443372965e-08
2004,3.039305912500012e-08
2005,4.593824476373243e-08
2006,5.847403716785493e-08
2007,5.632216226736375e-08
2008,5.194076474479559e-08
2009,7.67679018132128e-08
2010,4.959982780050609e-08
2011,5.124122426369837e-08
2012,5.5829745493340965e-08
2013,5.187772506021204e-08
2014,9.72284909528387e-08
2015,8.422986552680811e-08
2016,8.368213955112225e-08
2017,5.9116864847830186e-08
2018,8.363952197498747e-08
2019,9.591714045242838e-08
