year,en_ADP ami_NOUN,en_ADP mamie_NOUN
1800,3.615789232469524e-07,3.144164484325529e-09
1801,4.1194459754478885e-07,0.0
1802,4.095247447821748e-07,2.2378401354217203e-09
1803,3.666637766741587e-07,0.0
1804,6.970619508273046e-07,0.0
1805,6.197473605418224e-07,0.0
1806,4.35132028187013e-07,0.0
1807,3.4732851261765063e-07,2.8469551160981155e-09
1808,3.7163614319268845e-07,0.0
1809,3.6596293284674175e-07,2.259030518203531e-09
1810,5.265285194511193e-07,0.0
1811,5.089365640031929e-07,0.0
1812,6.134579138006302e-07,0.0
1813,3.7672214148187777e-07,0.0
1814,4.84588265958763e-07,0.0
1815,4.4773910068407474e-07,2.697223555614414e-09
1816,4.612031840878217e-07,0.0
1817,5.231094544200232e-07,1.556873407970727e-09
1818,6.854677145895494e-07,0.0
1819,6.034662280995917e-07,0.0
1820,6.407900023930324e-07,0.0
1821,6.538166559266756e-07,0.0
1822,6.376291850074267e-07,0.0
1823,6.641165413157069e-07,9.882686891060644e-10
1824,6.501098894773349e-07,0.0
1825,5.970090564133557e-07,0.0
1826,6.385788644536206e-07,0.0
1827,5.02341367392134e-07,9.217273055917019e-10
1828,5.89778982096334e-07,9.172301251858528e-10
1829,6.241272361151573e-07,8.57317605795771e-10
1830,6.189043464388533e-07,0.0
1831,5.768746040857309e-07,0.0
1832,5.736706736314545e-07,0.0
1833,5.5138074017691e-07,0.0
1834,4.900628869375367e-07,0.0
1835,6.935351422043823e-07,0.0
1836,5.894097747649596e-07,0.0
1837,6.081196433083136e-07,0.0
1838,4.948735088383671e-07,0.0
1839,5.285555175760237e-07,0.0
1840,6.29325219825283e-07,6.369688665408546e-10
1841,4.905299126889417e-07,0.0
1842,5.333070713930965e-07,0.0
1843,5.369382329867278e-07,0.0
1844,4.6762542105227567e-07,0.0
1845,5.022205078475395e-07,0.0
1846,6.106245082904138e-07,0.0
1847,4.4871621263098405e-07,0.0
1848,4.52141456719346e-07,0.0
1849,4.5751604860200246e-07,0.0
1850,4.0666086675855695e-07,0.0
1851,4.5920003710619994e-07,0.0
1852,4.336023273765477e-07,0.0
