year,ton_DET autel_NOUN,ton_DET motel_NOUN
1800,1.2891073897236538e-07,0.0
1801,1.262026785298076e-07,0.0
1802,9.398928568771225e-08,0.0
1803,5.070882025393075e-08,0.0
1804,1.2112069747161058e-07,0.0
1805,1.3930100806192058e-07,0.0
1806,7.204172547403687e-08,0.0
1807,7.971474236256881e-08,0.0
1808,1.427626554750816e-07,0.0
1809,6.325285584196649e-08,0.0
1810,8.190443878675069e-08,0.0
1811,8.273353557797236e-08,0.0
1812,1.0402111882967802e-07,0.0
1813,7.476928232108548e-08,0.0
1814,9.754698915287463e-08,0.0
1815,9.170559756022101e-08,0.0
1816,3.7081662185300956e-08,0.0
1817,5.916118794857539e-08,0.0
1818,1.144433028343883e-07,0.0
1819,5.589566853814176e-08,0.0
1820,8.78119603697769e-08,0.0
1821,1.6567299887526588e-07,0.0
1822,1.1128433641260926e-07,0.0
1823,1.2056877984889525e-07,0.0
1824,1.1705346825152674e-07,0.0
1825,1.1887347994843367e-07,0.0
1826,8.367585024871005e-08,0.0
1827,5.346018383534101e-08,0.0
1828,7.06267186956211e-08,0.0
1829,5.315369283609428e-08,0.0
1830,8.871310797076148e-08,0.0
1831,8.263338879821447e-08,0.0
1832,7.306183236188701e-08,0.0
1833,1.2626154977102289e-07,0.0
1834,5.600718466780563e-08,0.0
1835,5.445423312266939e-08,0.0
1836,9.409050355513315e-08,0.0
1837,4.313892532081809e-08,0.0
1838,6.880256364638626e-08,0.0
1839,6.22241264069956e-08,0.0
1840,3.821813265858509e-08,0.0
1841,7.319425199270313e-08,0.0
1842,6.574099842282521e-08,0.0
1843,5.1980816373475847e-08,0.0
1844,4.7750483622710505e-08,0.0
1845,5.133809821700197e-08,0.0
1846,7.025401771443285e-08,0.0
1847,4.206714443455439e-08,0.0
1848,5.470750608083108e-08,0.0
1849,7.876649732452279e-08,0.0
1850,3.869727649430388e-08,0.0
1851,6.191461054960712e-08,0.0
1852,4.6224872818356744e-08,0.0
1853,4.120633079196523e-08,0.0
1854,6.546537489882098e-08,0.0
1855,6.421393905498007e-08,0.0
1856,8.387046557256639e-08,0.0
1857,7.419893865989735e-08,0.0
1858,8.759680270031822e-08,0.0
1859,7.33272960129483e-08,0.0
1860,8.742421381269239e-08,0.0
1861,7.922819184047469e-08,0.0
1862,6.370360960961108e-08,0.0
1863,3.795911673876162e-08,0.0
1864,7.671564783429119e-08,0.0
1865,6.213034631219472e-08,0.0
1866,5.595454705131786e-08,0.0
1867,6.551295683721037e-08,0.0
1868,5.4832600682175325e-08,0.0
1869,5.030024752272766e-08,0.0
1870,3.039045681774155e-08,0.0
1871,7.647247546316294e-08,0.0
1872,4.112190765681589e-08,0.0
1873,4.2500630570430076e-08,0.0
1874,4.9589254202953015e-08,0.0
1875,3.1468399441791917e-08,0.0
1876,5.078652365320124e-08,0.0
1877,6.246664374653932e-08,0.0
1878,4.589707458535486e-08,0.0
1879,6.109325312309011e-08,0.0
1880,4.1074216028391675e-08,0.0
1881,4.392679642251096e-08,0.0
1882,3.4608003574021495e-08,0.0
1883,4.044376922252013e-08,0.0
1884,3.300848394616196e-08,0.0
1885,4.705314193831356e-08,0.0
1886,4.452890223216599e-08,0.0
1887,2.742148363932273e-08,0.0
1888,3.106901047544852e-08,0.0
1889,2.1927978877123167e-08,0.0
1890,5.4401406324178225e-08,0.0
1891,3.633305567518619e-08,0.0
1892,5.328235586077312e-08,0.0
1893,3.0792081995301146e-08,0.0
1894,4.159015887239548e-08,0.0
1895,4.032471778714353e-08,0.0
1896,3.066455178668548e-08,0.0
1897,2.971623980219107e-08,0.0
1898,2.2067583316243145e-08,0.0
1899,3.979856444402685e-08,0.0
