year,son_DET axe_NOUN,son_DET max_NOUN
1800,4.914329153393737e-06,0.0
1801,3.0645818753782805e-06,0.0
1802,5.5095621860346e-06,0.0
1803,3.296073195713234e-06,0.0
1804,2.5361191173800535e-06,0.0
1805,3.249409246564028e-06,0.0
1806,3.8009216716261562e-06,5.76333825108577e-09
1807,4.1850239398399935e-06,0.0
1808,3.711829112518217e-06,2.2660739951163578e-09
1809,2.2138499957691238e-06,0.0
1810,3.957154146139175e-06,2.3401267590372754e-09
1811,3.479822552776568e-06,2.5070767684098882e-09
1812,3.784768427550489e-06,0.0
1813,3.7700972512766384e-06,1.7254450312975678e-08
1814,4.040333493549042e-06,0.0
1815,3.320282232266436e-06,0.0
1816,5.8519497443398905e-06,0.0
1817,2.872431469236325e-06,0.0
1818,3.1066587347083896e-06,0.0
1819,2.8672408909358182e-06,0.0
1820,2.1252868016574666e-06,1.1866481131050932e-09
1821,3.4278532474729673e-06,0.0
1822,3.3395326113350166e-06,0.0
1823,2.9885244856586723e-06,0.0
1824,2.8160201104299176e-06,0.0
1825,2.9938506127535902e-06,0.0
1826,3.0854369654775837e-06,0.0
1827,2.825094179037535e-06,9.217273055917019e-10
1828,3.1580233468275765e-06,0.0
1829,2.76056271175662e-06,0.0
1830,2.878479353540797e-06,0.0
1831,3.0371670476370127e-06,3.1182412207897414e-09
1832,2.7465837426632334e-06,0.0
1833,3.5735493550959063e-06,3.475088550253247e-09
1834,2.890904283958662e-06,0.0
1835,2.8376705643040623e-06,0.0
1836,2.4302231658168694e-06,0.0
1837,2.682266899256547e-06,0.0
1838,2.634696375736212e-06,0.0
1839,3.0496814495961644e-06,0.0
1840,2.635777089921021e-06,1.2739377330817092e-09
1841,2.499519510479331e-06,6.420548537278137e-10
1842,2.593415290519374e-06,0.0
1843,3.161378867133635e-06,1.7720733769266417e-09
1844,2.795873104588509e-06,0.0
1845,2.9173432238849273e-06,5.580227946389016e-10
1846,2.371658561983736e-06,5.854501328173001e-10
1847,2.6043876735215576e-06,1.0786447290911383e-09
1848,2.2051952761614757e-06,1.6090443422100975e-09
1849,2.1727823700246063e-06,0.0
1850,2.7583691348809225e-06,0.0
1851,2.9860901058498257e-06,1.2898877521649865e-09
1852,2.8047430049582545e-06,0.0
1853,3.4882054933405016e-06,0.0
1854,3.1454553184318e-06,0.0
1855,2.8694608396051535e-06,5.306937111981824e-10
1856,2.9251118185413816e-06,0.0
1857,2.87764968653903e-06,5.2232146663389045e-08
1858,3.335040295482372e-06,9.787352039936081e-10
1859,2.3306876579809455e-06,0.0
1860,2.4867840551223708e-06,4.577183909670879e-10
1861,2.8366522109024572e-06,0.0
1862,2.401761522108359e-06,0.0
1863,2.3389810301921443e-06,5.494082966350788e-09
1864,2.688403874628875e-06,0.0
1865,2.409433648153936e-06,4.706844358715045e-10
1866,2.8186495555360125e-06,1.4596838737723772e-09
1867,3.9186451346040485e-06,4.85281148598915e-10
1868,3.5621432523669228e-06,4.93987406535723e-10
1869,3.3037006161862337e-06,0.0
1870,3.203612958913027e-06,0.0
1871,3.4476340573519337e-06,1.0621177271019633e-09
1872,3.417956072837569e-06,6.047339295989218e-10
1873,3.7041396119263936e-06,1.1972008939764578e-09
1874,3.624795475332121e-06,1.1949218281515073e-09
1875,2.735462185654569e-06,4.0050688876469565e-09
1876,3.343446138615036e-06,2.9625472519612117e-08
1877,3.4226771283840662e-06,0.0
1878,3.18259980502944e-06,1.2078177347163432e-09
