year,en_ADP an_NOUN,en_ADP man_NOUN
1800,4.904896533375336e-07,5.973912431400663e-08
1801,5.643402785082685e-07,8.096020565062645e-08
1802,6.064546766992862e-07,6.937304419807333e-08
1803,5.265915992147541e-07,7.216254971353919e-08
1804,3.6830580740776497e-07,6.426812215742927e-08
1805,4.918178508894755e-07,1.2508662527999093e-07
1806,4.3801370352980484e-07,5.187004603612877e-08
1807,4.526658616832435e-07,8.256169792275614e-08
1808,5.483899125913183e-07,7.251436473509898e-08
1809,5.421673359151669e-07,9.713831361501946e-08
1810,5.943921879136838e-07,7.956431291589183e-08
1811,5.515568854974617e-07,1.2033968843638831e-07
1812,3.6807472891808857e-07,4.000812481308458e-08
1813,4.658701489024253e-07,3.134558426154399e-07
1814,5.286417530392384e-07,5.034683425719777e-08
1815,5.529308373386499e-07,1.4295284911369777e-07
1816,5.400016984680178e-07,6.721051093450114e-08
1817,5.433488123873786e-07,4.0478708829283505e-08
1818,6.115563999653517e-07,7.867977025455275e-08
1819,4.896046665869846e-07,5.4860566423009516e-08
1820,5.517913699293331e-07,7.831877368857931e-08
1821,5.581602378068595e-07,6.903041860351067e-08
1822,5.323601897089247e-07,6.416394171537831e-08
1823,5.33665093671587e-07,5.435477745674433e-08
1824,5.793725446068265e-07,8.421112962508914e-08
1825,5.60906715518783e-07,9.069606443645739e-08
1826,4.6241916806799566e-07,6.165588928297439e-08
1827,6.286180035952604e-07,1.5761536387159936e-07
1828,5.851928263078676e-07,6.237164740241496e-08
1829,5.735454887134672e-07,7.715858174606183e-08
1830,3.7781346229337487e-07,5.0096812032052185e-08
1831,3.80425425827724e-07,4.67736174236677e-08
1832,3.368962461225422e-07,5.0060885214975315e-08
1833,6.544750054127135e-07,4.401778908036391e-08
1834,4.424567656702294e-07,4.480574977705487e-08
1835,4.4092801942952065e-07,6.277362984974388e-08
1836,3.8913142974550397e-07,4.5029024398068884e-08
1837,4.167776712638016e-07,3.618103228131275e-08
1838,3.888291648657116e-07,2.5248648061193535e-08
1839,4.1669192585302994e-07,4.474544135213421e-08
1840,3.471480304884089e-07,3.24854127486951e-08
1841,3.7239181560622114e-07,2.5040138851295524e-08
1842,5.138531156134718e-07,5.56785999528131e-08
1843,3.378753090643727e-07,4.25297610462394e-08
