year,ancien_ADJ arrêt_NOUN,ancien_ADJ marais_NOUN
1800,3.144164484325529e-09,5.973912209356058e-08
1801,9.524730337773235e-09,3.333655484993869e-08
1802,1.5664880947952042e-08,2.2378401354217203e-09
1803,1.5602713787643552e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,3.7461699520235925e-08,0.0
1807,1.4234775846944103e-07,0.0
1808,1.654234011994049e-07,0.0
1809,1.2424668049959564e-07,1.581321384946932e-08
1810,5.148278958699848e-08,0.0
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,1.360276229434021e-07,0.0
1813,1.35159851311073e-07,2.8757416448144113e-09
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,7.552225866902518e-08,0.0
1816,3.0128852301913867e-08,2.3176038865813098e-09
1817,0.0,4.670620334934483e-09
1818,3.2187178256037896e-08,1.1921177378582115e-09
1819,6.521161566297451e-08,1.035105001712111e-09
1820,2.254631326081835e-08,0.0
1821,6.508582117703554e-08,1.0847637454958203e-08
1822,2.8071724500478012e-08,4.010246357211145e-09
1823,1.9765373338032077e-08,3.9530747564242574e-09
1824,4.6316120716483056e-08,8.421112696055388e-10
1825,3.52217717214387e-08,8.805443041381977e-10
1826,6.694068388490848e-08,3.5231937367541377e-09
1827,1.769716391208931e-07,4.608636583469661e-09
1828,9.722639049414283e-08,5.503380862137419e-09
1829,4.372319750700626e-08,1.5431716349212365e-08
1830,5.635891398014792e-08,0.0
1831,2.0268567268999504e-08,3.1182412207897414e-09
1832,6.22378593106987e-08,9.470978667991403e-09
1833,3.359252431778259e-08,2.3167256557599103e-08
1834,3.640467127752345e-08,1.3068342852307069e-08
1835,4.0084366048631637e-08,1.0588323107185715e-08
1836,2.8899226123257904e-08,5.376600054063374e-09
1837,2.5744196108234974e-08,4.87052354003481e-09
1838,4.9234863297442644e-08,1.0730675015224733e-08
1839,2.027527834513876e-08,9.088918062616358e-09
1840,2.1019973317493168e-08,1.52872523528913e-08
1841,3.33868519497571e-08,1.4767261191650505e-08
1842,2.0124794275488966e-08,4.024959032733477e-09
1843,1.6539351221922516e-08,1.4176586571323924e-08
1844,4.610391357573462e-08,1.2074834465636286e-08
1845,7.19849424513086e-08,1.785672942844485e-08
1846,2.8101606375230404e-08,3.102885770545072e-08
1847,4.853901458545806e-08,5.9325460100012606e-09
1848,5.390298646323899e-08,4.8271330266302925e-09
1849,3.016589289472904e-08,1.4245005175439474e-08
1850,4.480737203493845e-08,8.82569484161877e-09
1851,2.8377531435808123e-08,7.739326512989919e-09
1852,5.9245962802378926e-08,2.6042181744401205e-09
1853,2.448492075757258e-08,1.6124216628554677e-08
1854,5.923057599943604e-08,6.234797567117312e-09
1855,3.874064091746732e-08,2.2289135870323662e-08
1856,3.054541508618058e-08,4.141751386299575e-09
1857,3.026535466688074e-08,1.4156376515472857e-08
1858,1.8595969208945462e-08,3.4255731584664773e-09
1859,4.073738812948591e-08,1.7313389832906978e-08
1860,2.4716793944890014e-08,1.2816115280145368e-08
1861,5.2818794671338765e-08,6.13075279431996e-09
1862,2.2589931703009825e-08,7.6805766469068e-09
1863,3.995696601366561e-08,7.99139360241341e-09
1864,1.965838514195184e-08,2.0137857159596706e-08
1865,2.6358328464315406e-08,1.3179164426446732e-08
1866,4.719644408623935e-08,4.0871150019938796e-08
1867,4.221945815174877e-08,1.5043715606566366e-08
1868,3.507310708528166e-08,1.6301584082611953e-08
1869,2.0999133099053324e-08,2.539429999615095e-08
1870,1.9495765002375265e-08,2.9243648391741317e-08
1871,6.37270636261178e-09,2.7615060460561835e-08
1872,1.814201766592305e-08,9.071008832961525e-09
