year,en_ADP airs_NOUN,en_ADP mères_NOUN
1800,0.0,2.515331631869344e-08
1801,2.3811825844433088e-09,0.0
1802,0.0,4.475680270843441e-09
1803,7.801356671777171e-09,4.095712213825209e-08
1804,2.4718509905596875e-08,7.4155526164076946e-09
1805,3.1271653710973624e-08,0.0
1806,4.3225035994964855e-08,0.0
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,2.259030518203531e-09
1810,9.360507036149102e-09,1.4040760554223652e-08
1811,1.2535384286138651e-08,0.0
1812,2.9339290108509886e-08,0.0
1813,4.3136125782439194e-08,0.0
1814,0.0,0.0
1815,3.506390555685357e-08,0.0
1816,1.228330006597389e-07,0.0
1817,6.227493631882908e-09,4.670620334934483e-09
1818,5.960588467246453e-09,1.7881765401739358e-08
1819,0.0,1.035105001712111e-09
1820,2.0173018810965004e-08,0.0
1821,1.676452932031225e-08,0.0
1822,1.0025615893027862e-09,3.0076847679083585e-09
1823,1.2847492847356534e-08,1.9765373782121287e-09
1824,1.7684335773537896e-08,1.6842225392110777e-09
1825,4.4027217427355936e-09,1.7610886082763955e-09
1826,7.0463874735082754e-09,7.927186018719112e-09
1827,5.530363722527909e-09,1.2904182611350734e-08
1828,1.0089530988466322e-08,2.7516904310687096e-09
1829,1.7146351893870815e-08,3.429270423183084e-09
1830,1.982998831806526e-08,2.0873671680021744e-09
1831,0.0,0.0
1832,2.976593194148336e-08,0.0
1833,2.085053074640797e-08,4.6334514003376626e-09
1834,1.8669061851994684e-09,1.8669061851994684e-09
1835,6.050470346963266e-09,6.806779140333674e-09
1836,1.1425274948351216e-08,6.048674894287842e-09
1837,2.5048407792382932e-08,6.957890930081589e-10
1838,2.1461350030449466e-08,3.1560809521380406e-09
1839,5.2436064379435265e-08,2.7965900706306e-09
1840,7.0066574764382494e-09,9.554533164646273e-09
1841,1.733548060656176e-08,1.926164561183441e-09
1842,6.708265054555795e-09,2.683306021822318e-09
1843,1.3585895075607368e-08,4.7255288571079745e-09
1844,1.0977122322231025e-08,9.879410234336916e-09
1845,5.580227835366713e-09,4.464182357111213e-09
1846,9.952652035849496e-09,4.0981511517657054e-09
1847,9.168480197274675e-09,1.6179670936367074e-09
1848,2.735375304041554e-08,1.6090443422100975e-09
1849,6.703531951757213e-09,1.6758829879393033e-09
1850,2.0366988096043315e-09,2.0366988096043315e-09
1851,3.8696632564949596e-09,6.449438760824933e-10
1852,5.859490670445666e-09,1.3021090872200602e-09
1853,1.1943863675867306e-09,2.9859659189668264e-09
1854,7.27393034694046e-09,8.832629738719788e-09
1855,1.2736649068756378e-08,4.776243400783642e-09
1856,1.0872097000458325e-08,1.1907535402144731e-08
1857,7.322263684272912e-09,5.369659827891837e-09
1858,2.4468379322684086e-08,6.361778881469604e-09
1859,1.3748867822016564e-08,8.656694916453489e-09
1860,1.373155189554609e-08,4.57718396518203e-09
1861,1.2733101684148096e-08,3.7727710400226044e-09
1862,1.0843167252971853e-08,2.2589932147099034e-09
1863,9.489779628779615e-09,1.648224873251891e-08
1864,1.3904711160250827e-08,3.3563094525845827e-09
1865,7.530950973944073e-09,4.706844247692743e-09
1866,1.0704348518686402e-08,0.0
1867,2.426405742994575e-08,1.1161466417775046e-08
1868,1.1855697756857353e-08,5.927848767406374e-09
1869,1.5627261262807224e-08,1.0255390314739543e-08
1870,8.027668307875047e-09,7.454262984651905e-09
1871,6.37270636261178e-09,1.274541272522356e-08
1872,1.269941263259966e-08,3.0236697590169115e-09
1873,1.496501056408306e-08,2.9930022904522957e-09
1874,3.5847653734322193e-09,4.182226565063729e-09
1875,6.293679799540541e-09,6.865832347102696e-09
