year,certain_ADJ axe_NOUN
1911,3.830669470517023e-08
1912,8.335073964360618e-09
1913,4.295421618394357e-08
1914,1.6741859454327823e-08
1915,4.358881966481931e-08
1916,5.0542325880087446e-08
1917,1.0966424213165737e-08
1918,1.9526840588923733e-08
1919,6.4454939163738345e-09
1920,1.0601124422748853e-08
1921,2.196096815509918e-08
1922,6.640141769764796e-09
1923,4.246379248229459e-09
1924,1.804827398643738e-08
1925,7.698724324711748e-09
1926,1.2260752413340015e-08
1927,6.689535148041159e-09
1928,1.5996457491951332e-08
1929,7.798284684668033e-09
1930,1.995684684175103e-08
1931,7.983749661377715e-09
1932,1.0959536389520963e-08
1933,6.882397318719313e-09
1934,2.156684431042777e-08
1935,3.590485242455088e-09
1936,1.8187071404440758e-08
1937,7.554670666820584e-09
1938,1.0372171566075394e-08
1939,4.588215141154706e-09
1940,2.5357829613881222e-08
1941,2.9515025978810172e-09
1942,0.0
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,6.535512131478072e-09
1946,1.5313215584455975e-08
1947,7.152522574216391e-09
1948,1.3046265401328583e-08
1949,3.9268033269479474e-09
1950,2.0207187034770868e-08
1951,4.264560704569931e-09
1952,2.2144087452602434e-08
1953,1.508335856215126e-08
1954,2.14995790059902e-08
1955,1.5016972554349195e-08
1956,5.232684952005684e-09
1957,7.068030161150318e-09
1958,1.5717262158432277e-08
1959,9.300897829689347e-09
1960,6.920833239831836e-09
1961,1.181187059273725e-08
1962,8.244543714397423e-09
1963,1.0345685197421517e-08
1964,1.7035111099517053e-08
1965,9.302473458205895e-09
1966,9.416426749453422e-09
1967,9.367637332502454e-09
1968,7.635406973349745e-09
1969,1.1808570121729645e-08
1970,2.7592350626548523e-09
1971,5.138397263237948e-09
1972,3.5911027485013847e-09
1973,7.1671650836435674e-09
1974,1.1813700240281833e-08
1975,8.567219822452898e-09
1976,3.9994687561772935e-09
1977,5.876781727920388e-09
1978,8.316828115084718e-09
1979,4.681578680276743e-09
1980,6.253665585376211e-09
1981,4.427884725544118e-09
1982,6.828252629986764e-09
1983,2.5261264191556165e-09
1984,3.479405208395292e-09
1985,5.414002135495366e-09
1986,2.997242676272549e-09
1987,4.277571630240118e-09
1988,5.396898483667201e-09
1989,2.7440609784434855e-09
1990,2.724325431913144e-09
1991,6.4476117778156095e-09
1992,2.2039776670368383e-09
1993,7.754890063438324e-09
1994,8.967375286772494e-09
1995,5.4224509327127635e-09
1996,5.338092190498855e-10
1997,5.753873377756236e-09
1998,5.72175506974304e-09
1999,8.226361813967742e-09
2000,1.3254094488601709e-09
2001,4.381211837767296e-09
2002,3.504977197366088e-09
2003,5.8336921959778465e-09
2004,6.607186797680242e-09
2005,4.503749373441224e-09
2006,4.529678854225949e-09
2007,6.391167151065247e-09
2008,4.257439734089985e-09
2009,5.721831008997924e-09
2010,1.8895172093635892e-09
2011,4.206369030868018e-09
2012,7.829781267787439e-09
2013,2.2313000336282585e-09
2014,3.031623174720721e-09
2015,3.103205470367243e-09
2016,4.556948152156792e-09
2017,1.509366853724714e-09
2018,4.904786798931582e-09
2019,1.53059265262101e-09
