year,en_ADP arbres_NOUN,en_ADP marbres_NOUN
1800,5.093546633361257e-07,9.746909768182377e-08
1801,3.976574891595419e-07,6.667310969987739e-08
1802,4.498058672197658e-07,5.818384352096473e-08
1803,5.265915792307396e-07,1.4822578009443532e-07
1804,7.242523132333645e-07,6.426812149129546e-08
1805,7.30619550637357e-07,9.665784261869703e-08
1806,5.475171178659366e-07,1.9019016406218725e-07
1807,3.387876468252671e-07,1.3380689267705748e-07
1808,6.027756604964907e-07,3.5350754501450865e-07
1809,8.810219220833915e-07,2.643065784013743e-07
1810,5.663106854569833e-07,5.148278958699848e-08
1811,4.638092061526322e-07,3.760615285841595e-08
1812,3.1473055761566116e-07,1.4136203674297576e-07
1813,4.112310421078291e-07,8.627225156487839e-08
1814,2.0768068509369186e-07,1.0069366851439554e-07
1815,1.8610842289490392e-07,2.4814457333377504e-07
1816,4.681559993002793e-07,6.025770460382773e-08
1817,3.9544584107265024e-07,6.07180652423267e-08
1818,3.230639027407278e-07,3.612116756812611e-07
1819,3.540059196893708e-07,1.7079231895422708e-07
1820,2.491961010875343e-07,7.95054262425765e-08
1821,3.569858844088003e-07,2.031466550533878e-07
1822,2.2958660395033803e-07,1.223125138949399e-07
1823,3.449057843774028e-07,1.373693407913379e-07
1824,3.1747596285214286e-07,1.1200079796935825e-07
1825,4.975075285074126e-07,1.1182912373897125e-07
1826,2.6864353275257713e-07,9.688783109140786e-08
1827,3.8989065842542914e-07,8.479891278057039e-08
1828,3.412096085675387e-07,9.630916508740484e-08
1829,2.58909910400007e-07,1.79179380666028e-07
1830,3.350224311304828e-07,1.2941676175159955e-07
1831,4.614996953478112e-07,8.263339168479433e-08
1832,3.030713087159853e-07,1.0147476814381662e-07
1833,3.359252165324733e-07,1.4247862623051333e-07
1834,3.6498016364738817e-07,1.540197587246439e-07
1835,3.259690970480733e-07,1.1571524538567246e-07
1836,3.393978868504455e-07,6.653542783396915e-08
1837,3.374577151049607e-07,1.426367646217841e-07
1838,2.4049337188358777e-07,1.5212310700007947e-07
1839,2.391084592545667e-07,1.2025337525756186e-07
1840,2.1211063055970314e-07,9.427139247009109e-08
1841,3.2487976664441476e-07,2.49759324333354e-07
1842,1.5630258243248818e-07,8.720744659740376e-08
1843,2.374578198516275e-07,1.5889590088136174e-07
1844,2.2832415202955758e-07,9.440325499099345e-08
1845,2.527843374622307e-07,1.3336745041669928e-07
1846,2.716488509690862e-07,1.042101231973902e-07
1847,2.6642524364461906e-07,9.16848037491036e-08
1848,2.0273958512007084e-07,9.97607472186246e-08
1849,3.418801384214021e-07,1.5753299464904558e-07
1850,1.588625089254947e-07,1.2152302986123686e-07
1851,2.276651875909863e-07,1.754247307417245e-07
1852,2.070353417593651e-07,1.0416872697760482e-07
1853,2.2096147822558976e-07,1.2182741215838178e-07
1854,1.9691567842983204e-07,6.33871053423718e-08
1855,1.8733487650024472e-07,1.7300615695603483e-07
1856,1.6825864346259323e-07,6.989205303398194e-08
1857,1.5327938929221574e-07,9.47012779306533e-08
1858,1.7715106981341933e-07,1.189163256754e-07
1859,1.5836658606716014e-07,7.689181558134806e-08
1860,1.460121733520836e-07,1.1534503130405938e-07
1861,2.2683785516619537e-07,1.0045003051573076e-07
1862,2.2409211913876348e-07,1.2153383011082042e-07
1863,1.5633163741313183e-07,1.0838326858220171e-07
1864,2.1144750750323738e-07,9.54150891629979e-08
1865,1.845083015816762e-07,1.3132095944001776e-07
1866,1.6202490371597378e-07,1.3866997505829204e-07
1867,1.5771636618922003e-07,1.373345668298498e-07
1868,1.6449780559923965e-07,8.644779825317528e-08
1869,1.5529590358109857e-07,1.7092317250444466e-07
1870,1.9266403716855507e-07,1.3130971865393803e-07
1871,2.1667201766106814e-07,1.072738911034321e-07
1872,1.354603966774448e-07,9.675743228854117e-08
1873,1.556361155508057e-07,1.1133968058629762e-07
1874,1.786408136972284e-07,1.2307694419178006e-07
1875,1.5734199132477755e-07,1.0756470913975136e-07
1876,1.9165867115589208e-07,1.63242404482844e-07
1877,2.7151343262588057e-07,1.0452338727873212e-07
1878,2.4518701247089325e-07,1.352755845118736e-07
1879,2.1016078710633934e-07,9.530547373515219e-08
1880,1.8226683318189885e-07,1.533865230385345e-07
1881,1.9662471117953828e-07,1.3735839843320719e-07
1882,2.0232370445683046e-07,8.452339272935205e-08
1883,2.1232979463547963e-07,9.47900815617686e-08
1884,1.8286700687042412e-07,9.308392634466145e-08
1885,1.8176692151428142e-07,9.539540712921735e-08
1886,1.7230748028396192e-07,1.2584254704961495e-07
1887,1.7954542386178218e-07,7.377684596576728e-08
1888,1.3188478931169811e-07,1.0905857550369547e-07
1889,1.8294198866897204e-07,9.898916175643535e-08
1890,1.3108773089243186e-07,9.766036157543567e-08
1891,1.2111017611005082e-07,6.310477829174488e-08
1892,1.5357855054354275e-07,1.1283322010058328e-07
1893,2.389465691976511e-07,1.0654060389470033e-07
1894,1.9282710383983215e-07,1.0019447671538728e-07
1895,1.8356773523464653e-07,5.657497581523785e-08
1896,1.4978453538594394e-07,5.89702899844724e-08
1897,1.8878552054957254e-07,7.283392022827684e-08
1898,1.5899976801847515e-07,5.318853624203257e-08
1899,1.8959594605405528e-07,8.788849470420246e-08
1900,1.5157875121740716e-07,9.447716564636721e-08
1901,1.4642495937966515e-07,1.1345139938612192e-07
1902,1.4927262270703068e-07,6.972602761834423e-08
1903,1.5984651713374376e-07,8.208334634218772e-08
1904,1.5640158856911057e-07,6.987012568515638e-08
1905,1.7391758433404902e-07,1.0218303003739493e-07
1906,1.8313296834548964e-07,7.304741700409068e-08
1907,2.370850760158305e-07,9.977116377513084e-08
1908,1.905618915998275e-07,8.447589294746649e-08
1909,1.512770495537552e-07,5.555993354278144e-08
1910,1.3093169570765895e-07,7.268045010278001e-08
1911,2.2185960246723369e-07,9.470265638356068e-08
1912,1.3127741982366103e-07,7.657849465658728e-08
1913,1.3045354307905654e-07,4.825720623102825e-08
1914,1.8884816610498234e-07,8.10305991194582e-08
1915,1.2369800117539853e-07,2.1205371680821372e-08
1916,2.351316819027005e-07,6.043104150421641e-08
1917,1.2501723745117488e-07,7.018511638534619e-08
1918,1.1141784739265859e-07,7.695872028534723e-08
1919,1.4640478696037462e-07,4.788081042761405e-08
