year,son_DET annuel_ADJ,son_DET manuel_NOUN
1800,6.288328968651058e-09,1.1947824773983484e-07
1801,0.0,6.42919282256571e-08
1802,0.0,2.730164965214499e-07
1803,0.0,2.12586975578688e-07
1804,0.0,1.6561401738890424e-07
1805,0.0,2.2458734516561663e-07
1806,0.0,1.7866348400730203e-07
1807,0.0,2.419911879769643e-07
1808,2.2660739951163578e-09,2.4246992413878843e-07
1809,0.0,2.733426913703596e-07
1810,0.0,3.650597859561344e-07
1811,0.0,2.632430575744138e-07
1812,0.0,4.400893423017749e-07
1813,0.0,4.399884794281661e-07
1814,0.0,2.23414072575423e-07
1815,0.0,3.857029806653145e-07
1816,0.0,5.701305454408612e-07
1817,0.0,3.9855960309864713e-07
1818,0.0,2.7061072405132336e-07
1819,0.0,2.825836746822574e-07
1820,0.0,3.3819471578766525e-07
1821,0.0,3.017615322065126e-07
1822,0.0,3.418735161631048e-07
1823,1.9765373338032077e-08,3.745538414978711e-07
1824,0.0,4.49687420633893e-07
1825,0.0,4.7373283029727986e-07
1826,8.807984341885344e-10,5.44333420116061e-07
1827,0.0,4.995762028503492e-07
1828,0.0,4.5035999574061236e-07
1829,7.715858174606183e-09,3.9265147355749264e-07
1830,0.0,6.14729624981436e-07
1831,0.0,2.3698633611068942e-07
1832,2.705993873419743e-09,5.222568297824637e-07
1833,8.108539617524002e-09,4.2396080957018967e-07
1834,3.733812370398937e-09,4.471240151460165e-07
1835,5.294161553592858e-09,4.273144611488533e-07
1836,0.0,3.5418352117844165e-07
1837,6.957890930081589e-10,4.4321766212718217e-07
1838,2.5248647617104325e-09,3.9261646223032187e-07
1839,4.194885327990505e-09,4.229842360814473e-07
1840,3.1848443882154243e-09,4.516109139984792e-07
1841,0.0,5.836278527127092e-07
1842,6.708265054555795e-10,3.897501898997291e-07
1843,5.906911071384968e-10,4.944084511238067e-07
1844,1.097712254427563e-09,4.862865374821723e-07
1845,3.348136878855712e-09,4.6539101250520076e-07
1846,1.1709002656346001e-09,5.585194382540237e-07
1847,2.6966118227278457e-09,5.867827423955418e-07
1848,0.0,4.457052733553013e-07
1849,0.0,6.577840618859909e-07
1850,0.0,4.582572419309372e-07
1851,5.159551008659946e-09,4.837079052855131e-07
1852,6.510545436100301e-10,6.536587662253623e-07
1853,0.0,5.571812486948602e-07
1854,3.63696517347023e-09,4.816381000694037e-07
1855,5.306937111981824e-10,4.0863414696445943e-07
1856,4.659470143053568e-09,3.73793075603146e-07
1857,3.4170564155999728e-09,4.3543062133721833e-07
1858,2.4468380654951716e-09,5.020911533204497e-07
1859,3.055304009791371e-09,4.221411753491111e-07
1860,4.577183909670879e-10,4.961667365854794e-07
1861,9.431927461278633e-10,4.168911864610436e-07
1862,2.2589932147099034e-09,5.014964790106546e-07
1863,4.994620717013731e-09,5.069540218727298e-07
1864,2.3973640850272204e-09,4.7515753198723587e-07
1865,4.706844358715045e-10,4.179677857152342e-07
1866,1.9462451650298362e-09,4.885075247651471e-07
1867,4.85281148598915e-10,4.896486789363053e-07
1868,1.975949626142892e-09,5.127589250975007e-07
1869,2.441759683335931e-09,4.077738585683832e-07
1870,7.454262984651905e-09,5.997814822578107e-07
1871,0.0,3.9192144996036404e-07
1872,1.8142017887967654e-09,4.874155417056159e-07
1873,3.591602570907071e-09,4.87859375120081e-07
1874,0.0,5.329351355776168e-07
1875,2.8607636259891933e-09,4.1595501709679183e-07
1876,5.441413541973361e-09,4.1536120942708976e-07
1877,1.2369631985365004e-09,4.898374301731678e-07
1878,0.0,5.103030060737979e-07
1879,1.221865053580018e-09,5.553376594136239e-07
1880,3.2089231272180996e-09,6.398592624634603e-07
1881,2.091752326904839e-09,6.568102375315021e-07
1882,8.652000893505374e-09,6.156231213694241e-07
1883,2.5277355764075082e-09,6.053926622229255e-07
1884,6.601696966868076e-10,6.179188272170677e-07
1885,2.5782542767416317e-09,5.266084370791901e-07
1886,0.0,6.730962951451147e-07
1887,1.9586774424595887e-09,6.29388327233471e-07
1888,3.1703073499755874e-09,6.797138887293386e-07
1889,1.2530273485467092e-09,4.980783661068244e-07
1890,6.554386478008212e-10,6.003818113775594e-07
1891,2.5496880162734215e-09,4.7041742945452825e-07
