year,en_ADP as_NOUN,en_ADP masse_NOUN
1922,4.190667302061968e-07,6.8769736571994144e-06
1923,3.980980638473852e-07,5.631760359392501e-06
1924,4.486285209992502e-07,5.91983416597941e-06
1925,4.2233001984470775e-07,5.495789537235396e-06
1926,3.9791713002390594e-07,6.255213065742282e-06
1927,4.4708391400138936e-07,6.012776793795638e-06
1928,3.8734279761420964e-07,6.45914087726851e-06
1929,4.3670392324557383e-07,5.865424100193195e-06
1930,3.382160305154258e-07,6.387241228367202e-06
1931,3.3189588410920123e-07,5.845245141244959e-06
1932,3.704323338071802e-07,5.753756795456866e-06
1933,3.005313560233702e-07,5.777772457804531e-06
1934,3.2350267531455756e-07,5.972817689325893e-06
1935,4.057248297328897e-07,5.620306183118373e-06
1936,3.297922339662307e-07,6.148442935227649e-06
1937,3.9536109475157843e-07,6.036182185198413e-06
1938,3.721016561542001e-07,5.707287527911831e-06
1939,3.869394795685821e-07,5.094448169984389e-06
1940,2.865434600707317e-07,5.391074409999419e-06
1941,3.984528449407776e-07,5.475037141877692e-06
1942,5.643633826935002e-07,5.5131627050286625e-06
1943,5.458082172893342e-07,5.243242867436493e-06
1944,4.7555155546774586e-07,5.706618594558677e-06
1945,5.969101186664716e-07,5.868889729754301e-06
1946,5.33178296180381e-07,5.892803528695367e-06
1947,5.364392037243704e-07,5.57896782993339e-06
1948,5.131530942392715e-07,5.2565578698704485e-06
1949,4.476555710564156e-07,4.748486844619038e-06
1950,5.455940654819358e-07,4.927363079332281e-06
1951,4.2112536879912454e-07,5.279526249069022e-06
1952,3.9964806997083713e-07,4.700873432739172e-06
1953,4.6650671969850066e-07,4.887007889919914e-06
1954,4.944903166936854e-07,4.293075107852928e-06
1955,3.819942366867224e-07,4.367123437987175e-06
1956,4.6134837927702677e-07,4.5131905608286615e-06
1957,5.16849691933885e-07,4.284109763830202e-06
1958,4.988162860541934e-07,4.471974989428418e-06
1959,4.402424780280967e-07,4.310965778131504e-06
1960,5.003762590938265e-07,4.378811354399659e-06
1961,4.967934006394614e-07,4.470445674087387e-06
1962,5.098932955860391e-07,4.460932359506842e-06
1963,5.347425994228772e-07,4.387863555166405e-06
1964,4.404793096934867e-07,4.198546321276808e-06
1965,4.985031392124029e-07,4.223323230689857e-06
1966,4.913159239450238e-07,4.281704605091363e-06
1967,4.7380523993112433e-07,4.427441581356106e-06
1968,4.540821489928959e-07,4.744282705360092e-06
1969,4.446380916789394e-07,5.290239641908556e-06
1970,3.8583302530703634e-07,4.068951966473833e-06
1971,4.377914790687498e-07,4.275660558050731e-06
1972,3.457718964483547e-07,4.185174020676641e-06
1973,4.377483728834619e-07,4.50814695795998e-06
1974,3.5159821631935984e-07,3.865892722387798e-06
1975,3.7410196407350327e-07,3.5245543585915584e-06
1976,3.982328118379286e-07,3.7417887597257504e-06
1977,3.9668278306592697e-07,3.682391479742364e-06
1978,4.877225388000284e-07,3.5964339986094274e-06
1979,4.3889798639895616e-07,3.7657448501704494e-06
1980,4.178585761849263e-07,3.819852736342e-06
1981,4.0989559701998246e-07,3.5372472666495014e-06
1982,4.475609056697749e-07,3.8436855902546085e-06
1983,4.319676154551644e-07,3.641411240096204e-06
1984,4.4884324790217534e-07,3.6394576454767957e-06
1985,4.511668638684796e-07,3.90590184906614e-06
1986,4.6577151557869456e-07,3.6188707781548146e-06
1987,4.3203475463826635e-07,3.867536179313902e-06
1988,4.779253419684437e-07,4.148415882809786e-06
1989,4.4289146305942495e-07,4.472270575206494e-06
1990,4.544174814213875e-07,4.015110789623577e-06
1991,3.974073312651427e-07,3.3662395253486466e-06
1992,4.3142863326295355e-07,3.491651568765519e-06
1993,3.894062734488557e-07,3.527921307977522e-06
1994,4.293790212273052e-07,3.4777590371959377e-06
1995,4.370495325645152e-07,3.4768754630931653e-06
1996,4.099654749012416e-07,3.4041013350361027e-06
1997,4.809279241513309e-07,3.4825318380171666e-06
1998,4.4105196650434664e-07,3.6104274840909056e-06
