year,un_DET argot_NOUN
1800,2.5153315874604232e-08
1801,5.2386017301842e-08
1802,8.951360541686881e-09
1803,5.070882025393075e-08
1804,1.2359254952798437e-08
1805,0.0
1806,2.881669125542885e-08
1807,3.131650672116848e-08
1808,2.2660739951163578e-09
1809,1.8072244145628247e-08
1810,4.446240886579744e-08
1811,4.763445815569867e-08
1812,1.600324850414836e-08
1813,8.627225156487839e-09
1814,0.0
1815,3.506390555685357e-08
1816,6.257530316133852e-08
1817,1.5568733857662664e-08
1818,1.1921176934492905e-08
1819,1.8631890696951814e-08
1820,3.0852851828910843e-08
1821,2.2681422962023134e-08
1822,8.02049271442229e-09
1823,1.7788837070042973e-08
1824,5.894778887238772e-09
1825,2.289415235168235e-08
1826,1.4092774947016551e-08
1827,2.7651818612639545e-08
1828,2.0179061976932644e-08
1829,7.715858174606183e-09
1830,1.7742621594152297e-08
1831,3.274153215215847e-08
1832,6.629684889958298e-08
1833,4.054269808762001e-08
1834,1.1201436933561126e-07
1835,1.3613558280667348e-08
1836,4.301280043250699e-08
1837,3.896418832027848e-08
1838,2.9035945203759184e-08
1839,1.6080392128969834e-08
1840,7.0066574764382494e-09
1841,4.365973182984817e-08
1842,3.3541326160957396e-08
1843,3.9576303123567413e-08
1844,2.360081374774836e-08
1845,3.9619617142605534e-08
1846,1.9319854160926297e-08
1847,1.5101026207275936e-08
1848,3.539897619475596e-08
1849,3.1841775438579134e-08
1850,2.1045888587423178e-08
1851,4.5791015423901626e-08
1852,1.7578472011337e-08
1853,4.2997910787434535e-08
1854,5.923057599943604e-08
1855,3.502578493908004e-08
1856,1.0509693915139451e-07
1857,6.199516633387248e-08
1858,5.529853908115001e-08
1859,6.619825398956891e-08
1860,3.478659946209994e-08
1861,3.678451676591976e-08
1862,6.776979688538631e-08
1863,4.7948361725502764e-08
1864,3.16452037907311e-08
1865,2.4946274379544775e-08
1866,2.8220554781910323e-08
1867,4.0278337110066786e-08
1868,4.297690381349639e-08
1869,2.6859355628516823e-08
1870,1.0894693147633916e-08
1871,7.434824311758348e-09
1872,3.8702971494330995e-08
1873,3.71132280463371e-08
1874,2.2106054209380943e-08
1875,2.2313955128083762e-08
1876,3.385768176933368e-08
1877,3.3398006138440905e-08
1878,2.113680963589104e-08
1879,3.665595116331133e-08
1880,3.2089232604448625e-08
1881,6.48443219120054e-08
1882,3.8601232432711186e-08
1883,3.665216602444232e-08
1884,5.215340515007938e-08
1885,2.9649924293551067e-08
1886,3.291266548188787e-08
1887,3.721487118468758e-08
1888,6.023583920544695e-08
1889,4.009687487593894e-08
1890,3.9326319978272295e-08
1891,3.378336543846672e-08
1892,4.2625885043889866e-08
1893,4.3724757148311255e-08
1894,4.222031435574536e-08
1895,3.370423939941247e-08
1896,3.066455178668548e-08
1897,2.9133568446582103e-08
1898,3.508180057565369e-08
1899,2.819064981451902e-08
1900,3.6856476981483866e-08
1901,4.694540578498163e-08
1902,5.4013121975060585e-08
1903,3.672149651023915e-08
1904,3.3860139581065596e-08
1905,6.657379003627284e-08
1906,2.1091157265118454e-08
1907,5.502842270743713e-08
1908,5.107844458507316e-08
1909,1.1552065232178776e-07
1910,3.954671567996115e-08
1911,1.713160489025256e-07
1912,2.6672237041225344e-07
1913,7.795394685317092e-08
1914,6.29493897008615e-08
1915,4.358881966481931e-08
1916,2.966614687238689e-08
1917,1.513366605365718e-07
1918,9.878283435682533e-08
1919,5.800944435918609e-08
1920,1.1509791919550594e-07
1921,7.799930190621751e-08
1922,4.131644004701229e-08
1923,6.263409613183057e-08
1924,5.285566118118368e-08
1925,4.7292164850887275e-08
1926,3.901148559748435e-08
1927,5.5746123384103896e-08
1928,5.713020456710183e-08
1929,7.686880376667204e-08
1930,5.2518016602220996e-08
1931,4.44808918587114e-08
1932,5.370172972973819e-08
1933,2.982372149240575e-08
1934,4.4331848414458364e-08
1935,3.949533766700597e-08
1936,4.364897199238271e-08
1937,5.036447325856841e-08
1938,5.575042061334301e-08
1939,3.976453033516236e-08
1940,1.7750480196809804e-08
1941,7.969057236323351e-08
1942,3.9444752131245764e-08
1943,5.2258235072599746e-08
1944,6.7476911169706e-08
1945,5.8819610515570275e-08
1946,1.0997672550416837e-07
1947,6.67568780254868e-08
1948,8.15391567599022e-08
1949,5.693864890687905e-08
1950,6.381216777207044e-08
1951,6.823297127311889e-08
1952,8.64673932454707e-08
1953,7.757155728871368e-08
1954,7.329402107458804e-08
1955,1.0793449067847405e-07
1956,7.238547627963499e-08
1957,4.8592706747285774e-08
1958,4.632456179765043e-08
1959,3.5653439312000046e-08
1960,6.851625095061209e-08
1961,4.5857850128339095e-08
1962,5.834600003140622e-08
1963,4.720218960141409e-08
1964,6.205647540280523e-08
1965,6.949495290342611e-08
1966,1.1521275489201344e-07
1967,6.655953377343593e-08
1968,6.602380947517972e-08
1969,5.0413512420188766e-08
1970,6.070316943551646e-08
1971,4.8300936583700604e-08
1972,5.489257115520729e-08
1973,4.5759591671412636e-08
1974,5.6255715863429145e-08
1975,4.6262989439327384e-08
1976,8.855966759924172e-08
1977,4.8777289429757786e-08
1978,4.81187889533885e-08
1979,8.017203767529679e-08
1980,3.922753866181239e-08
1981,7.021360337589044e-08
1982,4.7797769187063466e-08
1983,6.757387893685518e-08
1984,5.219107634957254e-08
1985,8.66240359442827e-08
1986,7.193382267622894e-08
1987,7.63852071594684e-08
1988,6.776105720973646e-08
1989,6.640627825404977e-08
1990,7.682598179847844e-08
1991,1.0140335060526695e-07
1992,7.162927317949652e-08
1993,7.256361911345266e-08
1994,6.857404577509385e-08
1995,5.8562467319944744e-08
1996,8.167280762805262e-08
1997,6.56900565054741e-08
1998,6.818424869159401e-08
1999,7.495130138757133e-08
2000,6.273604880036032e-08
2001,7.491871811815543e-08
2002,6.615644715379787e-08
2003,5.0419767028131446e-08
2004,6.430994903272591e-08
2005,6.44036214358934e-08
2006,6.465087265539182e-08
2007,8.628075476302399e-08
2008,7.407945168402819e-08
2009,6.055604395704961e-08
2010,1.0108917419815455e-07
2011,4.7034856676120285e-08
2012,6.263825153007829e-08
2013,5.6898149636275264e-08
2014,7.557403725044765e-08
2015,5.452775420078382e-08
2016,5.799752200719155e-08
2017,5.911686606907551e-08
2018,5.317821499817299e-08
2019,5.2550347795499164e-08
