year,son_DET autel_NOUN,son_DET motel_NOUN
1800,5.25075444901546e-07,0.0
1801,5.095730810644739e-07,0.0
1802,3.7819498288627074e-07,0.0
1803,3.471603713389726e-07,0.0
1804,6.327938493200236e-07,0.0
1805,5.4298965657118e-07,0.0
1806,3.371552983466586e-07,0.0
1807,3.957267722398683e-07,0.0
1808,6.798222091930484e-07,0.0
1809,5.173179706829956e-07,0.0
1810,6.27153969645633e-07,0.0
1811,3.0586335952875743e-07,0.0
1812,4.6942866305244024e-07,0.0
1813,4.860003504081334e-07,0.0
1814,4.436814755592877e-07,0.0
1815,5.097752637794883e-07,0.0
1816,4.4961515222041726e-07,0.0
1817,3.7053587720325964e-07,0.0
1818,3.755170820962661e-07,0.0
1819,4.678674478952871e-07,0.0
1820,3.690475551820782e-07,0.0
1821,4.46725414215976e-07,0.0
1822,4.691988095828492e-07,1.0025615893027862e-09
1823,4.259437951237288e-07,0.0
1824,4.50529515916287e-07,0.0
1825,5.265654858810365e-07,0.0
1826,4.721079580605192e-07,0.0
1827,3.576301816354821e-07,0.0
1828,4.109190943069052e-07,0.0
1829,3.394977584614267e-07,0.0
1830,3.809445205948947e-07,0.0
1831,3.710707092707821e-07,0.0
1832,4.816668890406106e-07,0.0
1833,5.409554741930833e-07,0.0
1834,5.544711199068075e-07,0.0
1835,5.233656850123225e-07,0.0
1836,6.129324340298226e-07,0.0
1837,4.049492509095032e-07,1.3915781860163179e-09
1838,4.645751217058347e-07,0.0
1839,3.621584232504915e-07,0.0
1840,4.07023098336623e-07,0.0
1841,4.500804449136808e-07,0.0
1842,4.447579753374953e-07,0.0
1843,4.6192045721760167e-07,0.0
1844,5.219622015162351e-07,0.0
1845,4.826897067045088e-07,0.0
1846,4.5021114303267495e-07,0.0
1847,3.316832444255624e-07,5.393223645455691e-10
1848,4.111108271587227e-07,0.0
1849,4.36567521466813e-07,0.0
1850,5.390462805010543e-07,0.0
1851,4.54685425754775e-07,0.0
1852,4.4206604910002056e-07,0.0
1853,4.687966468353011e-07,0.0
1854,5.4762305889966e-07,0.0
1855,5.869472587960445e-07,0.0
1856,6.440423589992861e-07,0.0
1857,6.165346235764702e-07,0.0
1858,4.781121334396232e-07,0.0
1859,5.143095107573714e-07,0.0
1860,5.5292384101846e-07,4.577183909670879e-10
1861,5.527109563918664e-07,0.0
1862,6.347770701298217e-07,0.0
1863,6.47802321562807e-07,0.0
1864,6.166020121156635e-07,0.0
1865,5.544662495804431e-07,0.0
1866,6.111209969184017e-07,0.0
1867,5.124568982495248e-07,0.0
1868,4.49034564198314e-07,0.0
1869,4.556323487392433e-07,0.0
1870,4.3349408640480647e-07,0.0
1871,4.3759250600849953e-07,0.0
1872,4.299658227235881e-07,0.0
1873,3.789140720078521e-07,0.0
1874,3.560867016805247e-07,0.0
1875,4.846133485614246e-07,0.0
1876,3.77875919665982e-07,0.0
1877,3.865509921041621e-07,0.0
1878,3.937485952842934e-07,6.039088673581716e-10
1879,3.280707563391161e-07,0.0
1880,4.242196300907608e-07,0.0
1881,4.176531884780843e-07,0.0
1882,3.96660945867211e-07,0.0
1883,4.16444440987096e-07,6.319338941018771e-10
1884,4.330713361255789e-07,0.0
1885,3.519317042233183e-07,0.0
1886,4.291553405977311e-07,6.453463874400711e-10
1887,4.0414043556147305e-07,0.0
1888,3.544403641697613e-07,0.0
1889,3.4771507984032723e-07,0.0
1890,3.32307380723762e-07,0.0
1891,3.480324085591846e-07,0.0
1892,3.8237926025530555e-07,0.0
1893,3.263960777211139e-07,1.2316833108982905e-09
1894,2.905009628406674e-07,0.0
1895,3.105604973185905e-07,0.0
1896,2.901338393423991e-07,0.0
1897,2.8026493203991976e-07,0.0
1898,2.902736033760789e-07,0.0
1899,3.067805920409228e-07,0.0
1900,3.088676668872026e-07,0.0
1901,3.392364558152394e-07,0.0
1902,3.005093753838395e-07,0.0
1903,2.656908488773979e-07,0.0
1904,2.972167747472554e-07,0.0
1905,2.8642213367735536e-07,5.160759042333041e-10
1906,2.942473524836231e-07,0.0
1907,3.1679915646343204e-07,5.142843373384665e-10
1908,3.0499726744182e-07,0.0
1909,2.766994602332318e-07,0.0
1910,2.998068399095999e-07,0.0
