year,en_ADP arc_NOUN,en_ADP marques_NOUN
1800,1.3991532341606217e-06,2.5153315874604232e-08
1801,8.738940096009173e-07,0.0
1802,1.3359905324250576e-06,2.4616241489638924e-08
1803,1.92108404917235e-06,9.751696339321825e-09
1804,1.16177000109019e-06,4.943701892301533e-09
1805,1.9274709757155506e-06,3.4114531644036106e-08
1806,1.3976094805911998e-06,0.0
1807,9.480360745328653e-07,2.8469550272802735e-08
1808,9.245582077710424e-07,9.064295980465431e-09
1809,1.3328279919733177e-06,1.3554183553310395e-08
1810,2.6654042812879197e-06,4.680253518074551e-09
1811,1.9379704099264927e-06,2.5070767684098882e-09
1812,1.0722177421484957e-06,0.0
1813,9.432432648281974e-07,2.8757416004054903e-08
1814,1.3750978951065917e-06,2.5173417128598885e-08
1815,4.612252268998418e-07,8.091670666843243e-09
1816,1.5296185438273824e-06,2.3176038865813098e-09
1817,1.591124600963667e-06,4.670620334934483e-09
1818,8.154085548994772e-07,9.536941902865692e-09
1819,8.767339636506222e-07,9.315945348475907e-09
1820,7.606414555993979e-07,4.746592452420373e-09
1821,5.19700449785887e-07,9.861488514673056e-09
1822,7.138238515835837e-07,1.4035862250239006e-08
1823,6.176679221425729e-07,8.894418535021487e-09
1824,6.80425898735848e-07,1.1789557774477544e-08
1825,1.376290697407967e-06,2.641632912414593e-09
1826,8.305929100060894e-07,4.403992281964975e-09
1827,8.949971856964112e-07,2.7651818612639545e-09
1828,1.3143907153789769e-06,1.559291185060374e-08
1829,2.284751417391817e-06,1.3717081692732336e-08
1830,1.2837308531743474e-06,7.305785310052215e-09
1831,1.6308401882270118e-06,1.870944643656003e-08
1832,1.6682452042005025e-06,2.705993829010822e-08
1833,1.1884802688655327e-06,1.7375443306377747e-08
1834,1.2050879831804195e-06,2.8003592777992026e-09
1835,9.642936902309884e-07,2.117664621437143e-08
1836,7.117274094525783e-07,8.736974699274924e-09
1837,8.72519535732863e-07,2.2961039292113128e-08
1838,7.833393169676128e-07,3.787297142565649e-09
1839,1.3150964832675527e-06,1.2584655095793096e-08
1840,9.802951126403059e-07,7.64362617644565e-09
1841,8.76404897098837e-07,4.494383976094696e-09
1842,1.0022148444477352e-06,2.0124795163667386e-09
1843,8.169258194357099e-07,7.678984559333912e-09
1844,1.1169222489115782e-06,3.2931368743049916e-09
1845,1.0167175332753686e-06,5.580227835366713e-09
1846,1.256375981029123e-06,9.952652035849496e-09
1847,9.227805435330083e-07,7.011190739092399e-09
1848,1.247813884219795e-06,1.609044275596716e-08
1849,8.371035278287309e-07,9.217356655710773e-09
1850,2.290607199029182e-06,2.851378244628222e-08
1851,1.2640899740290479e-06,1.4188765717904062e-08
1852,1.2942964531248435e-06,5.859490670445666e-09
1853,1.756345113790303e-06,1.1346670270029335e-08
1854,1.1669462764984928e-06,1.7145692865483397e-08
1855,1.162219177786028e-06,1.6451505047143655e-08
1856,1.0509694448046503e-06,1.6567005267642543e-08
1857,1.2413677268341416e-06,1.8061584228235006e-08
1858,8.975001719591091e-07,1.2234189661342043e-08
1859,1.358591816824628e-06,1.8841041837802663e-08
1860,1.0078958894155221e-06,1.0069804545764782e-08
1861,7.30031160856015e-07,3.7727710400226044e-09
1862,1.0432030421725358e-06,1.7168348520613108e-08
1863,1.5333486089730286e-06,6.493007298491449e-09
1864,1.4566383015335305e-06,1.0548401263577034e-08
1865,9.145398394139193e-07,1.1296426905005319e-08
1866,1.4553048686138936e-06,1.9462451206209153e-08
1867,1.3854777307642507e-06,1.5043715606566366e-08
1868,1.1169055369464331e-06,1.2349684830326169e-08
1869,1.3532231832869002e-06,3.4184632902167778e-09
