year,prochain_ADJ marché_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,0.0
1803,1.950339223455444e-09
1804,1.730295728918918e-08
1805,2.842877711017877e-09
1806,6.91600572366724e-08
1807,1.3095993711687015e-07
1808,8.611080914988634e-08
1809,2.4849335034105025e-08
1810,3.7442028144596406e-08
1811,1.7549536934780008e-08
1812,6.934741492159446e-08
1813,6.901780125190271e-08
1814,3.1466771410748606e-09
1815,1.0788894222457657e-08
1816,1.3905623319487859e-08
1817,4.670620334934483e-09
1818,2.1458118837358597e-08
1819,2.173720581311045e-08
1820,8.306536791735653e-09
1821,1.6764530097468366e-08
1822,1.7043547018147365e-08
1823,2.9648061783404955e-09
1824,1.0105335235266466e-08
1825,2.0252519661312363e-08
1826,1.4973572604048968e-08
1827,1.0046827725318508e-07
1828,3.210305266065916e-08
1829,4.6295149047637096e-08
1830,2.922314124020886e-08
1831,7.795603274018958e-09
1832,2.1647950987357945e-08
1833,4.170106393530659e-08
1834,2.0535967593104942e-08
1835,1.1344631900556124e-08
1836,1.2769425516978572e-08
1837,1.6698937344017395e-08
1838,9.468243078458727e-09
1839,1.0487212875887053e-08
1840,1.52872523528913e-08
1841,1.6051371787284552e-08
1842,1.0062397137744483e-08
1843,1.594865928211675e-08
1844,2.9089374464774664e-08
1845,7.254296274794569e-09
1846,2.4588905134237393e-08
1847,2.4269505516372192e-08
1848,2.252662056889676e-08
1849,8.379414495607307e-09
1850,1.3577992064028876e-09
1851,1.9348316726564008e-08
1852,1.1718981340891332e-08
1853,9.555090940693844e-09
1854,1.0391328686409906e-08
1855,9.552486801567284e-09
1856,8.28350277259915e-09
1857,2.9289054737091647e-08
1858,4.159624467092726e-08
1859,3.055303920973529e-08
1860,1.0527522853465143e-08
1861,1.4619487842537637e-08
1862,1.490935552794781e-08
1863,6.493007020935693e-09
1864,2.2535221688713136e-08
1865,1.6003271596787272e-08
1866,7.784980660119345e-09
1867,1.5043715606566366e-08
1868,1.1361710683388537e-08
1869,7.813630631403612e-09
1870,4.587239033071455e-09
1871,1.4869648623516696e-08
1872,8.4662747923403e-09
1873,1.616221290134945e-08
1874,9.559374625212058e-09
1875,1.830888685105947e-08
1876,1.3905833817773328e-08
1877,1.7317484335421796e-08
1878,2.5968081018845623e-08
1879,3.726688291294522e-08
1880,1.8611753915820373e-08
1881,2.3009274485730202e-08
1882,1.2645231528551903e-08
1883,1.579834751908038e-08
1884,1.8484751507230612e-08
1885,2.0626034213933053e-08
1886,1.4197620856748472e-08
1887,7.1818169189441505e-09
1888,1.775372027168487e-08
1889,2.380751951136517e-08
1890,1.1142456735058204e-08
1891,2.358461337337303e-08
1892,2.5074049503359674e-08
1893,1.1700991287000306e-08
1894,1.5123694296903523e-08
1895,2.2870734639468537e-08
1896,5.897029087265082e-09
1897,1.3401440845939305e-08
1898,2.1501747937691107e-08
1899,1.9899282222013426e-08
1900,1.972600216504361e-08
1901,8.38310842965484e-09
1902,1.8659077838378835e-08
1903,2.6461078661554893e-08
1904,2.3110889202371254e-08
1905,1.186974607492175e-08
1906,2.572092228092515e-08
1907,7.71426478252124e-09
1908,1.2278472460991452e-08
1909,8.801573692096554e-09
1910,8.01622590529405e-09
1911,3.2454281040372734e-08
1912,5.46989227245831e-08
1913,1.484837142129436e-08
1914,1.5402511266415786e-08
1915,1.1780761699498044e-08
1916,7.69122365795738e-09
1917,4.386569774084137e-09
1918,8.040463406189247e-09
1919,3.222746869369075e-08
1920,6.057785384427916e-09
1921,5.6038331308627676e-08
1922,8.115729421831475e-09
1923,6.369568872344189e-09
1924,2.0626599095407983e-08
1925,1.2097995494286806e-08
1926,1.3375366592072169e-08
1927,1.4493992672726108e-08
1928,3.4278122562625413e-09
1929,1.0026365515614089e-08
1930,8.402882833991043e-09
1931,5.7026783295555106e-09
1932,7.6716757391182e-09
1933,6.882397318719313e-09
1934,8.38710612072191e-09
1935,1.3165112555668657e-08
1936,1.2124714565686645e-08
1937,1.510934133364117e-08
1938,6.482607339819424e-09
1939,7.647025235257843e-09
1940,1.0143131667916805e-08
1941,5.9030051957620344e-09
1942,1.517105907566929e-08
1943,4.645176332473966e-08
1944,6.4263723231761105e-09
1945,8.714016175304096e-09
1946,8.352662561605939e-09
1947,7.152522574216391e-09
1948,2.174377566888097e-09
1949,9.817008539414473e-09
1950,4.2541445921528975e-09
1951,1.4925962688039363e-08
1952,2.1089607837865287e-09
1953,8.619061908632375e-09
1954,3.9090144454689835e-09
1955,1.783265446420046e-08
1956,1.657016923672927e-08
1957,8.8350378124602e-09
1958,4.136121778408608e-09
1959,1.3176271629333769e-08
1960,1.245750003153745e-08
1961,2.987708569435199e-08
1962,1.7123282347597524e-08
1963,1.2285501393982656e-08
1964,1.0951143103454797e-08
1965,2.0246559984116175e-08
1966,1.38476865529924e-08
1967,1.0846738118797106e-08
1968,9.881114537702018e-09
1969,1.0446042669753908e-08
1970,1.103694025061941e-08
1971,1.0276794526475896e-08
1972,9.747278872929144e-09
1973,9.923766697284009e-09
1974,7.875800456247362e-09
1975,1.028066431985053e-08
1976,7.998937512354587e-09
1977,5.289103821581875e-09
1978,4.752473081737207e-09
1979,3.5111840102075575e-09
1980,8.527726080842513e-09
1981,5.69299452024552e-09
