year,en_ADP as_NOUN,en_ADP masses_NOUN
1800,3.4585810571030606e-07,2.719702273168423e-06
1801,4.2861285987072506e-07,5.160022510608542e-06
1802,3.3343818017783633e-07,1.832791070910389e-06
1803,3.003522337508002e-07,3.7719560666005236e-06
1804,2.4718509372689823e-07,1.2606440300544364e-06
1805,2.7860201168294907e-07,1.117250988613705e-06
1806,2.651135728726217e-07,1.63966973332208e-06
1807,2.5622595423158145e-07,4.953701978394065e-06
1808,2.8099317894714204e-07,2.54026903689919e-06
1809,2.1460790433636134e-07,2.929962501951877e-06
1810,2.808152181899004e-07,1.2730289054019295e-06
1811,2.557218179433107e-07,1.5017390069260728e-06
1812,1.9737341272474396e-07,2.2991335022481962e-06
1813,2.50189524653166e-07,2.7147000025706802e-06
1814,4.0277466961669006e-07,2.4921682779677212e-06
1815,2.022917642285904e-07,1.372886799799744e-06
1816,2.757948678322464e-07,2.6351155746340282e-06
1817,3.720927379546879e-07,3.037460022170535e-06
1818,1.4305412698867315e-07,2.474836442445394e-06
1819,2.918996142575736e-07,2.4428477622961964e-06
1820,4.378731439658168e-07,1.4144845943420137e-06
1821,4.339054879842763e-07,1.7297050938225311e-06
1822,3.8297854132451903e-07,2.467304113906721e-06
1823,3.281052071146817e-07,1.8688160743352e-06
1824,3.680026168240147e-07,1.8838029234302667e-06
1825,2.8969908849596493e-07,1.2406869132064458e-06
1826,2.8449789102324985e-07,2.135936284730633e-06
1827,2.6084881338261923e-07,2.558714982114907e-06
1828,2.2563861046265288e-07,1.9518657126127437e-06
1829,2.777708928980438e-07,2.5676663142348843e-06
1830,3.214545323260154e-07,2.2491382338785115e-06
1831,2.2451337056139664e-07,2.700396920296555e-06
1832,3.2877825006938366e-07,1.7656610111771442e-06
1833,2.9422415903646026e-07,2.1105371015295304e-06
1834,3.407103701391634e-07,1.908911542614078e-06
1835,4.3790279136146637e-07,2.9753187220649124e-06
1836,3.3536543780909867e-07,1.686908210229987e-06
1837,3.7920506068545023e-07,2.276621984265148e-06
1838,2.7521026901844436e-07,1.918897226005356e-06
1839,2.5868458308764275e-07,2.156170898715004e-06
1840,3.4014138294846674e-07,1.3739419006952858e-06
