year,en_ADP or_NOUN,en_ADP mort_NOUN
1800,6.980045327509288e-06,6.288328657788611e-08
1801,6.350614057737403e-06,3.5717737434382e-08
1802,7.655650733795483e-06,2.6854081625060644e-08
1803,5.9017265812144615e-06,8.38645872747179e-08
1804,7.0299442995747086e-06,9.887403451536159e-08
1805,6.606847819057293e-06,3.4114532976303735e-08
1806,6.8151475716149434e-06,2.651135551090533e-07
1807,6.0241568462515716e-06,8.256170147546982e-08
1808,6.4809714785951655e-06,1.2690014372651603e-07
1809,7.76654724177206e-06,9.71383111725288e-08
1810,5.911160315008601e-06,1.4742799159250808e-07
1811,9.31880458665546e-06,7.270522583979755e-08
1812,6.8013810050615575e-06,6.934741403341604e-08
1813,6.634335932176327e-06,9.777521836618064e-08
1814,5.903166311327368e-06,7.552025405033191e-08
1815,1.0122679668711498e-05,5.664169444585809e-08
1816,5.3258536354405805e-06,5.5622493277951435e-08
1817,5.930131010245532e-06,9.496927744212513e-08
1818,5.1046481530647725e-06,9.894577313040998e-08
1819,7.2146817728935275e-06,7.452755967918279e-08
1820,6.727108029735973e-06,7.713212824000948e-08
1821,6.427718290069606e-06,9.960103475314952e-08
1822,8.022498150239699e-06,7.819980396561732e-08
1823,6.740980552422116e-06,8.597937561916069e-08
1824,6.967628451093333e-06,6.315834522041541e-08
1825,7.2732959779386874e-06,6.516027850622663e-08
1826,8.379035534744617e-06,7.046387451303815e-08
1827,7.899203410488553e-06,1.1429418833586169e-07
1828,6.4774790189403575e-06,3.668920572907908e-08
1829,6.618492079724092e-06,6.772809202360008e-08
1830,8.751287168706767e-06,7.827627013234917e-08
1831,6.476586804637918e-06,4.833273958837481e-08
1832,7.179001840995625e-06,3.7883913894809496e-08
1833,7.363712484220741e-06,5.791814294830999e-08
1834,6.873015081509948e-06,4.573920220352079e-08
1835,7.255270247696899e-06,5.8235777089521434e-08
1836,6.864574061182793e-06,4.771732481367863e-08
1837,7.021207693469478e-06,9.393152611281153e-08
1838,7.056365575408563e-06,5.0497294123985625e-08
1839,7.455709237547126e-06,3.2859933440931854e-08
1840,7.969754733494483e-06,4.3313883479889626e-08
1841,7.788125003571622e-06,5.5216717864681186e-08
1842,7.114786058082245e-06,2.4149754640490073e-08
1843,7.359420578723075e-06,5.3162198865308596e-08
1844,6.799778475397034e-06,2.305195712093422e-08
1845,7.008766260696575e-06,2.0646842902038998e-08
1846,7.009009095781948e-06,2.693070544346199e-08
1847,8.276440894405823e-06,3.3977308078192436e-08
1848,6.6855791374109685e-06,3.1376364839630355e-08
1849,5.945194970990997e-06,3.603148446273963e-08
1850,7.818886842869688e-06,3.733947817607941e-08
1851,7.19241415936267e-06,3.611685683857502e-08
1852,8.220215022447519e-06,3.059956421580523e-08
1853,8.5852489064564e-06,4.777545625778146e-08
1854,7.341993295995053e-06,4.052618401972907e-08
1855,7.917419679870363e-06,4.4578271740647324e-08
1856,8.091428753687069e-06,3.416944838185998e-08
1857,8.515304216416553e-06,4.442173395791116e-08
1858,8.358888408110943e-06,5.5787908070925596e-08
1859,7.205934707599226e-06,3.920973590254562e-08
