year,en_ADP air_NOUN,en_ADP mères_NOUN
1800,9.023752340908686e-07,2.515331631869344e-08
1801,4.4528114284680953e-07,0.0
1802,2.506380951672327e-07,4.475680270843441e-09
1803,4.5442902552039754e-07,4.095712213825209e-08
1804,3.8808059343864443e-07,7.4155526164076946e-09
1805,2.7575912708854844e-07,0.0
1806,3.7749865100522584e-07,0.0
1807,2.0498076924724273e-07,2.8469551160981155e-09
1808,2.062127402169267e-07,0.0
1809,2.4397530085096264e-07,2.259030518203531e-09
1810,1.7550951270095538e-07,1.4040760554223652e-08
1811,2.0808736911348547e-07,0.0
1812,1.3869483117545656e-07,0.0
1813,2.0992913585260453e-07,0.0
1814,1.3530711839848664e-07,0.0
1815,2.8320846801044297e-07,0.0
1816,1.7150268938337376e-07,0.0
1817,1.3077736582545185e-07,4.670620334934483e-09
1818,2.2888661255215936e-07,1.7881765401739358e-08
1819,1.3870406800897683e-07,1.035105001712111e-09
1820,1.8511710120350244e-07,0.0
1821,8.776724769177235e-08,0.0
1822,1.0426640528748976e-07,3.0076847679083585e-09
1823,9.586206450862278e-08,1.9765373782121287e-09
1824,1.4905369027928828e-07,1.6842225392110777e-09
1825,1.1270966804310945e-07,1.7610886082763955e-09
1826,9.776862741617265e-08,7.927186018719112e-09
1827,1.6222400611720644e-07,1.2904182611350734e-08
1828,1.4033620721054518e-07,2.7516904310687096e-09
1829,1.3717081515096652e-07,3.429270423183084e-09
1830,1.8786305133744463e-07,2.0873671680021744e-09
1831,1.7306238930814288e-07,0.0
1832,1.1094574858816486e-07,0.0
1833,1.4247862734073635e-07,4.6334514003376626e-09
1834,1.474855890748472e-07,1.8669061851994684e-09
1835,1.1722786297241328e-07,6.806779140333674e-09
1836,1.9624590608113834e-07,6.048674894287842e-09
1837,9.253994626146067e-08,6.957890930081589e-10
1838,1.7484688585867048e-07,3.1560809521380406e-09
1839,1.3143973565110656e-07,2.7965900706306e-09
1840,1.1720227499623093e-07,9.554533164646273e-09
1841,1.4703056194775854e-07,1.926164561183441e-09
1842,1.1739464067517247e-07,2.683306021822318e-09
1843,1.9729083622355148e-07,4.7255288571079745e-09
1844,1.5203314940315238e-07,9.879410234336916e-09
1845,1.9419193170167048e-07,4.464182357111213e-09
1846,1.0362467706137579e-07,4.0981511517657054e-09
1847,9.977463566457345e-08,1.6179670936367074e-09
1848,7.562508130831702e-08,1.6090443422100975e-09
1849,4.776266493422554e-08,1.6758829879393033e-09
1850,1.0726613819400654e-07,2.0366988096043315e-09
1851,9.28719168236114e-08,6.449438760824933e-10
1852,1.295598495154593e-07,1.3021090872200602e-09
1853,1.8632426690423642e-07,2.9859659189668264e-09
1854,1.5327209934579145e-07,8.832629738719788e-09
1855,1.645150575768639e-07,4.776243400783642e-09
1856,1.0457922500206607e-07,1.1907535402144731e-08
1857,1.649950125415245e-07,5.369659827891837e-09
1858,1.1793758891709416e-07,6.361778881469604e-09
1859,9.522363986214089e-08,8.656694916453489e-09
1860,2.2016254042078742e-07,4.57718396518203e-09
1861,1.787350306092783e-07,3.7727710400226044e-09
1862,2.466820419877447e-07,2.2589932147099034e-09
1863,1.4883970733681195e-07,1.648224873251891e-08
1864,9.829192038068868e-08,3.3563094525845827e-09
1865,8.425251213362017e-08,4.706844247692743e-09
1866,1.7954111974916032e-07,0.0
1867,1.465549051005155e-07,1.1161466417775046e-08
1868,1.1262912769094413e-07,5.927848767406374e-09
1869,1.3771524309813543e-07,1.0255390314739543e-08
1870,1.2614906896857292e-07,7.454262984651905e-09
1871,1.115223595693493e-07,1.274541272522356e-08
1872,1.5420715726577328e-07,3.0236697590169115e-09
1873,7.302925214558442e-08,2.9930022904522957e-09
1874,1.69081439682639e-07,4.182226565063729e-09
1875,1.0241533254795598e-07,6.865832347102696e-09
1876,1.6566080840441089e-07,8.464420275799966e-09
1877,1.0699732011509866e-07,7.421779191219002e-09
1878,1.6547102504871347e-07,5.435179861734696e-09
1879,6.659164597522249e-08,8.553055375060126e-09
1880,1.1167052460514526e-07,5.776061628992579e-09
1881,1.1713813058422673e-07,2.7890030285249168e-09
1882,1.0715170062347568e-07,1.9966155395678697e-09
1883,1.131161653233903e-07,3.791603475633565e-09
1884,1.7296446674919252e-07,1.3203393933736152e-09
1885,1.4180398011376383e-07,3.2228178459270396e-09
1886,1.0906354014350583e-07,7.098810206329631e-09
1887,8.161155939934162e-08,9.140494583448344e-09
1888,1.0715638998348709e-07,5.072491537916335e-09
1889,8.645888804892365e-08,1.2530273485467092e-09
1890,1.7238036653655087e-07,3.932631831293776e-09
1891,2.42220368873447e-07,3.824531802365527e-09
1892,1.1847488301519604e-07,9.402768785804483e-09
1893,1.422594238520425e-07,3.695050043717174e-09
1894,1.9282710761459043e-07,5.671385139294216e-09
1895,1.0352017021375559e-07,5.416753268150387e-09
1896,7.194375445385148e-08,9.435246139943843e-09
1897,1.1070755412401212e-07,8.740070001067579e-09
1898,1.9181822974445595e-07,7.3558613644664206e-09
1899,1.0060192678906787e-07,4.9748205555033564e-09
1900,1.3496738171525635e-07,8.824790675987515e-09
1901,1.279821263411307e-07,8.941982265753268e-09
1902,2.533706344731712e-07,2.455141867585553e-09
1903,1.3608554705335507e-07,3.2401321625741275e-09
1904,1.4135264425618743e-07,1.0749250378694342e-09
1905,1.475977098319703e-07,8.773290538499623e-09
1906,2.052529679552606e-07,4.115347618238729e-09
1907,2.2062798410438234e-07,3.599990305858114e-09
1908,2.3329098763902323e-07,5.893666887857307e-09
1909,3.15206349466024e-07,6.60118004702781e-09
1910,3.6340225884057276e-07,1.068830135508847e-08
1911,3.9902805815117404e-07,1.5961122201701983e-08
