year,mon_DET or_NOUN
1800,1.1633408414368773e-07
1801,1.0715321963061797e-07
1802,1.0070280609397742e-07
1803,9.361628405812894e-08
1804,1.3842365897964726e-07
1805,1.0518647619583987e-07
1806,1.210301006082659e-07
1807,1.1387820464392462e-07
1808,4.305540501903238e-08
1809,1.0165637687187257e-07
1810,6.318342293809565e-08
1811,9.777599174753959e-08
1812,8.001624962616916e-08
1813,3.7384642270765767e-08
1814,7.866693074731756e-08
1815,1.4295284955778698e-07
1816,5.0987283728431976e-08
1817,7.161617898709949e-08
1818,8.225612324608278e-08
1819,9.212434293193184e-08
1820,2.088500679064964e-07
1821,1.8145138369618508e-07
1822,8.120748873352568e-08
1823,1.413224272051039e-07
1824,1.381062544325573e-07
1825,6.427973353595462e-08
1826,7.134467594482885e-08
1827,5.806882030778837e-08
1828,1.1190207510614059e-07
1829,9.77342076158294e-08
1830,1.0436835840010872e-07
1831,8.263339257297275e-08
1832,1.637126312292736e-07
1833,2.2356402618051163e-07
1834,1.3255034403414356e-07
1835,1.0890846624533879e-07
1836,1.2298972573709932e-07
1837,1.6072728514782142e-07
1838,9.278878199125984e-08
1839,1.0836786323853431e-07
1840,1.0127805277759805e-07
1841,1.1107548747446572e-07
1842,1.422152213770289e-07
1843,8.919435912080331e-08
1844,7.46444339672081e-08
1845,1.2778722091599803e-07
1846,8.606117085641074e-08
1847,1.2512278502185836e-07
1848,9.010648333029891e-08
1849,5.530413860199701e-08
1850,1.1405512978512888e-07
1851,6.578427780290497e-08
1852,9.375185161530908e-08
1853,7.70379240400132e-08
1854,8.313062949127925e-08
1855,1.475328552658084e-07
1856,1.0250834381331231e-07
1857,9.323682181872073e-08
1858,7.634134790990288e-08
1859,1.5989423940432346e-07
1860,9.200139317044886e-08
1861,9.007490908707894e-08
1862,1.084316711974509e-07
1863,1.2536498195103718e-07
1864,1.1027873991764636e-07
1865,7.53095128480652e-08
1866,1.196940804248925e-07
1867,1.0142376005717324e-07
1868,5.829051508143834e-08
1869,1.4455216934550208e-07
1870,8.429052034131246e-08
1871,8.072094637157079e-08
1872,6.10781268894911e-08
1873,7.183205408267668e-08
1874,8.42419886071255e-08
1875,1.1900776364370813e-07
1876,9.61316373171428e-08
1877,6.617753400828263e-08
1878,4.5897075418022126e-08
