year,un_DET autel_NOUN,un_DET motel_NOUN
1800,3.17560610341161e-06,0.0
1801,2.75979060404552e-06,0.0
1802,4.090771795972614e-06,4.475680270843441e-09
1803,3.368235788059337e-06,0.0
1804,3.1194758420838298e-06,0.0
1805,3.454096443533672e-06,2.842877711017877e-09
1806,5.400248099363125e-06,2.881669125542885e-09
1807,3.402111268258068e-06,0.0
1808,4.214897430188103e-06,0.0
1809,3.415654106220245e-06,0.0
1810,3.9431137253131965e-06,0.0
1811,3.9436319276831e-06,2.5070767684098882e-09
1812,2.757893305727066e-06,0.0
1813,2.9505110390459777e-06,2.8757416448144113e-09
1814,3.388971194340229e-06,0.0
1815,3.198907165824494e-06,0.0
1816,2.6976908173992342e-06,0.0
1817,3.3799721350646905e-06,3.113746815941454e-09
1818,2.8551219770633907e-06,0.0
1819,3.2077904847938044e-06,0.0
1820,4.020363761014778e-06,0.0
1821,4.015597980355778e-06,9.86148829262845e-10
1822,3.2332611681340495e-06,0.0
1823,2.8224952828281857e-06,1.9765373782121287e-09
1824,3.138548677839026e-06,0.0
1825,3.2183895228854453e-06,0.0
1826,4.1582495668990305e-06,0.0
1827,3.170741855740289e-06,0.0
1828,2.7993862872222053e-06,0.0
1829,3.059766640944872e-06,0.0
1830,3.0131144583833702e-06,0.0
1831,3.2601211614746717e-06,0.0
1832,2.9265323888694184e-06,0.0
1833,3.2665833487044438e-06,0.0
1834,3.5443213022290365e-06,9.334530925997342e-10
1835,4.008436548019745e-06,0.0
1836,3.6688574169829735e-06,2.688300027031687e-09
1837,3.455984469269424e-06,1.3915781860163179e-09
1838,3.64401111596635e-06,1.2624323808552163e-09
1839,2.7567385885163276e-06,6.9914751765765e-10
1840,3.260006558036821e-06,6.369688665408546e-10
1841,4.010274437860062e-06,6.420548537278137e-10
1842,3.592946740127445e-06,2.683306021822318e-09
1843,4.167325869275373e-06,1.7720733769266417e-09
1844,3.484138630938105e-06,1.097712254427563e-09
1845,4.146109333191816e-06,2.2320911785556063e-09
1846,3.97813371932898e-06,1.1709002656346001e-09
1847,3.693818925398773e-06,3.775256551818984e-09
1848,4.136048374903112e-06,8.045221711050488e-10
1849,4.110103191123926e-06,1.6758829879393033e-09
1850,4.621269539484274e-06,1.0183494048021657e-08
1851,4.717764610973063e-06,6.449438760824933e-10
1852,4.7572556240993435e-06,1.9531636308300904e-09
1853,3.8065094258854515e-06,5.971932059978258e-09
1854,4.1653641744687775e-06,2.0782657816909023e-09
1855,4.433415085713932e-06,4.776243400783642e-09
1856,3.7591571953043967e-06,4.659470143053568e-09
1857,4.0521405395566035e-06,4.881509085841174e-10
1858,4.20758277641653e-06,9.787352039936081e-10
1859,4.154704370762374e-06,3.055304009791371e-09
1860,4.353359820186142e-06,2.288591982591015e-09
1861,3.912835168762285e-06,3.772770984511453e-09
1862,4.225672483926246e-06,5.873382225018986e-09
1863,3.8708310867718865e-06,1.4983862484108101e-09
