year,en_ADP auteurs_NOUN,en_ADP moteur_NOUN
1800,2.2009152278457123e-08,0.0
1801,3.809892135109294e-08,2.3811825844433088e-09
1802,4.699464284385613e-08,4.475680270843441e-09
1803,4.8758479920252285e-08,1.1702034896643454e-08
1804,2.9662210465630778e-08,0.0
1805,3.1271653710973624e-08,0.0
1806,1.729001475325731e-08,0.0
1807,3.131650672116848e-08,2.8469551160981155e-09
1808,3.172503681980743e-08,0.0
1809,3.840352036377226e-08,2.259030518203531e-09
1810,4.914266327205041e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,4.000812481308458e-08,0.0
1813,3.163315653864629e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,4.315557688983063e-08,0.0
1816,2.7811246638975717e-08,0.0
1817,6.227493543065066e-08,0.0
1818,3.337929754820834e-08,0.0
1819,6.003609043236935e-08,0.0
1820,1.6613073583471305e-08,1.1866481131050932e-09
1821,3.550135829755163e-08,1.0847637454958203e-08
1822,2.2056354964661296e-08,3.0076847679083585e-09
1823,3.656594316225892e-08,0.0
1824,2.5263338088166165e-08,2.5263338088166165e-09
1825,2.1133063299316746e-08,0.0
1826,2.2019960965735663e-08,2.642395191543301e-09
1827,5.438191053031005e-08,9.217273055917019e-10
1828,3.118582370120748e-08,0.0
1829,4.200856196234781e-08,0.0
1830,4.5922078584226256e-08,0.0
1831,2.9623292263636358e-08,1.2472964883158966e-08
1832,4.058990654698391e-08,8.117981842303834e-09
1833,3.938433579264711e-08,0.0
1834,3.827157613045529e-08,0.0
1835,4.0084366048631637e-08,7.563087933704082e-10
1836,1.747394939854985e-08,0.0
1837,2.2961039292113128e-08,0.0
1838,2.2723781967215473e-08,0.0
1839,1.8177836125232716e-08,6.9914751765765e-10
1840,1.4013314952876499e-08,0.0
1841,1.9903700465562224e-08,6.420548537278137e-10
1842,4.360372285461267e-08,0.0
1843,1.7130041385371442e-08,1.1813822142769936e-09
1844,2.140538946093784e-08,4.9397050894128824e-09
1845,8.37034175305007e-09,3.9061593959388574e-09
1846,1.9319854382970902e-08,6.439951683034906e-09
1847,2.1572894581822766e-09,2.6966118227278457e-09
1848,1.126331028444838e-08,4.82713291560799e-09
1849,7.541473445726865e-09,0.0
1850,1.9009188889640427e-08,3.394498016007219e-09
1851,1.7413483988093503e-08,3.8696632564949596e-09
1852,7.812654745364966e-09,6.510545436100301e-09
