year,en_ADP airs_NOUN,en_ADP mers_NOUN
1800,0.0,1.4777572943103223e-07
1801,2.3811825844433088e-09,7.381665767525192e-08
1802,0.0,6.042168365638645e-08
1803,7.801356671777171e-09,1.0726865440346955e-07
1804,2.4718509905596875e-08,2.521287925105753e-07
1805,3.1271653710973624e-08,5.685755510853596e-08
1806,4.3225035994964855e-08,8.645007198992971e-08
1807,1.4234775136401367e-08,6.547996633798903e-08
1808,2.2660739951163578e-09,1.4276265858370607e-07
1809,2.259030518203531e-09,2.710836710662079e-08
1810,9.360507036149102e-09,2.152916604991617e-07
1811,1.2535384286138651e-08,5.0141537144554604e-08
1812,2.9339290108509886e-08,5.067695596494559e-08
1813,4.3136125782439194e-08,8.339650747757332e-08
1814,0.0,1.8880061958270744e-08
1815,3.506390555685357e-08,4.5852800667489646e-08
1816,1.228330006597389e-07,3.9399267848239106e-08
1817,6.227493631882908e-09,1.4323235575375293e-07
1818,5.960588467246453e-09,6.199012148044858e-08
1819,0.0,8.384350336232416e-08
1820,2.0173018810965004e-08,7.713212824000948e-08
1821,1.676452932031225e-08,8.57949515875589e-08
1822,1.0025615893027862e-09,5.3135764233047666e-08
1823,1.2847492847356534e-08,4.5460360809101985e-08
1824,1.7684335773537896e-08,7.747424035642325e-08
1825,4.4027217427355936e-09,6.956300069305144e-08
1826,7.0463874735082754e-09,6.165588928297439e-08
1827,5.530363722527909e-09,8.203373330628594e-08
1828,1.0089530988466322e-08,4.1275356466030644e-08
1829,1.7146351893870815e-08,5.658296231558779e-08
1830,1.982998831806526e-08,1.982998831806526e-08
1831,0.0,6.548306430431694e-08
1832,2.976593194148336e-08,5.411987658021644e-08
1833,2.085053074640797e-08,6.950177322551099e-08
1834,1.8669061851994684e-09,8.214387037241977e-08
1835,6.050470346963266e-09,7.487457054367042e-08
1836,1.1425274948351216e-08,3.8308275662757296e-08
1837,2.5048407792382932e-08,4.731365699228718e-08
1838,2.1461350030449466e-08,5.049729523420865e-08
