year,son_DET hôtel_NOUN,son_DET motel_NOUN
1800,1.2388007917252253e-06,0.0
1801,1.1072498899977745e-06,0.0
1802,1.060736195768186e-06,0.0
1803,1.1194947404646882e-06,0.0
1804,1.18896035772309e-06,0.0
1805,1.2309660766263164e-06,0.0
1806,1.8010431794834858e-06,0.0
1807,1.6597748029312243e-06,0.0
1808,1.8219234725336264e-06,0.0
1809,1.570026200603536e-06,0.0
1810,1.3502531817088936e-06,0.0
1811,2.1184799194884363e-06,0.0
1812,1.7070132933838522e-06,0.0
1813,1.348722790339707e-06,0.0
1814,2.618035392032425e-06,0.0
1815,1.9366065409087696e-06,0.0
1816,1.388244767142055e-06,0.0
1817,1.5366340786471255e-06,0.0
1818,2.1696543470728358e-06,0.0
1819,1.5536926416537256e-06,0.0
1820,1.8677841211456325e-06,0.0
1821,1.4950016433701308e-06,0.0
1822,1.6973367991113264e-06,1.0025615893027862e-09
1823,1.8915462325352905e-06,0.0
1824,4.57097982220489e-06,0.0
1825,4.698584511686477e-06,0.0
1826,5.756898540987265e-06,0.0
1827,2.127346665048435e-06,0.0
1828,1.9601208682828997e-06,0.0
1829,2.5170845514566054e-06,0.0
1830,2.3065407663835913e-06,0.0
1831,2.167177616030358e-06,0.0
1832,2.344743589510756e-06,0.0
1833,2.4985887225881243e-06,0.0
1834,2.2328197619714274e-06,0.0
1835,3.4722137129961084e-06,0.0
1836,2.921510008135897e-06,0.0
1837,2.3329808342964498e-06,1.3915781860163179e-09
1838,3.396574211222969e-06,0.0
1839,2.8371405207394673e-06,0.0
1840,2.8090326287255607e-06,0.0
1841,2.165008996968254e-06,0.0
1842,2.655131234874375e-06,0.0
1843,2.1772874863046354e-06,0.0
1844,2.8035569918927195e-06,0.0
1845,2.4352115133297048e-06,0.0
1846,2.3166261389206966e-06,0.0
1847,2.1287053684204693e-06,5.393223645455691e-10
1848,1.9911923114790397e-06,0.0
1849,1.952403639648992e-06,0.0
1850,1.8798730039293332e-06,0.0
1851,1.807777724849302e-06,0.0
1852,2.430386679463936e-06,0.0
1853,1.941475076705501e-06,0.0
1854,2.2019225269787057e-06,0.0
1855,2.6115438238605293e-06,0.0
1856,2.1687244728951782e-06,0.0
1857,2.3504465751500447e-06,0.0
1858,2.7277351257737337e-06,0.0
1859,2.170284385982768e-06,0.0
1860,2.3503839425842443e-06,4.577183909670879e-10
1861,2.233008807195347e-06,0.0
1862,2.07691834042123e-06,0.0
1863,2.2775471784086676e-06,0.0
1864,2.3844181846754964e-06,0.0
1865,2.4306144474905977e-06,0.0
1866,2.329655544031084e-06,0.0
1867,2.5132709726705116e-06,0.0
1868,2.1152540519153717e-06,0.0
1869,1.949989140825892e-06,0.0
1870,2.0585236093495496e-06,0.0
1871,1.7323139793745668e-06,0.0
1872,2.1909510756756845e-06,0.0
1873,2.3070061914154394e-06,0.0
1874,2.784167811853422e-06,0.0
1875,2.6547885561001294e-06,0.0
1876,2.2708832112527944e-06,0.0
1877,2.142420260753397e-06,0.0
1878,2.0218869138943774e-06,6.039088673581716e-10
1879,2.35453389052509e-06,0.0
1880,2.2186493886522385e-06,0.0
1881,2.6837182005579052e-06,0.0
1882,2.229554127097799e-06,0.0
1883,2.4278899743990223e-06,6.319338941018771e-10
1884,2.313234560347155e-06,0.0
1885,2.552471620731467e-06,0.0
1886,2.5407288362089275e-06,6.453463874400711e-10
1887,2.33082610634483e-06,0.0
1888,2.227458026027307e-06,0.0
1889,2.2579552023671567e-06,0.0
1890,2.236356614560009e-06,0.0
1891,2.2297021864403632e-06,0.0
1892,2.6559688031113637e-06,0.0
1893,2.058142751337755e-06,1.2316833108982905e-09
1894,2.1872642648190777e-06,0.0
1895,2.4074457236622493e-06,0.0
1896,2.5870265183414176e-06,0.0
1897,1.8237613765847982e-06,0.0
1898,1.9017730821246914e-06,0.0
1899,1.9866116716116267e-06,0.0
1900,2.2394202723319268e-06,0.0
1901,1.8811694779685695e-06,0.0
1902,1.636597559695474e-06,0.0
1903,1.8771165564146486e-06,0.0
1904,1.7257921740565507e-06,0.0
1905,1.955411605081281e-06,5.160759042333041e-10
1906,1.788118568768482e-06,0.0
1907,1.9522233216662244e-06,5.142843373384665e-10
1908,1.792165903680143e-06,0.0
1909,2.045815776341442e-06,0.0
1910,1.9361858036859303e-06,0.0
1911,1.9999286173799646e-06,1.5961122423746588e-09
1912,1.871744998993563e-06,0.0
1913,2.098923321369739e-06,0.0
1914,1.9112506208784907e-06,1.3393487430235496e-09
1915,1.573909839791554e-06,0.0
1916,1.3679390331589047e-06,0.0
1917,1.7008923904882067e-06,0.0
1918,1.4897830595828054e-06,0.0
1919,1.468651863234527e-06,0.0
1920,1.7143532389241045e-06,0.0
1921,1.7561201737237297e-06,0.0
1922,1.6585599489360447e-06,7.377935484775833e-10
1923,1.925732970420313e-06,0.0
1924,1.665597881839176e-06,0.0
1925,1.8927864573470288e-06,1.0998177923937646e-09
1926,1.7733506432193735e-06,0.0
1927,2.2476837067131328e-06,0.0
1928,2.0955359900654003e-06,0.0
1929,2.1790634257001784e-06,0.0
1930,1.7414974387008897e-06,1.0503603542488804e-09
1931,1.6514956300284211e-06,0.0
1932,1.6022842714846774e-06,0.0
1933,1.7630407675994775e-06,0.0
1934,1.6822138206862292e-06,0.0
1935,1.8897920455174244e-06,0.0
1936,1.5119518863571102e-06,0.0
1937,1.3988732021630312e-06,0.0
1938,1.6102796465133906e-06,0.0
1939,1.3183471665456636e-06,0.0
1940,1.278034584828447e-06,0.0
1941,1.3931092794905453e-06,0.0
1942,1.7598428030396462e-06,0.0
1943,1.9451675363768572e-06,0.0
1944,1.2402898210694957e-06,0.0
1945,1.4334556617257022e-06,0.0
1946,1.2668205080501593e-06,0.0
1947,1.4090469733218924e-06,0.0
1948,1.4927102558459637e-06,0.0
1949,1.2958450419375822e-06,0.0
1950,1.4517268134284222e-06,0.0
1951,1.3923791009062825e-06,0.0
1952,1.61124600950302e-06,0.0
1953,1.4135261459102821e-06,0.0
1954,1.4658804232681177e-06,9.772536113672459e-10
1955,1.4313052112413516e-06,9.385607846468247e-10
1956,1.5183507251492756e-06,2.616342476002842e-09
1957,1.3685473412294868e-06,0.0
1958,1.5849618861807357e-06,8.272243445794913e-10
1959,1.4439643081232134e-06,0.0
1960,1.5772578940698168e-06,6.920833350854139e-10
1961,1.4486911936728575e-06,6.948159270159238e-10
1962,1.3419580220386251e-06,1.2683912808952869e-09
1963,1.570604339917736e-06,1.2932106496776896e-09
1964,1.6262447886106202e-06,1.8251904432275978e-09
1965,1.4035791071620451e-06,3.2832261354087677e-09
1966,1.5498331649155261e-06,2.769537488234164e-09
1967,1.6733559178305768e-06,1.4791006197611978e-09
1968,1.4408461872505995e-06,3.143991039733507e-09
1969,1.3929570670256908e-06,4.5417576088890854e-09
1970,1.2039461623203351e-06,1.3796175313274261e-09
1971,1.3154297278106242e-06,5.138397485282553e-10
1972,1.2691983144463848e-06,1.5390440588625154e-09
