year,aucun_DET autel_NOUN
1800,1.8864987794131594e-08
1801,0.0
1802,0.0
1803,0.0
1804,1.4831105232815389e-08
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,4.078933102391602e-08
1809,2.4849335034105025e-08
1810,2.106114038724627e-08
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,1.6183340889597275e-08
1816,0.0
1817,1.556873407970727e-09
1818,2.1458118837358597e-08
1819,1.035105001712111e-09
1820,0.0
1821,3.94459531705138e-09
1822,1.4035862250239006e-08
1823,1.581229902569703e-08
1824,2.5263338088166165e-09
1825,2.113306396545056e-08
1826,7.927185574629902e-09
1827,3.6869092223668076e-09
1828,1.1923991571904935e-08
1829,9.430493719264632e-09
1830,1.2524203008013046e-08
1831,9.354723218280014e-09
1832,6.764984572527055e-09
1833,2.3167257001688313e-09
1834,2.240287422239362e-08
1835,2.4958190181223472e-08
1836,1.4785650037651976e-08
1837,2.5048407792382932e-08
1838,8.2058102535143e-09
1839,1.0487212875887053e-08
1840,1.3376346252869098e-08
1841,1.0272877659645019e-08
1842,2.817471411731276e-08
1843,2.3627643841450663e-08
1844,7.1351298203126134e-09
1845,6.696273757711424e-09
1846,1.6392604607062822e-08
1847,2.3190860787281053e-08
1848,2.574470947536156e-08
1849,2.1786478399121734e-08
1850,1.3577992064028876e-08
1851,2.4507867735223954e-08
1852,1.6276363812295358e-08
1853,7.763511389313749e-09
1854,1.2469594801167716e-08
1855,1.0613874223963649e-08
1856,1.1389816201301528e-08
1857,1.8061584228235006e-08
1858,1.3702292633865909e-08
1859,5.092173349652285e-09
1860,1.785101666484934e-08
1861,1.744906619194353e-08
1862,1.445755604123633e-08
1863,9.489779628779615e-09
1864,1.4863656971897399e-08
1865,9.413688495385486e-09
1866,1.9462451206209153e-08
1867,5.82337378318698e-09
1868,8.397785578040384e-09
1869,6.34857511006004e-09
1870,1.6055336615750093e-08
1871,1.0621177493064238e-08
1872,6.047339295989218e-10
1873,1.0176207432266438e-08
1874,7.766991938495948e-09
1875,1.8881039565155078e-08
1876,1.813804439976252e-09
1877,2.3502300550148902e-08
1878,7.850815331167382e-09
1879,1.221865053580018e-09
1880,3.2089231272180996e-09
1881,6.2752567586699115e-09
1882,3.3276925659464496e-09
1883,9.479008689083912e-09
1884,3.9610181801208455e-09
1885,2.5782542767416317e-09
1886,1.4197620856748472e-08
1887,5.223139698529167e-09
1888,1.268122939990235e-09
1889,1.6915869149869422e-08
1890,4.5880703680722945e-09
1891,7.649063604731055e-09
1892,1.3790726782758611e-08
1893,1.1085149687062312e-08
1894,8.822155450616265e-09
1895,1.444467478961542e-08
1896,1.1204354777305525e-08
1897,4.661370844871726e-09
1898,1.584339415217073e-08
1899,6.080336234504102e-09
1900,9.343895657210055e-09
1901,3.3532433496574754e-09
1902,1.4239823542538943e-08
1903,1.4580594731583574e-08
1904,1.3436562973367927e-08
1905,9.805442457988534e-09
1906,1.1831624013858288e-08
1907,1.697138252154673e-08
1908,8.840499887696751e-09
1909,7.151278680339601e-09
1910,4.809735720812114e-09
1911,3.19222459577162e-09
1912,9.897900277167082e-09
1913,3.181793939432964e-09
1914,6.027069510139427e-09
1915,1.1780761921542648e-09
1916,4.394984820521586e-09
1917,1.4256351654751143e-08
1918,2.2972752589112133e-09
1919,1.1049418269237776e-08
1920,1.514446346106979e-08
1921,6.058198165348472e-09
1922,8.115729421831475e-09
1923,4.246379248229459e-09
1924,3.867487219366694e-09
1925,1.3197813508725176e-08
1926,1.560459372829115e-08
1927,7.804457524684949e-09
1928,1.3711249025050165e-08
1929,2.5622934884950155e-08
1930,1.0503603542488804e-08
1931,7.983749661377715e-09
1932,6.575722188983946e-09
1933,1.0323596200123575e-08
1934,4.7926320689839486e-09
1935,9.574627313213568e-09
1936,3.6374143697059935e-09
1937,3.777335333410292e-09
1938,3.8895642262559704e-09
1939,3.058810094103137e-09
1940,1.0143131667916805e-08
1941,2.3612021227137348e-08
1942,6.068423541449874e-09
1943,1.1612940831184915e-08
1944,9.639558484764166e-09
1945,6.535512131478072e-09
1946,2.7842208538686464e-09
1947,2.3841741914054637e-09
1948,0.0
1949,1.178041031391075e-08
1950,5.317680518146517e-09
1951,1.0661401650402524e-08
1952,9.490323193972472e-09
1953,4.3095309543161875e-09
1954,9.772536557761669e-09
1955,5.631364707880948e-09
1956,8.72114114258693e-09
1957,8.835037590415595e-09
1958,1.0753916868111446e-08
1959,0.0
1960,4.844583290086746e-09
1961,6.948159159136935e-09
1962,5.07356523460345e-09
1963,6.466053248388448e-09
1964,5.475571551727398e-09
1965,8.208064727899256e-09
1966,1.2185964570754493e-08
1967,1.9721342336964653e-09
1968,5.838840466676487e-09
1969,2.725054598640142e-09
1970,5.978342543233595e-09
1971,7.707596338946132e-09
1972,9.234264186641639e-09
1973,6.064524049609332e-09
1974,5.06301445213353e-09
1975,6.282628195464213e-09
1976,5.713526984862938e-09
1977,3.5260691033656144e-09
1978,7.72276909088987e-09
1979,1.2874341259738742e-08
1980,3.97960553399912e-09
1981,8.85576922904363e-09
1982,8.069752865935698e-09
1983,5.68378455412244e-09
1984,2.3196033982486597e-09
1985,0.0
1986,1.0790074167488228e-08
1987,5.499735000746853e-09
1988,7.795519785247507e-09
1989,6.585746614717891e-09
1990,2.179460389939436e-09
1991,9.378344545396544e-09
1992,7.162927251336271e-09
1993,3.877445031719162e-09
1994,8.967375286772494e-09
1995,3.253470548525428e-09
1996,9.608565720853335e-09
1997,1.054876763717516e-08
1998,7.629006981701991e-09
1999,6.398281460207045e-09
2000,4.4180314962005696e-09
2001,1.2705514140787244e-08
2002,7.448076377869484e-09
2003,9.583922822020696e-09
2004,8.369103465799554e-09
2005,1.1709748948263154e-08
2006,1.0706513342562118e-08
2007,9.58675117068708e-09
2008,3.8316956274542235e-09
2009,2.384096253749135e-09
2010,6.613310454817167e-09
2011,1.9119859584471044e-09
2012,3.744677901096338e-09
2013,5.8571623662295735e-09
2014,6.4963354279301555e-09
2015,6.871383684270427e-09
2016,6.0068859331074975e-09
2017,9.056201122348284e-09
2018,3.3559066636712487e-09
2019,3.826481798085979e-09
