year,en_ADP oral_NOUN,en_ADP moral_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,6.713520406265161e-09
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,8.528632911009026e-09
1806,0.0,2.0171682990621775e-08
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,4.518061036407062e-09
1810,0.0,0.0
1811,0.0,7.521229861140455e-09
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,1.8540831092650478e-08
1817,0.0,4.670620334934483e-09
1818,0.0,3.5763532135746345e-09
1819,0.0,2.2772310259711048e-08
1820,0.0,0.0
1821,0.0,2.9584463767662328e-09
1822,0.0,1.5038423839541792e-08
1823,0.0,5.336650943377208e-08
1824,0.0,1.6842225392110777e-09
1825,0.0,1.7610886082763955e-09
1826,0.0,1.0569580766173203e-08
1827,0.0,5.530363722527909e-09
1828,0.0,3.668920500743411e-09
1829,0.0,2.743416338546467e-08
1830,0.0,8.349468672008697e-09
1831,0.0,0.0
1832,1.3529969367098715e-09,6.764984572527055e-09
1833,0.0,0.0
1834,9.334530925997342e-10,9.334530925997342e-10
1835,0.0,1.2100940693926532e-08
1836,6.720750067579218e-10,2.688300027031687e-09
1837,6.957890930081589e-10,2.0873671680021744e-09
1838,0.0,6.312161904276081e-10
1839,6.9914751765765e-10,6.9914751765765e-10
1840,6.369688665408546e-10,1.9109065441114126e-09
1841,0.0,6.420548537278137e-10
1842,0.0,2.0124794275488966e-08
1843,0.0,4.7255288571079745e-09
1844,0.0,0.0
1845,0.0,5.580227946389016e-10
1846,2.3418005312692003e-09,1.7563503984519002e-09
1847,0.0,5.393223645455691e-10
1848,0.0,8.045221711050488e-10
1849,0.0,3.3517659758786067e-09
1850,1.3577992064028876e-09,2.7155984128057753e-09
1851,6.449438760824933e-10,1.9348316282474798e-09
1852,0.0,6.510545436100301e-10
1853,0.0,5.971931837933653e-10
1854,5.195664454227256e-10,1.0391328908454511e-09
1855,2.1227748447927297e-09,2.653468555990912e-09
1856,1.0354378465748937e-09,3.6240324075009767e-09
1857,0.0,9.274867096564776e-09
1858,4.893676019968041e-10,0.0
1859,0.0,1.5276520048956854e-09
1860,4.577183909670879e-10,4.119465657481669e-09
1861,4.715963730639317e-10,0.0
1862,0.0,3.6143890103090826e-09
1863,0.0,5.494082966350788e-09
1864,0.0,6.233146443435089e-09
1865,4.706844358715045e-10,5.6482134525026595e-09
1866,2.919367858567057e-09,4.379051787850585e-09
